T[°C]	330nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
19.99929	7999.026	35.43312	-119.6677	5.892947
20.05328	7992.453	35.40104	-119.4689	5.746077
20.10727	7985.883	35.38227	-119.2704	5.599376
20.16126	7979.317	35.37624	-119.0721	5.452882
20.21525	7972.755	35.38089	-118.8741	5.30662
20.26924	7966.2	35.39478	-118.6765	5.160635
20.32323	7959.651	35.41561	-118.4791	5.014958
20.37722	7953.11	35.44235	-118.2821	4.869649
20.43121	7946.578	35.47297	-118.0856	4.724748
20.4852	7940.057	35.5058	-117.8894	4.580304
20.53919	7933.545	35.54036	-117.6938	4.436377
20.59318	7927.045	35.57627	-117.4987	4.29303
20.64717	7920.553	35.61379	-117.3042	4.150314
20.70116	7914.07	35.65447	-117.1103	4.008297
20.75515	7907.591	35.70147	-116.917	3.867051
20.80914	7901.114	35.75965	-116.7244	3.726636
20.86313	7894.633	35.84056	-116.5325	3.587134
20.91712	7888.142	35.97297	-116.3414	3.448609
20.97111	7881.635	36.20612	-116.151	3.31115
21.0251	7875.242	36.41654	-115.9615	3.174835
21.07909	7868.857	36.57097	-115.7727	3.039751
21.13308	7862.49	36.6536	-115.5848	2.905987
21.18707	7856.151	36.65433	-115.3978	2.773649
21.24106	7849.853	36.56731	-115.2116	2.642837
21.29505	7843.595	36.39631	-115.0263	2.513666
21.34904	7837.377	36.1552	-114.8419	2.386263
21.40303	7831.194	35.86339	-114.6582	2.26077
21.45702	7825.04	35.54239	-114.4754	2.137333
21.51101	7818.914	35.2208	-114.2933	2.016134
21.565	7812.814	34.92427	-114.112	1.897373
21.61899	7806.742	34.66161	-113.9314	1.781288
21.67298	7800.692	34.42794	-113.7514	1.668169
21.72697	7794.66	34.21384	-113.572	1.558364
21.78096	7788.642	34.01194	-113.3931	1.452319
21.83495	7782.633	33.81485	-113.2147	1.350582
21.88894	7776.628	33.61583	-113.0367	1.253876
21.94293	7770.62	33.40839	-112.8589	1.16311
21.99692	7764.603	33.18566	-112.6814	1.079443
