T[°C]	350nm [counts / mm]	S.D.
19.99929	6946.038	33.82881
20.05328	6946.745	33.39701
20.10727	6930.543	27.71549
20.16126	6930.574	35.17217
20.21525	6929.913	21.87403
20.26924	6919.275	28.62182
20.32323	6920.765	25.81897
20.37722	6912.607	25.84904
20.43121	6906.079	34.94184
20.4852	6908.24	21.58822
20.53919	6890.658	23.92691
20.59318	6888.603	27.00138
20.64717	6875.902	25.61163
20.70116	6875.762	31.29203
20.75515	6863.487	29.60486
20.80914	6861.743	24.03711
20.86313	6857.547	33.42624
20.91712	6844.809	30.3532
20.97111	6838.767	28.13765
21.0251	6840.854	32.91279
21.07909	6829.887	28.94621
21.13308	6830.354	26.67837
21.18707	6830.274	24.9253
21.24106	6819.295	24.10455
21.29505	6815.064	31.88144
21.34904	6812.376	26.62451
21.40303	6804.332	30.20385
21.45702	6793.897	27.23576
21.51101	6792.814	38.41194
21.565	6788.443	29.41676
21.61899	6780.713	36.62857
21.67298	6774.362	32.67391
21.72697	6774.917	26.40989
21.78096	6757.545	26.04301
21.83495	6755.735	18.87696
21.88894	6754.428	23.17153
21.94293	6750.259	21.66513
21.99692	6744.144	23.31877
22.05091	6734.051	24.32651
22.1049	6738.83	29.0612
22.1589	6722.232	29.09286
22.21288	6725.079	29.9158
22.26687	6720.006	27.68256
22.32087	6708.143	25.12371
22.37486	6714.016	28.71735
22.42885	6702.074	34.77864
22.48284	6695.493	32.68283
22.53683	6693.662	27.05586
22.59082	6683.583	29.71384
22.64481	6680.45	39.26412
22.6988	6671.016	33.38808
22.75279	6669.79	33.89685
22.80678	6665.348	29.7925
22.86077	6658.483	27.44707
22.91476	6650.88	30.66436
22.96875	6643.836	30.57342
23.02274	6641.124	35.14776
23.07673	6636.921	29.08747
23.13072	6630.344	34.02098
23.18471	6628.14	37.53131
23.2387	6622.158	31.89003
23.29269	6618.649	31.14833
23.34668	6612.519	30.52503
23.40067	6611.137	35.41358
23.45466	6607.592	33.81794
23.50865	6598.939	31.4065
23.56264	6589.787	35.40245
23.61663	6583.241	34.98306
23.67062	6580.065	32.42002
23.72461	6574.64	30.4958
23.7786	6566.046	26.93065
23.83259	6559.793	28.06828
23.88658	6559.231	29.86977
23.94057	6554.182	26.67175
23.99456	6550.02	25.4568
24.04855	6545.462	26.60435
24.10254	6536.415	28.18886
24.15653	6537.038	27.25562
24.21052	6527.399	21.00472
24.26451	6524.827	18.10926
24.3185	6516.939	24.15779
24.37249	6511.695	26.3329
24.42648	6511.317	27.7549
24.48047	6500.614	27.90102
24.53446	6497.914	32.24255
24.58845	6492.702	34.69103
24.64244	6485.606	30.29821
24.69643	6481.422	24.62107
24.75042	6477.858	30.18169
24.80441	6469.437	30.40779
24.8584	6463.542	28.53452
24.9124	6462.788	25.8011
24.96638	6447.916	22.1855
25.02037	6449.821	24.23773
25.07437	6443.469	33.86372
25.12836	6432.816	32.07402
25.18235	6438.988	26.02574
25.23634	6427.085	28.56662
25.29033	6421.777	25.63436
25.34432	6417.967	25.82836
25.39831	6412.998	33.94063
25.4523	6403.727	26.47994
25.50629	6405.043	26.41636
25.56028	6401.18	28.06069
25.61427	6391.058	18.91116
25.66826	6386.93	21.07122
25.72225	6378.066	23.75912
25.77624	6373.546	21.70823
25.83023	6367.921	15.01833
25.88422	6363.915	19.84077
25.93821	6365.604	22.08556
25.9922	6357.455	20.59731
26.04619	6344.883	19.35346
26.10018	6336.826	24.11311
26.15417	6346.534	32.0853
26.20816	6340.341	26.8313
26.26215	6324.518	30.21387
26.31614	6322.879	26.90006
26.37013	6324.232	25.07453
26.42412	6309.493	25.76057
26.47811	6307.643	28.93866
26.5321	6300.578	28.3869
26.58609	6299.61	33.2446
26.64008	6289.697	37.58978
26.69407	6284.271	28.15653
26.74806	6285.127	30.04684
26.80205	6281.762	26.03934
26.85604	6276.409	29.78213
26.91003	6271.899	28.30961
26.96402	6264.529	23.82827
27.01801	6262.141	25.44604
27.072	6255.149	20.128
27.12599	6243.354	27.18834
27.17998	6239.676	34.23106
27.23397	6236.921	26.15014
27.28796	6230.031	26.48332
27.34195	6221.666	27.92809
27.39594	6219.149	23.0311
27.44993	6218.126	22.85929
27.50392	6210.752	20.74462
27.55791	6207.635	24.04542
27.6119	6205.89	29.38288
27.6659	6199.013	27.4608
27.71988	6193.22	25.169
27.77387	6187.121	24.9501
27.82787	6182.066	20.82865
27.88186	6177.541	15.94587
27.93585	6166.381	18.88184
27.98984	6160.092	20.34817
28.04383	6161.193	22.26747
28.09782	6156.132	24.90152
28.15181	6146.924	25.80775
28.2058	6141.091	28.40674
28.25979	6136.657	24.64822
28.31378	6130.912	28.57228
28.36777	6133.666	27.75047
28.42176	6125.309	24.16411
28.47575	6115.058	24.93388
28.52974	6111.321	21.33794
28.58373	6108.803	19.06185
28.63772	6104.734	27.45154
28.69171	6098.602	27.19093
28.7457	6094.445	29.44869
28.79969	6088.371	25.69281
28.85368	6078.256	30.12207
28.90767	6077.178	28.76597
28.96166	6069.004	27.6464
29.01565	6068.316	21.63991
29.06964	6069.185	22.25284
29.12363	6057.677	14.97422
29.17762	6054.66	13.61737
29.23161	6047.611	16.74607
29.2856	6044.625	19.53828
29.33959	6029.521	21.9334
29.39358	6033.906	19.79277
29.44757	6032.408	17.21418
29.50156	6026.483	15.87027
29.55555	6020.032	24.50282
29.60954	6013.951	17.67439
29.66353	6009.319	23.87842
29.71752	6005.172	21.59989
29.77151	6004.344	23.75788
29.8255	5993.66	27.10464
29.87949	5993.443	23.51118
29.93348	5986.704	25.70983
29.98747	5982.295	23.04973
30.04146	5973.154	26.28614
30.09545	5967.845	28.49596
30.14944	5962.747	23.81658
30.20343	5952.955	25.7266
30.25742	5954.411	25.45202
30.31141	5944.233	26.23841
30.3654	5939.919	32.45889
30.4194	5939.908	14.73986
30.47338	5935.4	26.76678
30.52737	5933.093	26.92099
30.58137	5926.341	23.09558
30.63535	5916.468	25.48688
30.68935	5910.557	20.90817
30.74334	5911.887	24.56006
30.79733	5901.396	22.0178
30.85132	5896.692	20.0474
30.90531	5890.542	26.02457
30.9593	5882.751	23.41455
31.01329	5883.232	19.88434
31.06728	5879.547	22.86496
31.12127	5871.489	21.90074
31.17526	5870.341	26.62789
31.22925	5866.718	21.74969
31.28324	5856.346	14.6341
31.33723	5855.646	21.3493
31.39122	5851.122	20.21375
31.44521	5845.385	21.5542
31.4992	5840.405	25.83327
31.55319	5834.183	20.84758
31.60718	5824.876	23.98227
31.66117	5819.169	24.54916
31.71516	5821.654	23.12421
31.76915	5815.558	28.12537
31.82314	5806.355	26.33846
31.87713	5800.05	29.49145
31.93112	5791.57	29.82832
31.98511	5790.211	21.8428
32.0391	5787.085	23.86211
32.09309	5782.137	24.63331
32.14708	5775.655	27.8642
32.20107	5770.898	23.02305
32.25506	5763.724	23.33351
32.30905	5762.915	19.53463
32.36304	5755.332	22.56108
32.41703	5750.275	18.73189
32.47102	5749.335	24.63451
32.52501	5746.608	22.6932
32.579	5739.938	32.38023
32.63299	5735.486	24.15526
32.68699	5732.415	22.07453
32.74097	5720.65	23.94901
32.79496	5712.841	20.71075
32.84895	5704.428	19.46641
32.90294	5705.13	13.84534
32.95694	5700.313	18.85962
33.01093	5699.205	23.55208
33.06491	5695.884	20.68823
33.1189	5688.636	21.35629
33.17289	5678.932	23.56723
33.22689	5670.58	15.02561
33.28088	5667.562	16.43892
