T[°C]	Ratio 350nm / 330nm	S.D.
19.99929	0.8682128	0.0008199725
20.05328	0.8690126	0.001173104
20.10727	0.8685637	9.462867E-05
20.16126	0.8687608	0.0001635635
20.21525	0.8694353	0.0018161
20.26924	0.8683114	0.0002954601
20.32323	0.8694208	0.001236213
20.37722	0.8688303	0.0009052884
20.43121	0.8682261	0.0002283629
20.4852	0.8696678	0.0004349477
20.53919	0.8682462	0.0005980868
20.59318	0.8690298	0.0009162559
20.64717	0.8685071	0.001005137
20.70116	0.8688369	0.0009494887
20.75515	0.868731	0.001148526
20.80914	0.8690639	0.0002297275
20.86313	0.8690907	0.0008442413
20.91712	0.8684049	0.001288965
20.97111	0.8672265	0.001930288
21.0251	0.8691161	0.001159189
21.07909	0.868814	0.0006608883
21.13308	0.8688889	0.001198036
21.18707	0.8687363	0.001311264
21.24106	0.8684587	0.001205125
21.29505	0.8685409	0.001393582
21.34904	0.8691875	0.001074125
21.40303	0.8689044	0.000650735
21.45702	0.8678684	0.001742254
21.51101	0.8685912	0.0009953983
21.565	0.8688715	0.0007215603
21.61899	0.8686025	0.0006358192
21.67298	0.8689846	0.0005847364
21.72697	0.8686943	0.002176792
21.78096	0.8676938	0.000623607
21.83495	0.8677545	0.0006707923
21.88894	0.8694048	0.0003423658
21.94293	0.8687692	0.0005421443
21.99692	0.8693576	0.000952504
22.05091	0.8680841	0.0004592012
22.1049	0.8690554	0.001605263
22.1589	0.8686016	0.001358443
22.21288	0.8690599	0.0004344475
22.26687	0.868902	0.0008657287
22.32087	0.867279	0.001648767
22.37486	0.8691639	0.0008901828
22.42885	0.8676844	0.001248437
22.48284	0.8677796	0.000270112
22.53683	0.8685093	0.0002358899
22.59082	0.8684624	0.0007802218
22.64481	0.8680064	0.0009976842
22.6988	0.8680546	0.0009455908
22.75279	0.8683943	0.0007713519
22.80678	0.868824	0.0009430364
22.86077	0.8684182	0.0001574991
22.91476	0.8681872	0.000740037
22.96875	0.8681445	0.0003859523
23.02274	0.8681104	0.0006153096
23.07673	0.8677531	0.0002089309
23.13072	0.8679875	0.0006995498
23.18471	0.8682968	0.0006689089
23.2387	0.8679577	0.001180931
23.29269	0.8677825	0.0004598121
23.34668	0.8681424	6.25075E-05
23.40067	0.8680924	0.0003278036
23.45466	0.8685912	0.0005013601
23.50865	0.8688487	0.0009703852
23.56264	0.8678084	0.0005549135
23.61663	0.8676996	0.0002159917
23.67062	0.868264	0.0001049398
23.72461	0.8682575	0.0008602976
23.7786	0.8678277	0.0001867568
23.83259	0.8671711	0.000848208
23.88658	0.8672149	0.001618472
23.94057	0.8672664	0.001058376
23.99456	0.8672479	0.001013558
24.04855	0.8669875	0.001041511
24.10254	0.8670391	0.0009737943
24.15653	0.8682727	0.001049859
24.21052	0.8675747	0.001055384
24.26451	0.8676027	0.0008880061
24.3185	0.8674299	0.0005369931
24.37249	0.8676383	0.0007026424
24.42648	0.8680883	0.001258601
24.48047	0.868064	0.0001622773
24.53446	0.8681103	0.0006741384
24.58845	0.8681697	0.0006238302
24.64244	0.8678027	0.0003874403
24.69643	0.86783	0.0002418307
24.75042	0.868112	0.0008816299
24.80441	0.8674279	0.000889076
24.8584	0.8672993	0.001960139
24.9124	0.8682842	0.0009051419
24.96638	0.866768	0.0004805934
25.02037	0.8674426	0.0007553953
25.07437	0.8674053	0.0002549062
25.12836	0.8664792	0.0004954843
25.18235	0.8676552	0.001333521
25.23634	0.8672746	0.0002740801
25.29033	0.867317	0.0008200657
25.34432	0.8671152	0.00131753
25.39831	0.8679368	0.001199584
25.4523	0.8672234	0.0007016902
25.50629	0.8669526	0.001388511
25.56028	0.8676515	0.001768117
25.61427	0.8674377	0.0007611989
25.66826	0.8672361	0.001368096
25.72225	0.8670245	0.001128525
25.77624	0.8670358	0.0004750788
25.83023	0.8656965	0.001297223
25.88422	0.8661739	0.0008314307
25.93821	0.866586	0.0004674502
25.9922	0.8670728	0.0007273155
26.04619	0.8660788	0.0004856264
26.10018	0.8658032	0.0005757007
26.15417	0.8671194	0.0004011453
26.20816	0.8667796	0.0007075758
26.26215	0.8669799	0.001987635
26.31614	0.866845	0.001099732
26.37013	0.8671435	0.001337138
26.42412	0.8658978	0.0006405739
26.47811	0.8669427	0.001772667
26.5321	0.8670926	0.0007449767
26.58609	0.8675965	0.0001812864
26.64008	0.8667532	0.001685856
26.69407	0.8664418	0.001492831
26.74806	0.8664102	0.001404943
26.80205	0.8659873	0.001580194
26.85604	0.866402	0.0006750898
26.91003	0.8662719	0.001707022
26.96402	0.8667195	0.0005357084
27.01801	0.8671112	0.0007283273
27.072	0.8664116	0.0008015641
27.12599	0.8658157	0.001645122
27.17998	0.8659026	0.001082117
27.23397	0.8664458	0.0009320209
27.28796	0.8661143	0.0004670368
27.34195	0.8659534	0.0005010811
27.39594	0.8658285	0.0007569747
27.44993	0.8659444	0.0005201864
27.50392	0.8657836	0.0003301606
27.55791	0.8659527	0.0003863086
27.6119	0.8663463	0.0001867175
27.6659	0.8661979	0.0002345529
27.71988	0.8657696	0.0001436751
27.77387	0.8652385	0.0003413739
27.82787	0.8655025	0.0005429992
27.88186	0.8656198	0.0009283164
27.93585	0.8647919	0.001367009
27.98984	0.8644494	0.0003312056
28.04383	0.8657299	0.0008139621
28.09782	0.8661121	0.0006203899
28.15181	0.8655801	0.0004357418
28.2058	0.8646374	0.0009167847
28.25979	0.8647409	0.0004966998
28.31378	0.8650264	0.0002678758
28.36777	0.865168	0.0001138677
28.42176	0.8649825	0.0007429583
28.47575	0.8652135	0.000673458
28.52974	0.8646541	0.0004478504
28.58373	0.8648612	0.000636527
28.63772	0.865128	0.001165126
28.69171	0.8647435	0.0005613269
28.7457	0.8649023	0.0003934948
28.79969	0.8646113	0.0009138086
28.85368	0.863862	0.000765176
28.90767	0.8650289	0.002191943
28.96166	0.864386	0.00139683
29.01565	0.8649858	0.0008339835
29.06964	0.8650463	0.001040785
29.12363	0.8644309	0.0009339156
29.17762	0.8644084	0.001176302
29.23161	0.8652071	0.001013369
29.2856	0.8652101	0.001121476
29.33959	0.8635591	0.0005489036
29.39358	0.8640088	7.778499E-05
29.44757	0.8647528	0.001377079
29.50156	0.865136	0.002058466
29.55555	0.864386	0.0007275106
29.60954	0.8645245	0.001107762
29.66353	0.8637636	0.0008313103
29.71752	0.8637536	0.001384316
29.77151	0.8644212	0.0007175836
29.8255	0.8638712	0.0007746865
29.87949	0.8642609	0.0003079299
29.93348	0.8639398	0.000708309
29.98747	0.8638011	0.001507548
30.04146	0.8634679	0.001152088
30.09545	0.8645737	0.0009876282
30.14944	0.8642607	0.0008544564
30.20343	0.862913	0.001319369
30.25742	0.8640283	0.0001330869
30.31141	0.8635148	0.0006745535
30.3654	0.8637214	0.0001178223
30.4194	0.8638493	0.001470878
30.47338	0.8639979	0.0003798446
30.52737	0.8637946	0.0003394
30.58137	0.8634691	0.00105611
30.63535	0.8629236	0.0004363088
30.68935	0.8626812	0.0003775012
30.74334	0.8633192	0.0008910011
30.79733	0.8626069	0.0007283509
30.85132	0.8629541	0.0001655997
30.90531	0.8624594	0.0002992091
30.9593	0.8628407	0.000363949
31.01329	0.8637983	0.001282142
31.06728	0.8626646	0.001065662
31.12127	0.862207	0.0005484438
31.17526	0.8628919	0.001174466
31.22925	0.8627035	0.001822697
31.28324	0.8623219	0.0008431146
31.33723	0.8622841	0.0004590585
31.39122	0.8623053	0.000732247
31.44521	0.8624699	0.0007291332
31.4992	0.862192	0.0003158832
31.55319	0.8623823	0.0005124189
31.60718	0.8619709	0.0010673
31.66117	0.862169	0.0009530227
31.71516	0.8632476	0.0002895748
31.76915	0.8628724	0.000600506
31.82314	0.8625171	0.0008600695
31.87713	0.861823	0.0005810235
31.93112	0.8613863	0.0006062112
31.98511	0.8618801	0.0008855531
32.0391	0.8615185	0.001646174
32.09309	0.8622803	0.0003016985
32.14708	0.8614081	0.001450211
32.20107	0.86103	0.0002954304
32.25506	0.8610223	0.0003469062
32.30905	0.861108	0.001163213
32.36304	0.8605546	0.0009826338
32.41703	0.8617638	0.0008518055
32.47102	0.8614162	0.0006443652
32.52501	0.8620255	0.001001604
32.579	0.8613774	0.001454821
32.63299	0.8618379	0.0004649591
32.68699	0.8619374	0.001028914
32.74097	0.8611944	0.0008488117
32.79496	0.8603031	0.001287422
32.84895	0.8598657	0.0005506195
32.90294	0.8605808	0.00110526
32.95694	0.8607755	0.0008698662
33.01093	0.8604993	0.0007811319
33.06491	0.8607658	0.0004328646
33.1189	0.8605419	0.0007417013
33.17289	0.8596937	0.0002847324
33.22689	0.8588335	0.002298287
33.28088	0.8603681	0.0008590697
33.33487	0.8606303	0.0006437481
33.38885	0.8598886	8.652898E-05
33.44284	0.8602695	0.0009857382
33.49684	0.8604137	0.0003016919
33.55083	0.8596879	0.0005498601
33.60482	0.8597033	0.0008151156
33.65881	0.8593618	0.0003765845
33.7128	0.859824	0.0004669362
33.76679	0.8592116	0.001690817
33.82078	0.8598096	0.0001146976
33.87477	0.8596376	0.001507655
33.92876	0.8589976	0.001636439
33.98275	0.8601292	0.001189047
34.03674	0.859319	0.001026927
34.09073	0.8581867	0.0004233169
34.14472	0.8596967	0.001488567
34.19871	0.8597629	0.001203022
34.2527	0.8607947	0.001043524
34.30669	0.8601068	0.0007761042
34.36068	0.8587966	0.001822259
34.41467	0.8587506	0.0006931351
34.46866	0.8579527	0.0004028355
34.52265	0.8586991	5.803866E-05
34.57664	0.8588642	0.0005131544
34.63063	0.858896	0.0008523072
34.68462	0.8595996	0.001227704
34.73861	0.8590389	0.0004242783
34.7926	0.8583619	0.0006975042
34.84659	0.8584151	0.0009385203
34.90058	0.8576647	0.001647436
34.95457	0.8574441	0.001088012
35.00856	0.8583971	0.001103684
35.06255	0.8581538	7.819626E-05
35.11654	0.8582392	0.0004745436
35.17053	0.8584046	0.000946982
35.22452	0.8581626	0.001524087
35.27851	0.858234	0.001164348
35.3325	0.8580097	0.000790442
35.38649	0.8576898	0.0001729759
35.44048	0.8568431	0.0004415552
35.49447	0.8569467	0.000551927
35.54846	0.8573636	0.0004188064
35.60246	0.8570656	0.001432855
35.65644	0.857072	0.001298803
35.71043	0.8573253	0.001306011
35.76442	0.8572896	0.000632244
35.81841	0.8569079	0.0007652531
35.87241	0.8570101	0.001253623
35.9264	0.8574036	0.0003050489
35.98038	0.8573081	0.000282301
36.03437	0.8564265	0.001236762
36.08837	0.8570293	0.001744961
36.14236	0.8562346	0.00120919
36.19635	0.8561046	0.001835387
36.25034	0.8568061	0.001103907
36.30433	0.8573613	0.001026137
36.35832	0.8560328	0.0006107748
36.41231	0.8554038	0.0003358526
36.4663	0.8559529	0.0003004615
36.52029	0.8560489	0.00152267
36.57428	0.856764	0.000330166
36.62827	0.8569458	0.0006002711
36.68226	0.8556604	0.001611901
36.73625	0.8553681	0.0005296369
36.79024	0.8562725	0.0008406219
36.84423	0.856226	0.001879666
36.89822	0.8559238	0.0009601821
36.95221	0.8554416	4.781738E-05
37.0062	0.8564857	0.00136115
37.06019	0.8558166	0.0001886609
37.11418	0.855371	0.001104069
37.16817	0.8552986	0.000576663
37.22216	0.8550368	0.0005703444
37.27615	0.8541288	0.0003886573
37.33014	0.8552837	0.001116471
37.38413	0.8552979	0.001928761
37.43812	0.854605	0.0001947996
37.49211	0.8550015	0.001099159
37.5461	0.8545391	0.0007763673
37.60009	0.8554126	0.001079786
37.65408	0.8543943	0.0007423004
37.70807	0.8550504	0.0004720107
37.76206	0.8550014	0.0008292241
37.81605	0.8542222	0.001196226
37.87004	0.8543426	0.0004615485
37.92403	0.8542088	0.0008121704
37.97802	0.8542972	0.001728219
38.03201	0.8546257	0.00125966
38.086	0.854292	0.00115377
38.13999	0.8544376	0.0008088679
38.19398	0.8543416	0.002037521
38.24797	0.8543418	0.0006326592
