T[°C]	350nm [counts / mm]	S.D.
19.99919	6921.415	
19.9994	6918.937	
20.00044	6916.458	
20.008	6910.909	
20.0128	6917.806	
20.02967	6915.185	
20.03757	6928.887	
20.05957	6917.139	
20.06995	6926.332	
20.09787	6906.943	
20.11041	6910.103	
20.14507	6917.628	
20.15979	6911.007	
20.19788	6896.201	
20.2153	6927.918	
20.26067	6890.459	
20.2798	6908.751	
20.33064	6906.431	
20.35186	6891.866	
20.40723	6909.645	
20.43079	6881.077	
20.49107	6903.346	
20.51505	6881.673	
20.57579	6865.381	
20.60302	6879.124	
20.6721	6851.807	
20.69985	6869.157	
20.76996	6842.589	
20.79866	6851.489	
20.86924	6834.124	
20.89949	6814.008	
20.97628	6829.019	
21.00718	6834.811	
21.08265	6807.244	
21.11396	6816.239	
21.19124	6811.26	
21.22335	6804.54	
21.29976	6797.798	
21.33131	6796.553	
21.41056	6785.112	
21.44345	6785.896	
21.52214	6766.415	
21.55393	6771.429	
21.63	6744.763	
21.66107	6737.358	
21.73985	6760.68	
21.77107	6743.442	
21.84835	6735.157	
21.88076	6740.121	
21.95784	6730.992	
21.98969	6733.245	
22.06899	6703.675	
22.10065	6718.704	
22.17671	6699.758	
22.20739	6707.682	
22.28637	6705.076	
22.31809	6686.955	
22.3957	6694.484	
22.42774	6678.851	
22.50638	6668.945	
22.53846	6673.729	
22.61428	6661.783	
22.64538	6655.794	
22.72333	6653.339	
22.75545	6648.762	
22.83447	6647.339	
22.86537	6643.248	
22.94252	6631.136	
22.97478	6618.47	
23.05329	6601.838	
23.08461	6625.004	
23.16217	6597.778	
23.19315	6609.406	
23.27024	6601.731	
23.30321	6595.637	
23.38072	6589.088	
23.41262	6584.111	
23.49135	6578.632	
23.52343	6568.218	
23.60043	6553.26	
23.63117	6557.664	
23.70907	6558.705	
23.74145	6554.522	
23.81894	6545.073	
23.84977	6551.45	
23.92682	6539.008	
23.95806	6543.162	
24.03798	6533.564	
24.07041	6516.831	
24.14768	6529.517	
24.17896	6519.33	
24.25632	6516.33	
24.28835	6509.088	
24.36605	6489.387	
24.398	6495.555	
24.47654	6484.411	
24.50834	6483.998	
24.58418	6467.789	
24.61597	6464.818	
24.69513	6474.332	
24.72625	6465.13	
24.80529	6449.843	
24.83704	6453.096	
24.91355	6442.52	
24.94502	6429.714	
25.02288	6431.891	
25.05419	6435.137	
25.1335	6421.28	
25.16584	6435.813	
25.24313	6403.839	
25.27386	6409.688	
25.35179	6403.41	
25.38347	6390.235	
25.46201	6380.499	
25.49427	6385.332	
25.57223	6376.875	
25.60319	6373.118	
25.67925	6364.458	
25.71101	6358.433	
25.78955	6353.048	
25.8219	6359.298	
25.90086	6342.106	
25.93199	6342.706	
26.00863	6339.364	
26.04041	6323.078	
26.1187	6322.245	
26.15001	6327.963	
26.22814	6324.717	
26.26006	6307.421	
26.33939	6309.089	
26.37113	6312.996	
26.44611	6289.476	
26.4803	6293.332	
26.55711	6278.958	
26.58904	6271.252	
26.66665	6258.08	
26.69772	6267.907	
26.77397	6255.148	
26.80507	6257.678	
26.88478	6250.645	
26.91732	6257.25	
26.99409	6236.148	
27.02492	6239.427	
27.10392	6243.186	
27.13506	6226.673	
27.21277	6219.242	
27.24535	6228.66	
27.32368	6204.204	
27.35414	6200.161	
27.43185	6214.133	
27.46294	6197.018	
27.54167	6196.806	
27.57306	6190.124	
27.65194	6186.217	
27.68336	6183.633	
27.7622	6174.532	
27.7933	6157.963	
27.87159	6176.523	
27.90401	6158.333	
27.9812	6140.121	
28.01225	6152.734	
28.08936	6136.751	
28.12301	6138.308	
28.20252	6129.929	
28.23366	6127.975	
28.30861	6117.525	
28.33973	6123.608	
28.41818	6107.722	
28.4502	6110.064	
28.52872	6092.2	
28.56	6094.531	
28.63674	6091.679	
28.66855	6083.352	
28.74642	6073.451	
28.77817	6087.298	
28.85559	6056.657	
28.88686	6059.929	
28.96555	6050.606	
28.99704	6048.041	
29.07593	6049.738	
29.10788	6049.499	
29.18362	6038.994	
29.21481	6036.175	
29.29361	6030.592	
29.32515	6017.279	
29.40343	6019.254	
29.43506	6022.593	
29.51197	6014.752	
29.54361	6002.354	
29.62243	6009.304	
29.6543	5998.431	
29.73149	5989.473	
29.76238	5995.078	
29.84085	5971.234	
29.87256	5983.091	
29.9502	5964.698	
29.98227	5964.617	
30.05931	5945.132	
30.09097	5947.048	
30.16768	5945.304	
30.19963	5933.034	
30.27793	5933.59	
30.30957	5932.866	
30.38692	5905.373	
30.41857	5934.136	
30.49753	5912.138	
30.52922	5920.338	
30.60682	5902.852	
30.63855	5907.634	
30.71693	5894.997	
30.74867	5895.448	
30.8267	5880.406	
30.85855	5880.67	
30.93632	5858.904	
30.96868	5868.396	
31.0442	5874.569	
31.07558	5855.621	
31.15466	5857.853	
31.18647	5849.536	
31.26389	5845.492	
31.29542	5846.021	
31.37285	5841.041	
31.40446	5838.186	
31.48192	5831.523	
31.51373	5830.033	
31.5903	5818.822	
31.62257	5802.593	
31.70175	5805.173	
31.73325	5807.32	
31.8115	5778.263	
31.84315	5799.293	
31.91972	5769.355	
31.95268	5780.864	
32.0295	5769.521	
32.06158	5766.366	
32.13903	5764.157	
32.17109	5761.783	
32.24774	5747.087	
32.28068	5755.82	
32.35772	5740.701	
32.38932	5739.11	
32.46818	5731.207	
32.49949	5743.852	
32.5778	5723.903	
32.60931	5724.095	
32.6861	5712.94	
32.71777	5704.198	
32.79566	5699.304	
32.82786	5693.949	
32.90558	5691.173	
32.93707	5683.085	
33.01547	5674.032	
33.04636	5674.041	
33.12321	5671.484	
33.15496	5658.255	
33.23534	5668.855	
33.26705	5658.131	
33.34455	5661.884	
33.37559	5649.278	
33.4531	5642.617	
33.48573	5635.405	
33.56203	5636.598	
33.59388	5631.021	
33.67213	5630.267	
