T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
19.99924	0.8683164		0.0001435602	
20.05323	0.8683159		0.0001362216	
20.10722	0.8683156		0.0001288811	
20.16121	0.8683154		0.0001215396	
20.2152	0.8683154		0.0001141967	
20.26919	0.8683157		0.0001068535	
20.32318	0.8683162		9.951023E-05	
20.37717	0.8683171		9.216699E-05	
20.43116	0.8683183		8.482491E-05	
20.48515	0.8683198		7.748404E-05	
20.53914	0.8683217		7.014555E-05	
20.59313	0.868324		6.280956E-05	
20.64712	0.8683266		5.547729E-05	
20.70111	0.8683296		4.81492E-05	
20.7551	0.8683328		4.082577E-05	
20.80909	0.8683364		3.35083E-05	
20.86308	0.8683403		2.619703E-05	
20.91707	0.8683444		1.88933E-05	
20.97106	0.8683487		1.159764E-05	
21.02505	0.868353		4.310602E-06	
21.07904	0.8683573		-2.96648E-06	
21.13303	0.8683615		-1.023331E-05	
21.18702	0.8683652		-1.748858E-05	
21.24101	0.8683685		-2.473174E-05	
21.295	0.868371		-3.196228E-05	
21.34899	0.8683723		-3.917892E-05	
21.40298	0.8683722		-4.638144E-05	
21.45697	0.8683705		-5.356862E-05	
21.51097	0.8683674		-6.074029E-05	
21.56495	0.8683703		-6.789533E-05	
21.61894	0.8683736		-7.503339E-05	
21.67294	0.8683773		-8.215419E-05	
21.72692	0.8683815		-8.925673E-05	
21.78092	0.8683863		-9.634109E-05	
21.83491	0.8683915		-0.0001034064	
21.8889	0.868397		-0.0001104525	
21.94289	0.8684027		-0.0001174794	
21.99688	0.8684084		-0.0001244864	
22.05087	0.8684142		-0.000131474	
22.10486	0.8684195		-0.0001384415	
22.15885	0.8684245		-0.0001453896	
22.21284	0.868429		-0.000152318	
22.26683	0.8684328		-0.0001592273	
22.32082	0.8684355		-0.0001661182	
22.37481	0.8684368		-0.000172991	
22.4288	0.8684358		-0.0001798469	
22.48279	0.868432		-0.0001866865	
22.53678	0.8684248		-0.0001935113	
22.59077	0.8684142		-0.0002003229	
22.64476	0.8684001		-0.0002071224	
22.69875	0.8683828		-0.0002139124	
22.75274	0.8683625		-0.0002206944	
22.80673	0.8683394		-0.0002274714	
22.86072	0.8683137		-0.0002342465	
22.91471	0.8682856		-0.0002410225	
22.9687	0.8682554		-0.0002478034	
23.02269	0.8682236		-0.000254593	
23.07668	0.868191		-0.0002613964	
23.13067	0.8681582		-0.0002682185	
23.18466	0.8681255		-0.0002750655	
23.23865	0.8680934		-0.0002819443	
23.29264	0.8680624		-0.0002888622	
23.34663	0.8680332		-0.0002958281	
23.40062	0.8680061		-0.0003028509	
23.45461	0.8679814		-0.000309941	
23.5086	0.867959		-0.0003171088	
23.56259	0.8679383		-0.0003243635	
23.61658	0.8679188		-0.000331713	
23.67057	0.8678998		-0.00033916	
23.72456	0.8678804		-0.0003467016	
23.77855	0.86786		-0.0003535398	
23.83254	0.8678381		-0.0003604079	
23.88653	0.8678149		-0.0003673021	
23.94052	0.8677905		-0.0003742169	
23.99451	0.8677651		-0.0003811476	
24.0485	0.8677395		-0.0003880886	
24.10249	0.8677145		-0.0003950357	
24.15648	0.8676904		-0.0004019847	
24.21047	0.8676672		-0.0004089313	
24.26447	0.8676447		-0.0004158716	
24.31845	0.8676227		-0.0004228008	
24.37244	0.8676005		-0.0004297149	
24.42644	0.8675779		-0.0004366095	
24.48042	0.8675546		-0.0004434795	
24.53442	0.8675307		-0.0004503207	
24.58841	0.8675061		-0.0004571281	
24.6424	0.8674808		-0.0004638969	
24.69639	0.8674546		-0.000470622	
24.75038	0.8674276		-0.0004772973	
24.80437	0.8674005		-0.0004839181	
24.85836	0.8673735		-0.0004904792	
24.91235	0.8673472		-0.0004969774	
24.96634	0.8673217		-0.0005034093	
25.02033	0.8672971		-0.0005097729	
25.07432	0.8672733		-0.0005160668	
25.12831	0.8672504		-0.0005222894	
25.1823	0.8672283		-0.0005284406	
25.23629	0.8672069		-0.0005345197	
25.29028	0.8671857		-0.0005405269	
25.34427	0.8671641		-0.0005464628	
25.39826	0.8671414		-0.000552327	
25.45225	0.8671173		-0.0005581205	
25.50624	0.867092		-0.0005638432	
25.56023	0.8670655		-0.0005694965	
25.61422	0.8670378		-0.0005750817	
25.66821	0.8670087		-0.0005806003	
25.7222	0.8669783		-0.000586055	
25.77619	0.8669468		-0.0005914476	
25.83018	0.8669149		-0.0005967816	
25.88417	0.866883		-0.0006020598	
25.93816	0.8668515		-0.0006072862	
25.99215	0.8668208		-0.0006124657	
26.04614	0.8667907		-0.0006176027	
26.10013	0.8667615		-0.0006227019	
26.15412	0.8667331		-0.0006277672	
26.20811	0.8667056		-0.0006328031	
26.2621	0.8666791		-0.0006378141	
26.31609	0.8666533		-0.0006428048	
26.37008	0.8666278		-0.0006477798	
26.42407	0.8666019		-0.0006527433	
26.47806	0.8665751		-0.0006576991	
26.53205	0.8665466		-0.0006626496	
26.58604	0.8665164		-0.0006675966	
26.64003	0.8664843		-0.0006725413	
26.69402	0.8664503		-0.0006774836	
26.74801	0.8664143		-0.0006824236	
26.802	0.8663762		-0.0006873605	
26.85599	0.8663359		-0.0006922931	
26.90998	0.8662935		-0.0006972204	
26.96397	0.8662489		-0.0007021404	
27.01797	0.8662019		-0.0007070507	
27.07195	0.8661525		-0.0007119473	
27.12594	0.8661003		-0.0007168259	
27.17994	0.8660455		-0.0007216814	
27.23392	0.8659885		-0.0007265083	
27.28792	0.8659301		-0.0007313018	
27.34191	0.8658708		-0.0007360565	
27.3959	0.8658113		-0.0007407675	
27.44989	0.8657527		-0.0007454293	
27.50388	0.8656958		-0.0007500374	
27.55787	0.8656415		-0.0007545873	
27.61186	0.8655905		-0.0007590738	
27.66585	0.8655433		-0.000763493	
27.71984	0.8654999		-0.0007678407	
27.77383	0.8654595		-0.0007721138	
27.82782	0.8654216		-0.00077631	
27.88181	0.8653852		-0.0007804262	
27.9358	0.8653495		-0.00078446	
27.98979	0.8653136		-0.0007884093	
28.04378	0.8652769		-0.0007922732	
28.09777	0.8652388		-0.0007960523	
28.15176	0.8651986		-0.0007997479	
28.20575	0.8651559		-0.0008033635	
28.25974	0.8651104		-0.0008069022	
28.31373	0.8650623		-0.0008103687	
28.36772	0.8650125		-0.0008137675	
28.42171	0.8649617		-0.0008171045	
28.4757	0.8649107		-0.000820387	
28.52969	0.8648598		-0.0008236226	
28.58368	0.864809		-0.0008268201	
28.63767	0.8647588		-0.0008299887	
28.69166	0.8647097		-0.0008331377	
28.74565	0.8646619		-0.0008362769	
28.79964	0.8646157		-0.0008394161	
28.85363	0.8645713		-0.0008425656	
28.90762	0.8645286		-0.0008457351	
28.96161	0.8644875		-0.0008489342	
29.0156	0.8644479		-0.0008521717	
29.06959	0.8644094		-0.0008554556	
29.12358	0.8643717		-0.0008587944	
29.17757	0.864334		-0.0008621951	
29.23156	0.8642957		-0.0008656646	
29.28555	0.864256		-0.0008692085	
29.33954	0.8642142		-0.0008728317	
29.39353	0.86417		-0.0008765391	
29.44752	0.864123		-0.0008803346	
29.50151	0.8640733		-0.0008842228	
29.5555	0.8640213		-0.0008882068	
29.60949	0.8639669		-0.0008922898	
29.66348	0.8639101		-0.0008964734	
29.71747	0.8638514		-0.0009007578	
29.77147	0.8637916		-0.0009051434	
29.82545	0.8637316		-0.0009096296	
29.87944	0.8636722		-0.0009142166	
29.93344	0.8636138		-0.0009189043	
29.98742	0.8635567		-0.0009236914	
30.04142	0.8635013		-0.0009285774	
30.09541	0.8634479		-0.0009335603	
30.1494	0.863397		-0.0009386382	
30.20339	0.863349		-0.0009438075	
30.25738	0.8633043		-0.0009490646	
30.31137	0.863263		-0.0009544058	
30.36536	0.863225		-0.0009598261	
30.41935	0.8631901		-0.0009653213	
30.47334	0.8631573		-0.0009708856	
30.52733	0.863126		-0.0009765135	
30.58132	0.8630948		-0.0009821997	
30.63531	0.863063		-0.0009879378	
30.6893	0.8630301		-0.0009937228	
30.74329	0.8629957		-0.0009995488	
30.79728	0.8629595		-0.001005411	
30.85127	0.8629206		-0.001011306	
30.90526	0.8628787		-0.00101723	
30.95925	0.8628334		-0.00102318	
31.01324	0.862785		-0.001029155	
31.06723	0.862734		-0.001035152	
31.12122	0.8626812		-0.001041171	
31.17521	0.862627		-0.001047211	
31.2292	0.8625724		-0.001053272	
31.28319	0.8625179		-0.001059355	
31.33718	0.862464		-0.001065462	
31.39117	0.8624106		-0.001071596	
31.44516	0.8623573		-0.001077758	
31.49915	0.8623039		-0.001083949	
31.55314	0.8622505		-0.00109017	
31.60713	0.8621973		-0.001096423	
31.66112	0.8621444		-0.001102709	
31.71511	0.862091		-0.001109029	
31.7691	0.8620363		-0.001115382	
31.82309	0.8619795		-0.001121768	
31.87708	0.8619198		-0.001128184	
31.93107	0.8618569		-0.001134626	
31.98506	0.8617906		-0.001141092	
32.03905	0.8617212		-0.001147575	
32.09304	0.8616487		-0.001154069	
32.14703	0.8615736		-0.001160565	
32.20102	0.8614959		-0.001167055	
32.25501	0.861416		-0.001173527	
32.30901	0.8613342		-0.001179971	
32.363	0.8612508		-0.001186375	
32.41698	0.8611667		-0.001192725	
32.47097	0.8610824		-0.001199011	
32.52496	0.8609984		-0.001205218	
32.57896	0.8609154		-0.001211334	
32.63295	0.8608336		-0.001217346	
32.68694	0.8607536		-0.001223241	
32.74092	0.8606753		-0.001229004	
32.79491	0.8605986		-0.001234621	
32.84891	0.8605236		-0.001240079	
32.9029	0.86045		-0.001245362	
32.95689	0.860378		-0.001250457	
33.01088	0.8603075		-0.001255353	
33.06487	0.8602383		-0.001260036	
33.11886	0.8601701		-0.001264496	
33.17285	0.8601024		-0.001268723	
33.22684	0.8600347		-0.001272705	
33.28083	0.8599665		-0.001276435	
33.33482	0.8598977		-0.001279903	
33.38881	0.8598282		-0.001283103	
33.4428	0.8597579		-0.001286028	
33.49679	0.8596866		-0.001288673	
33.55078	0.8596143		-0.001291032	
33.60477	0.859541		-0.001293102	
33.65876	0.8594672		-0.001294878	
33.71275	0.8593928		-0.001296358	
33.76674	0.8593181		-0.001297541	
33.82073	0.8592435		-0.001298426	
33.87472	0.8591696		-0.001299019	
33.92871	0.8590972		-0.001299323	
33.9827	0.8590268		-0.001299344	
34.03669	0.8589582		-0.001299091	
34.09068	0.8588912		-0.001298572	
34.14467	0.8588255		-0.001297798	
34.19866	0.8587602		-0.00129678	
34.25265	0.8586946		-0.001295532	
34.30664	0.8586281		-0.001294071	
34.36063	0.8585603		-0.001292412	
34.41462	0.8584908		-0.001290577	
34.46861	0.8584196		-0.001288586	
34.5226	0.8583471		-0.001286461	
34.57659	0.8582729		-0.001284223	
34.63058	0.8581969		-0.001281897	
34.68457	0.858119		-0.001279505	
34.73856	0.8580389		-0.001277073	
34.79255	0.8579571		-0.001274625	
34.84654	0.8578739		-0.001272184	
34.90053	0.8577895		-0.001269775	
34.95452	0.8577039		-0.001267418	
35.00851	0.8576172		-0.001265135	
35.0625	0.8575295		-0.001262945	
35.11649	0.8574412		-0.001260864	
35.17048	0.8573532		-0.001258907	
35.22448	0.8572657		-0.001257087	
35.27847	0.8571793		-0.001255417	
35.33245	0.8570948		-0.001253906	
35.38644	0.8570126		-0.001252562	
35.44043	0.8569331		-0.001251391	
35.49443	0.8568563		-0.001250396	
35.54842	0.8567827		-0.00124958	
35.60241	0.8567122		-0.001248943	
35.65639	0.8566447		-0.001248486	
35.71039	0.8565803		-0.001248208	
35.76438	0.8565185		-0.001248105	
35.81837	0.8564591		-0.001248173	
35.87236	0.8564016		-0.001248406	
35.92635	0.856346		-0.001248797	
35.98034	0.856292		-0.001249336	
36.03433	0.8562397		-0.001250013	
36.08832	0.8561888		-0.001250816	
36.14231	0.8561389		-0.001251734	
36.1963	0.8560895		-0.001252756	
36.25029	0.8560403		-0.001253871	
36.30428	0.8559913		-0.001255068	
36.35827	0.8559425		-0.00125634	
36.41226	0.8558943		-0.001257677	
36.46625	0.8558468		-0.001259072	
36.52024	0.8558001		-0.001260519	
36.57423	0.855754		-0.001262012	
36.62822	0.8557085		-0.001263547	
36.68221	0.8556634		-0.001265118	
36.7362	0.8556182		-0.001266721	
36.79019	0.8555726		-0.00126835	
36.84418	0.8555264		-0.001270002	
36.89817	0.8554792		-0.001271673	
36.95216	0.8554306		-0.001273362	
37.00615	0.8553801		-0.001275068	
37.06014	0.8553276		-0.001276792	
37.11413	0.855273		-0.001278533	
37.16812	0.8552164		-0.001280293	
37.22211	0.855158		-0.001282072	
37.2761	0.8550982		-0.00128387	
37.33009	0.8550372		-0.001285688	
37.38408	0.8549749		-0.001287529	
37.43807	0.8549113		-0.001289392	
37.49206	0.8548461		-0.001291282	
37.54605	0.8547786		-0.001293201	
37.60004	0.8547089		-0.001295151	
37.65403	0.8546368		-0.001297137	
37.70802	0.8545628		-0.001299161	
37.76201	0.8544874		-0.001301228	
37.81601	0.8544109		-0.001303343	
37.87	0.8543338		-0.001305511	
37.92398	0.8542559		-0.001307739	
37.97797	0.8541771		-0.001310033	
38.03196	0.8540974		-0.001312399	
38.08596	0.8540168		-0.001314843	
38.13995	0.853935		-0.00131737	
38.19394	0.8538519		-0.001319986	
38.24792	0.8537675		-0.001322693	
38.30191	0.8536818		-0.001325492	
38.35591	0.8535952		-0.001328382	
38.4099	0.8535078		-0.001331359	
38.46389	0.85342		-0.001334421	
38.51788	0.8533319		-0.001337561	
38.57187	0.8532437		-0.001340773	
38.62586	0.8531556		-0.001344049	
38.67985	0.8530675		-0.001347378	
38.73384	0.8529798		-0.001350751	
38.78783	0.8528929		-0.001354159	
38.84182	0.8528069		-0.001357593	
38.89581	0.8527222		-0.001361044	
38.9498	0.8526386		-0.001364505	
39.00379	0.8525555		-0.001367966	
39.05778	0.8524727		-0.001371421	
39.11177	0.8523903		-0.001374861	
39.16576	0.8523085		-0.001378279	
39.21975	0.852227		-0.001381668	
39.27374	0.852146		-0.00138502	
39.32773	0.852065		-0.00138833	
39.38172	0.8519838		-0.001391594	
39.43571	0.8519022		-0.001394808	
39.4897	0.8518201		-0.00139797	
39.54369	0.8517379		-0.001401079	
39.59768	0.8516558		-0.001404136	
39.65167	0.8515743		-0.001407144	
39.70566	0.8514935		-0.001410107	
39.75965	0.8514137		-0.001413027	
39.81364	0.851335		-0.001415911	
39.86763	0.8512572		-0.001418764	
39.92162	0.8511803		-0.001421593	
39.97561	0.851104		-0.001424403	
40.0296	0.8510283		-0.001427203	
40.08359	0.8509533		-0.001429999	
40.13758	0.8508791		-0.001432798	
40.19157	0.8508056		-0.001435607	
40.24556	0.8507327		-0.00143843	
40.29955	0.8506608		-0.001441272	
40.35354	0.8505902		-0.001444137	
40.40753	0.8505209		-0.001447027	
40.46152	0.8504529		-0.001449946	
40.51551	0.8503861		-0.001452897	
40.5695	0.85032		-0.001455884	
40.62349	0.8502544		-0.001458912	
40.67748	0.8501889		-0.001461984	
40.73148	0.8501232		-0.001465106	
40.78547	0.8500572		-0.001468283	
40.83945	0.8499909		-0.001471519	
40.89344	0.8499241		-0.001474822	
40.94744	0.8498568		-0.001478197	
41.00143	0.849789		-0.001481651	
41.05542	0.8497207		-0.00148519	
41.10941	0.8496519		-0.00148882	
41.16339	0.8495827		-0.001492546	
41.21739	0.8495129		-0.001496374	
41.27138	0.8494426		-0.001500307	
41.32537	0.8493719		-0.001504351	
41.37936	0.8493006		-0.001508508	
41.43335	0.8492281		-0.00151278	
41.48734	0.8491542		-0.001517169	
41.54133	0.8490788		-0.001521673	
41.59532	0.849002		-0.00152629	
41.64931	0.8489237		-0.001531015	
41.7033	0.8488441		-0.001535844	
41.75729	0.8487631		-0.001540769	
41.81128	0.8486809		-0.001545782	
41.86527	0.8485976		-0.001550874	
41.91926	0.8485138		-0.001556037	
41.97325	0.8484299		-0.00156126	
42.02724	0.8483462		-0.001566536	
42.08123	0.848263		-0.001571854	
42.13522	0.8481805		-0.001577204	
42.18921	0.8480988		-0.001582578	
42.2432	0.8480179		-0.001587966	
42.29719	0.8479381		-0.001593358	
42.35118	0.8478591		-0.001598742	
42.40517	0.8477806		-0.00160411	
42.45916	0.8477022		-0.001609451	
42.51315	0.847623		-0.001614759	
42.56714	0.8475423		-0.001620024	
42.62113	0.8474598		-0.001625239	
42.67512	0.8473749		-0.001630398	
42.72911	0.8472872		-0.001635496	
42.7831	0.8471969		-0.001640529	
