T[°C]	Ratio 350nm / 330nm	S.D.
19.99924	0.867071	
19.99944	0.8679724	
20.00065	0.8679788	
20.0078	0.8700131	
20.01325	0.8700759	
20.02921	0.8679555	
20.03816	0.8680092	
20.05897	0.8679821	
20.07071	0.8686011	
20.09713	0.8692992	
20.11134	0.8682763	
20.14413	0.8666606	
20.16078	0.8688824	
20.19681	0.8697912	
20.21652	0.8678897	
20.25945	0.8682914	
20.28107	0.868502	
20.32925	0.869648	
20.3533	0.8682131	
20.40568	0.8686712	
20.43232	0.8683916	
20.48936	0.8702645	
20.51657	0.8664587	
20.57402	0.8694935	
20.60485	0.8682547	
20.6702	0.867017	
20.70164	0.8680697	
20.76799	0.8684166	
20.80048	0.8688126	
20.86726	0.8696631	
20.90151	0.870846	
20.97414	0.8652327	
21.00914	0.8696506	
21.08053	0.868323	
21.11602	0.8676658	
21.18917	0.867653	
21.22541	0.8667703	
21.29769	0.8682221	
21.33344	0.8676525	
21.40842	0.8691768	
21.44559	0.8657926	
21.52003	0.8682187	
21.55601	0.8690159	
21.62798	0.8691425	
21.66318	0.8684764	
21.73771	0.8681762	
21.77313	0.8682963	
21.84623	0.8671213	
21.88286	0.8692401	
21.95576	0.8686016	
21.99186	0.8695647	
22.06686	0.8674856	
22.10259	0.87084	
22.17472	0.8691188	
22.20952	0.8693739	
22.28424	0.8674803	
22.32008	0.8669693	
22.39354	0.8701825	
22.42988	0.8666654	
22.50426	0.8681127	
22.5405	0.868537	
22.61226	0.8685096	
22.64754	0.86913	
22.72128	0.8691426	
22.75764	0.8692998	
22.8324	0.870078	
22.86741	0.8681547	
22.94041	0.8673387	
22.97696	0.8678051	
23.05131	0.8672748	
23.08676	0.8682102	
23.16013	0.8690702	
23.19523	0.8687344	
23.26817	0.8673971	
23.30531	0.8680223	
23.37862	0.868225	
23.41474	0.8679942	
23.48922	0.86871	
23.52557	0.8675883	
23.59843	0.8675025	
23.63326	0.8682914	
23.70695	0.8681631	
23.74361	0.8676198	
23.81689	0.8685057	
23.85187	0.8670402	
23.92475	0.866674	
23.96019	0.8656974	
24.0358	0.8684361	
24.07248	0.8670971	
24.14558	0.8689494	
24.18099	0.866699	
