T[°C]	330nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
19.99929	7983.413		-112.884	
20.05328	7976.815		-112.8531	
20.10727	7970.224		-112.8223	
20.16126	7963.638		-112.7916	
20.21525	7957.061		-112.7608	
20.26924	7950.491		-112.7302	
20.32323	7943.931		-112.6995	
20.37722	7937.384		-112.6689	
20.43121	7930.85		-112.6383	
20.4852	7924.33		-112.6076	
20.53919	7917.823		-112.577	
20.59318	7911.33		-112.5462	
20.64717	7904.848		-112.5154	
20.70116	7898.374		-112.4845	
20.75515	7891.904		-112.4535	
20.80914	7885.434		-112.4223	
20.86312	7878.958		-112.391	
20.91712	7872.47		-112.3594	
20.97111	7865.973		-112.3276	
21.02509	7859.831		-112.2955	
21.07909	7853.768		-112.2631	
21.13308	7847.774		-112.2303	
21.18707	7841.849		-112.1971	
21.24105	7835.998		-112.1635	
21.29505	7830.21		-112.1293	
21.34904	7824.461		-112.0945	
21.40302	7818.72		-112.0591	
21.45702	7812.978		-112.0231	
21.51101	7807.234		-111.9863	
21.56499	7801.489		-111.9487	
21.61898	7795.742		-111.9103	
21.67298	7789.995		-111.871	
21.72696	7784.251		-111.8309	
21.78095	7778.501		-111.79	
21.83494	7772.725		-111.7482	
21.88894	7766.9		-111.7057	
21.94292	7761.007		-111.6624	
21.99691	7755.036		-111.6185	
22.05091	7748.983		-111.574	
22.10489	7742.853		-111.5291	
22.15888	7736.651		-111.4839	
22.21287	7730.376		-111.4386	
22.26686	7724.035		-111.3934	
22.32085	7717.643		-111.3487	
22.37484	7711.227		-111.3046	
22.42883	7704.821		-111.2618	
22.48282	7698.457		-111.2207	
22.53681	7692.157		-111.1819	
22.5908	7685.923		-111.1462	
22.64479	7679.734		-111.1011	
22.69878	7673.567		-111.0553	
22.75277	7667.399		-111.008	
22.80676	7661.217		-110.9583	
22.86075	7655.01		-110.9054	
22.91474	7648.783		-110.8482	
22.96873	7642.553		-110.7859	
23.02272	7636.35		-110.7176	
23.07671	7630.196		-110.6424	
23.1307	7624.109		-110.5599	
23.18469	7618.121		-110.4693	
23.23868	7612.255		-110.3703	
23.29267	7606.515		-110.2627	
23.34666	7600.869		-110.1462	
23.40065	7595.288		-110.0208	
23.45464	7589.746		-109.8863	
23.50863	7584.218		-109.7428	
23.56262	7578.673		-109.5902	
23.61661	7573.077		-109.4287	
23.6706	7567.403		-109.2588	
23.72459	7561.637		-109.0809	
23.77858	7555.775		-108.8958	
23.83257	7549.825		-108.7044	
23.88656	7543.81		-108.5078	
23.94055	7537.767		-108.3073	
23.99454	7531.729		-108.1044	
24.04853	7525.729		-107.9008	
24.10252	7519.779		-107.6982	
24.15651	7513.878		-107.4982	
24.2105	7508.002		-107.3025	
24.26449	7502.114		-107.1125	
24.31848	7496.188		-106.9297	
