T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
19.99929	96.15829		-0.2969383	
20.05328	96.13389		-0.2887911	
20.10727	96.10862		-0.280762	
20.16126	96.08248		-0.2728559	
20.21525	96.0555		-0.2650766	
20.26924	96.02776		-0.2574283	
20.32323	95.99936		-0.2499146	
20.37722	95.97046		-0.2425397	
20.43121	95.94122		-0.2353069	
20.4852	95.91182		-0.2282192	
20.53919	95.8825		-0.2212799	
20.59318	95.85352		-0.2144914	
20.64717	95.8251		-0.2078558	
20.70116	95.79735		-0.2013748	
20.75515	95.76974		-0.1950502	
20.80914	95.73943		-0.1888826	
20.86312	95.70905		-0.1828724	
20.91712	95.68049		-0.1770192	
20.97111	95.6536		-0.1713224	
21.02509	95.62856		-0.1657804	
21.07909	95.60639		-0.1603908	
21.13308	95.58799		-0.1551512	
21.18707	95.57377		-0.1500579	
21.24105	95.56406		-0.1451064	
21.29505	95.55902		-0.1402916	
21.34904	95.55836		-0.1356078	
21.40302	95.56138		-0.1310481	
21.45702	95.56747		-0.1266042	
21.51101	95.57608		-0.1222678	
21.56499	95.58657		-0.1180289	
21.61898	95.59827		-0.1138767	
21.67298	95.61088		-0.1097996	
21.72696	95.62466		-0.1057851	
21.78095	95.63995		-0.1018197	
21.83494	95.65699		-0.09788905	
21.88894	95.67531		-0.09397753	
21.94292	95.69435		-0.09006891	
21.99691	95.71406		-0.08614555	
22.05091	95.73451		-0.08218916	
22.10489	95.7561		-0.07818182	
22.15888	95.77885		-0.07410631	
22.21287	95.80211		-0.0699488	
22.26686	95.8249		-0.06570245	
22.32085	95.84612		-0.06137473	
22.37484	95.86469		-0.05699745	
22.42883	95.87966		-0.05264322	
22.48282	95.8913		-0.04844499	
22.53681	95.90032		-0.04460742	
22.5908	95.90691		-0.04138378	
22.64479	95.91049		-0.04460769	
22.69878	95.91069		-0.04829617	
22.75277	95.90768		-0.05242593	
22.80676	95.90155		-0.0569705	
22.86075	95.89255		-0.06190053	
22.91474	95.88167		-0.06718373	
22.96873	95.87032		-0.07278518	
23.02272	95.85938		-0.07866656	
23.07671	95.84911		-0.0847857	
23.1307	95.83942		-0.09109639	
23.18469	95.83031		-0.09754639	
23.23868	95.82172		-0.1040786	
23.29267	95.81353		-0.1106304	
23.34666	95.80571		-0.1171362	
23.40065	95.79808		-0.1235287	
23.45464	95.79063		-0.1297396	
23.50863	95.78307		-0.1357032	
23.56262	95.77494		-0.141357	
23.61661	95.76566		-0.1466441	
23.6706	95.7549		-0.151513	
23.72459	95.74282		-0.1559185	
23.77858	95.72993		-0.1598245	
23.83257	95.71632		-0.1632022	
23.88656	95.702		-0.1660331	
23.94055	95.68666		-0.1683084	
23.99454	95.67004		-0.170029	
24.04853	95.6519		-0.1712051	
24.10252	95.63181		-0.1718537	
24.15651	95.60922		-0.1719979	
24.2105	95.58379		-0.1716648	
24.26449	95.55572		-0.1708849	
24.31848	95.52565		-0.1696893	
24.37247	95.49474		-0.1681108	
24.42646	95.46404		-0.1661816	
24.48045	95.43412		-0.1639337	
24.53444	95.40524		-0.1613983	
24.58843	95.37747		-0.1586052	
24.64242	95.35107		-0.1555832	
24.69641	95.32626		-0.1523589	
24.7504	95.3028		-0.1489581	
24.80439	95.28009		-0.1454047	
24.85838	95.25803		-0.1417207	
24.91237	95.23677		-0.1379266	
24.96636	95.21716		-0.1340407	
25.02035	95.20098		-0.1300803	
25.07434	95.18984		-0.1260612	
25.12833	95.18504		-0.1219976	
25.18232	95.1869		-0.1179023	
25.23631	95.19491		-0.1137876	
25.2903	95.20775		-0.1096661	
25.34429	95.22324		-0.1055508	
25.39828	95.23976		-0.1014558	
25.45227	95.25626		-0.09739666	
25.50626	95.27169		-0.09339052	
25.56025	95.28487		-0.08945471	
25.61424	95.29499		-0.0856064	
25.66823	95.30214		-0.08186226	
25.72222	95.30759		-0.07823835	
25.77621	95.31323		-0.074752	
25.8302	95.32067		-0.07142086	
25.88419	95.3311		-0.06826469	
25.93818	95.34435		-0.0653059	
25.99217	95.35951		-0.06256995	
26.04616	95.3749		-0.06008527	
26.10015	95.38855		-0.05788084	
26.15414	95.39904		-0.05598672	
26.20813	95.40532		-0.0544311	
26.26212	95.40714		-0.05323907	
26.31611	95.40549		-0.05243026	
26.3701	95.40204		-0.05201628	
26.42409	95.39826		-0.05199989	
26.47808	95.39565		-0.05237332	
26.53207	95.39494		-0.05312021	
26.58606	95.3959		-0.05421513	
26.64005	95.39785		-0.05562505	
26.69404	95.39952		-0.05730961	
26.74803	95.39957		-0.05922362	
26.80202	95.39648		-0.06131901	
26.85601	95.38931		-0.06354507	
26.91	95.37817		-0.06585059	
26.96399	95.36362		-0.06818437	
27.01798	95.3469		-0.07049689	
27.07197	95.33007		-0.07274254	
27.12596	95.31547		-0.0748807	
27.17995	95.30489		-0.07687693	
27.23394	95.29918		-0.07870173	
27.28793	95.29797		-0.08032952	
27.34192	95.29983		-0.08173774	
27.39591	95.30276		-0.08290697	
27.4499	95.3047		-0.08382148	
27.50389	95.30412		-0.08446801	
27.55788	95.29982		-0.08483626	
27.61187	95.29138		-0.08491812	
27.66586	95.27907		-0.08470737	
27.71985	95.26373		-0.08419973	
27.77384	95.24654		-0.08339285	
27.82783	95.22859		-0.08228873	
27.88182	95.21078		-0.08089292	
27.93581	95.19348		-0.07921658	
27.9898	95.17664		-0.07727532	
28.04379	95.15961		-0.07508896	
28.09778	95.14185		-0.07267997	
28.15177	95.12307		-0.07007343	
28.20576	95.10326		-0.06729762	
28.25975	95.08292		-0.06438333	
28.31374	95.06284		-0.06136288	
28.36773	95.04427		-0.05826725	
28.42172	95.02843		-0.05512505	
28.47571	95.01619		-0.05196114	
28.5297	95.00763		-0.04879524	
28.58369	95.00208		-0.04564225	
28.63768	94.9986		-0.04251255	
28.69167	94.99615		-0.03941318	
28.74566	94.99414		-0.03634863	
28.79965	94.99264		-0.03332165	
28.85364	94.99206		-0.0303345	
28.90763	94.99331		-0.02738995	
28.96162	94.99744		-0.02449313	
29.01561	95.00518		-0.0216527	
29.0696	95.0168		-0.01888323	
29.12359	95.03208		-0.01620455	
29.17758	95.0506		-0.01364157	
29.23157	95.07144		-0.01122344	
29.28556	95.09336		-0.008981452	
29.33955	95.11502		-0.006946996	
29.39354	95.13493		-0.005149115	
29.44753	95.15237		-0.00361538	
29.50152	95.16732		-0.002369701	
29.55551	95.18033		-0.001431492	
29.6095	95.19225		-0.0008143763	
29.66349	95.20303		-0.0005252396	
29.71748	95.21233		-0.0005645663	
29.77147	95.21959		-0.0009270867	
29.82546	95.22398		-0.001603144	
29.87945	95.22517		-0.002579613	
29.93344	95.22323		-0.003841585	
29.98743	95.21854		-0.005372377	
30.04142	95.21198		-0.007153102	
30.09541	95.20469		-0.009163719	
30.1494	95.19804		-0.0113819	
30.20339	95.19323		-0.01378309	
30.25738	95.19137		-0.01634129	
30.31137	95.19306		-0.01902908	
30.36536	95.19808		-0.02181737	
30.41935	95.20564		-0.02467429	
30.47334	95.21433		-0.02756447	
30.52732	95.22247		-0.03044747	
30.58132	95.22897		-0.03327856	
30.63531	95.23316		-0.03600971	
30.68929	95.23486		-0.03859237	
30.74329	95.23405		-0.04097863	
30.79728	95.23094		-0.04312277	
30.85126	95.22578		-0.04498215	
30.90525	95.21904		-0.04651823	
30.95925	95.21132		-0.04769735	
31.01324	95.2029		-0.04849174	
31.06722	95.19388		-0.04888089	
31.12122	95.18391		-0.04885469	
31.17521	95.17233		-0.04841483	
31.22919	95.15881		-0.04757324	
31.28318	95.14318		-0.04635162	
31.33718	95.12593		-0.04477983	
31.39116	95.10851		-0.04289505	
31.44515	95.0925		-0.0407397	
31.49914	95.0787		-0.03836039	
31.55313	95.0673		-0.03580402	
31.60712	95.05748		-0.03311606	
31.66111	95.04819		-0.03033745	
31.71511	95.0383		-0.02750457	
31.76909	95.02677		-0.0246491	
31.82308	95.01268		-0.02179749	
31.87707	94.99548		-0.01897108	
31.93106	94.97535		-0.01618742	
31.98505	94.95287		-0.01346158	
32.03904	94.92889		-0.01080574	
32.09303	94.90493		-0.008229837	
32.14702	94.88326		-0.00574166	
32.20102	94.86604		-0.003346816	
32.255	94.8547		-0.001050444	
32.30899	94.84948		0.001143187	
32.36298	94.84976		0.003229464	
32.41697	94.85471		0.005203757	
32.47096	94.86386		0.007061067	
32.52495	94.87694		0.008796666	
32.57895	94.89348		0.01040587	
32.63293	94.91326		0.01188388	
32.68692	94.93576		0.01322684	
32.74091	94.96053		0.0144318	
32.7949	94.98726		0.01549581	
32.84889	95.01534		0.01641517	
32.90288	95.04397		0.0171842	
32.95687	95.07153		0.01779396	
33.01086	95.09653		0.01823092	
33.06485	95.11833		0.01847669	
33.11884	95.1367		0.01850793	
33.17283	95.15205		0.01829695	
33.22682	95.16505		0.01781242	
33.28081	95.1759		0.01702064	
33.3348	95.18515		0.01588673	
33.38879	95.19306		0.01437508	
33.44278	95.20013		0.0124511	
33.49677	95.20702		0.01008175	
33.55076	95.21474		0.00723813	
33.60475	95.22404		0.00389757	
33.65874	95.23446		4.486978E-05	
33.71273	95.24417		-0.00432608	
33.76672	95.25152		-0.009212228	
33.82071	95.25545		-0.01460008	
33.8747	95.25599		-0.02046794	
33.92869	95.25385		-0.02678511	
33.98268	95.24951		-0.03351195	
34.03667	95.24316		-0.04059961	
34.09066	95.23506		-0.04799127	
34.14465	95.22523		-0.05562371	
34.19864	95.2137		-0.06342727	
34.25263	95.20075		-0.0713307	
34.30662	95.18636		-0.07926035	
34.36061	95.17075		-0.0871423	
34.4146	95.15482		-0.09490328	
34.46859	95.13953		-0.1024725	
34.52258	95.12592		-0.1097837	
34.57657	95.11442		-0.116774	
34.63056	95.10513		-0.1233898	
34.68455	95.09791		-0.1295845	
34.73854	95.09221		-0.1353185	
34.79253	95.08732		-0.1405573	
34.84652	95.08277		-0.1452712	
34.90051	95.07789		-0.1494355	
34.9545	95.07242		-0.1530297	
35.00849	95.0658		-0.1560398	
35.06248	95.0576		-0.1584569	
35.11647	95.04712		-0.1602776	
35.17046	95.03362		-0.1615041	
35.22445	95.01659		-0.1621425	
35.27844	94.99612		-0.1622033	
35.33243	94.97279		-0.1617006	
35.38642	94.94724		-0.1606529	
35.44041	94.92		-0.1590836	
35.4944	94.89143		-0.1570211	
35.54839	94.86184		-0.154499	
35.60238	94.8314		-0.1515549	
35.65637	94.80084		-0.1482288	
35.71036	94.77151		-0.1445637	
35.76435	94.7443		-0.1406024	
35.81834	94.72012		-0.1363872	
35.87233	94.69975		-0.13196	
35.92632	94.68335		-0.1273603	
35.98031	94.67064		-0.1226243	
36.0343	94.66088		-0.1177843	
36.08829	94.65294		-0.1128686	
36.14228	94.64598		-0.1079034	
36.19627	94.63941		-0.1029115	
