T[°C]	Scattering [mAU]	S.D.
19.99929	96.13416	
19.99948	96.72337	
20.00086	96.72508	
20.00761	95.94254	
20.01369	96.58378	
20.02875	96.10029	
20.03874	95.93535	
20.05837	95.84703	
20.07148	95.88954	
20.09639	95.57204	
20.11227	96.0308	
20.14318	95.62759	
20.16176	96.10587	
20.19574	95.78598	
20.21775	95.76345	
20.25823	96.19904	
20.28234	96.29975	
20.32786	95.95318	
20.35474	95.9417	
20.40413	96.04947	
20.43385	96.14134	
20.48764	95.98621	
20.51809	96.31635	
20.57224	96.05479	
20.60668	96.14401	
20.66829	95.9508	
20.70344	96.1048	
20.76603	96.01521	
20.80231	95.77438	
20.86527	95.36871	
20.90352	95.24802	
20.972	95.33193	
21.01109	95.48638	
21.07841	95.57516	
21.11807	95.14388	
21.18709	95.60324	
21.22746	95.34035	
21.29561	95.32991	
21.33557	95.40838	
21.40628	95.65153	
21.44772	95.73927	
21.51791	95.56927	
21.5581	96.28896	
21.62595	95.39513	
21.66529	95.30382	
21.73558	95.68748	
21.7752	95.86523	
21.84412	95.98386	
21.88496	95.32549	
21.95368	95.61737	
21.99402	95.69127	
22.06472	95.36697	
22.10453	95.4453	
22.17273	95.71435	
22.21166	95.75402	
22.28212	96.01035	
22.32208	95.82841	
22.39137	95.95657	
22.43202	96.09348	
22.50213	95.72351	
22.54255	96.41731	
22.61024	95.69634	
22.64969	96.21276	
22.71924	96.10185	
22.75984	96.26614	
22.83032	96.19634	
22.86946	95.82486	
22.9383	95.46071	
22.97915	95.91075	
23.04932	95.38483	
23.08891	95.73438	
23.15808	95.62833	
23.19732	95.75665	
23.26608	95.84116	
23.3074	95.82798	
23.37652	95.57812	
23.41686	95.99473	
23.48709	95.53847	
23.52771	95.90959	
23.59642	95.78671	
23.63534	96.27495	
23.70482	96.19205	
23.74577	95.7294	
23.81485	95.81217	
23.85397	95.79227	
23.92269	95.50163	
23.96233	95.76373	
24.03362	95.26868	
24.07455	95.71079	
24.14347	95.36819	
24.18302	95.41712	
24.25202	95.56056	
24.29259	95.39066	
24.36187	95.71236	
24.40234	95.42974	
24.47235	95.82117	
24.5125	95.52255	
24.58017	95.60017	
24.62035	95.30998	
24.69097	95.48299	
24.73046	95.55666	
