T[°C]	350nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
19.99944	6908.911	24.19184	-99.42979	2.928494
20.05342	6903.543	24.06163	-99.39339	2.854944
20.10741	6898.173	23.94273	-99.35696	2.781976
20.1614	6892.798	23.8361	-99.32051	2.709617
20.21539	6887.419	23.74147	-99.28403	2.637873
20.26938	6882.039	23.65825	-99.24754	2.566763
20.32337	6876.656	23.58576	-99.21103	2.4963
20.37736	6871.272	23.52333	-99.1745	2.426507
20.43135	6865.887	23.4694	-99.13797	2.357399
20.48534	6860.502	23.42274	-99.10144	2.288991
20.53933	6855.118	23.38132	-99.06493	2.221307
20.59332	6849.733	23.34203	-99.02842	2.15436
20.64731	6844.351	23.30288	-98.99193	2.088179
20.7013	6838.968	23.26252	-98.95547	2.022783
20.75529	6833.588	23.22017	-98.91906	1.958196
20.80928	6828.21	23.17636	-98.88268	1.89444
20.86327	6822.832	23.13567	-98.84635	1.831548
20.91726	6817.448	23.11146	-98.81008	1.769549
20.97124	6812.037	23.13597	-98.77387	1.708481
21.02523	6806.622	23.15727	-98.73773	1.648388
21.07922	6801.215	23.18798	-98.70167	1.589303
21.13321	6795.826	23.22812	-98.66569	1.531291
21.1872	6790.458	23.27349	-98.62978	1.474412
21.24119	6785.109	23.32129	-98.59398	1.418744
21.29518	6779.773	23.36458	-98.55827	1.364377
21.34917	6774.449	23.39095	-98.52264	1.311424
21.40316	6769.133	23.38503	-98.48711	1.260012
21.45715	6763.819	23.33511	-98.45168	1.210294
21.51114	6758.502	23.23997	-98.41631	1.16245
21.56513	6753.181	23.10641	-98.38103	1.116693
21.61912	6747.862	22.93789	-98.34582	1.073261
21.67311	6742.552	22.73408	-98.31065	1.032436
21.7271	6737.25	22.49616	-98.27552	0.9945042
21.78109	6731.955	22.22617	-98.2404	0.9598063
21.83508	6726.666	21.92447	-98.20527	0.928677
21.88906	6721.38	21.59616	-98.17009	0.9014734
21.94305	6716.097	21.25124	-98.13483	0.8785303
21.99704	6710.819	20.90484	-98.09946	0.8601463
22.05103	6705.549	20.57394	-98.06391	0.8465906
22.10502	6700.289	20.27316	-98.02814	0.8380347
22.15901	6695.037	20.00979	-97.9921	0.8345691
22.213	6689.794	19.78495	-97.9557	0.8361671
22.26699	6684.562	19.59466	-97.91889	0.8426387
22.32098	6679.336	19.43191	-97.88155	0.8536286
22.37497	6674.111	19.29103	-97.84357	0.8685237
22.42896	6668.877	19.16762	-97.80482	0.886364
22.48295	6663.632	19.05692	-97.76514	0.9057322
22.53694	6658.38	18.94916	-97.72441	0.9246667
22.59093	6653.119	18.84131	-97.68253	0.9408278
22.64492	6647.853	18.74114	-97.64029	0.9006781
22.69891	6642.583	18.65667	-97.59837	0.8574622
22.7529	6637.313	18.59842	-97.55707	0.8116248
22.80688	6632.048	18.57588	-97.5167	0.7636375
22.86087	6626.793	18.59382	-97.47756	0.7140397
22.91486	6621.548	18.65628	-97.43994	0.6634028
22.96885	6616.308	18.76346	-97.40408	0.6123438
23.02284	6611.066	18.91531	-97.37019	0.5615442
23.07683	6605.82	19.1082	-97.33844	0.5117168
23.13082	6600.566	19.33491	-97.30892	0.463614
23.18481	6595.299	19.58799	-97.2817	0.4180473
23.2388	6590.009	19.86284	-97.25674	0.375848
23.29279	6584.693	20.15104	-97.23393	0.337907
23.34678	6579.355	20.43946	-97.21311	0.3051198
23.40077	6574.002	20.71499	-97.19405	0.2783707
23.45476	6568.643	20.96809	-97.17648	0.2583792
23.50875	6563.285	21.19416	-97.16012	0.2456022
23.56274	6557.936	21.38971	-97.14466	0.2400609
23.61673	6552.604	21.54801	-97.12981	0.241374
23.67072	6547.296	21.66796	-97.1152	0.2488899
23.72471	6542.021	21.75018	-97.10049	0.2619367
23.7787	6536.785	21.79664	-97.08523	0.2800083
23.83269	6531.592	21.80481	-97.06898	0.302799
23.88667	6526.439	21.77185	-97.05134	0.3301882
23.94066	6521.32	21.69863	-97.03182	0.3621471
23.99465	6516.217	21.59278	-97.01003	0.3986549
24.04864	6511.11	21.47069	-96.98557	0.4396535
24.10263	6505.982	21.35489	-96.9581	0.4849823
24.15662	6500.827	21.26699	-96.92734	0.5343935
24.21061	6495.646	21.2232	-96.89305	0.587517
24.2646	6490.45	21.22621	-96.85503	0.6439045
24.31859	6485.249	21.26552	-96.81313	0.7030213
24.37258	6480.05	21.32734	-96.76732	0.7642732
24.42657	6474.861	21.39876	-96.71758	0.8270242
24.48056	6469.685	21.46677	-96.66403	0.8906318
24.53455	6464.522	21.52131	-96.60686	0.9544427
24.58854	6459.372	21.5556	-96.54632	1.017806
24.64253	6454.225	21.56753	-96.48278	1.080076
24.69652	6449.07	21.55263	-96.41666	1.140611
24.75051	6443.901	21.50708	-96.34844	1.198775
24.80449	6438.717	21.43475	-96.27863	1.253982
24.85848	6433.515	21.34246	-96.20774	1.305706
24.91247	6428.29	21.23887	-96.13627	1.353491
24.96646	6423.033	21.13248	-96.06471	1.39697
25.02045	6417.74	21.02804	-95.99356	1.435844
25.07444	6412.418	20.92148	-95.92326	1.469885
25.12843	6407.076	20.80768	-95.85428	1.498898
25.18242	6401.721	20.68341	-95.78699	1.522753
25.23641	6396.359	20.545	-95.72179	1.541385
25.2904	6390.996	20.38965	-95.65897	1.554751
25.34439	6385.639	20.20827	-95.5988	1.562898
25.39838	6380.294	19.98718	-95.54149	1.565921
25.45237	6374.972	19.71521	-95.48717	1.564007
25.50636	6369.675	19.38697	-95.43591	1.557388
25.56035	6364.402	19.00485	-95.38776	1.546399
25.61434	6359.155	18.58221	-95.3427	1.531402
25.66833	6353.928	18.14092	-95.30067	1.512778
25.72231	6348.716	17.70455	-95.26155	1.490888
25.7763	6343.515	17.29653	-95.22514	1.466046
25.83029	6338.328	16.93593	-95.19118	1.438453
25.88428	6333.165	16.63251	-95.15938	1.408199
25.93827	6328.038	16.3814	-95.12937	1.375224
25.99226	6322.947	16.17163	-95.10078	1.339373
26.04625	6317.891	15.99219	-95.07324	1.300417
26.10024	6312.863	15.83283	-95.04636	1.258099
26.15423	6307.855	15.68875	-95.01975	1.21212
26.20822	6302.862	15.5603	-94.99307	1.16222
26.26221	6297.882	15.44398	-94.96597	1.108146
26.3162	6292.918	15.33712	-94.93809	1.049723
26.37019	6287.977	15.24008	-94.90915	0.9868423
26.42418	6283.063	15.15692	-94.87887	0.9195423
26.47817	6278.174	15.09454	-94.84698	0.8480449
26.53216	6273.31	15.06011	-94.81329	0.7728026
26.58615	6268.458	15.06629	-94.77766	0.6945286
26.64013	6263.6	15.12104	-94.74004	0.6142781
26.69412	6258.72	15.22532	-94.70045	0.5335622
26.74811	6253.809	15.37202	-94.65899	0.4545481
26.8021	6248.864	15.54965	-94.61583	0.3805772
26.85609	6243.883	15.74595	-94.57117	0.3170466
26.91008	6238.866	15.95402	-94.52528	0.2724459
26.96407	6233.815	16.1707	-94.47843	0.2568547
27.01806	6228.734	16.38747	-94.43094	0.2742992
27.07205	6223.632	16.60029	-94.38313	0.3178622
27.12604	6218.512	16.80818	-94.33536	0.3768305
27.18003	6213.373	17.0093	-94.28796	0.4432596
27.23402	6208.215	17.2121	-94.24126	0.5124892
27.28801	6203.039	17.42681	-94.19563	0.5818335
27.342	6197.847	17.65925	-94.15138	0.6497059
27.39599	6192.643	17.90976	-94.10883	0.715066
27.44998	6187.439	18.16861	-94.06823	0.7771783
27.50397	6182.239	18.41859	-94.02976	0.835462
27.55795	6177.046	18.64131	-93.99354	0.8894426
27.61194	6171.863	18.82682	-93.95963	0.9386803
27.66593	6166.684	18.97219	-93.92804	0.9827706
27.71992	6161.503	19.08706	-93.89868	1.021347
27.77391	6156.314	19.18684	-93.87141	1.054123
27.8279	6151.117	19.2814	-93.846	1.080903
27.88189	6145.912	19.37593	-93.82221	1.101633
27.93588	6140.705	19.47157	-93.79975	1.116365
27.98987	6135.502	19.56835	-93.77831	1.125272
28.04386	6130.314	19.66391	-93.75757	1.128587
28.09785	6125.146	19.75329	-93.73719	1.126579
28.15184	6119.995	19.83422	-93.71683	1.119558
28.20583	6114.853	19.90477	-93.69611	1.107818
28.25982	6109.713	19.96288	-93.67468	1.091674
28.31381	6104.576	20.00884	-93.65221	1.07141
28.3678	6099.443	20.04498	-93.62836	1.0473
28.42179	6094.324	20.07299	-93.60282	1.019583
28.47577	6089.228	20.09752	-93.57529	0.9884648
28.52976	6084.16	20.12342	-93.54547	0.9541116
28.58375	6079.119	20.14742	-93.51308	0.9166461
