T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
19.99944	0.8689472	0.0004279973	-9.9739E-05	0.0003509795
20.05342	0.8689552	0.0004235451	-0.0001053497	0.0003450951
20.10741	0.868963	0.0004188626	-0.0001109467	0.0003392278
20.1614	0.8689706	0.0004140776	-0.0001165296	0.0003333784
20.21539	0.8689781	0.0004091299	-0.0001220977	0.0003275473
20.26938	0.8689854	0.0004039852	-0.0001276504	0.0003217355
20.32337	0.8689925	0.0003987328	-0.0001331872	0.0003159436
20.37736	0.8689994	0.0003932851	-0.0001387073	0.0003101724
20.43135	0.8690061	0.0003877346	-0.0001442102	0.0003044227
20.48534	0.8690127	0.0003820783	-0.0001496951	0.0002986954
20.53933	0.869019	0.0003763762	-0.0001551614	0.0002929912
20.59332	0.8690252	0.0003706217	-0.0001606084	0.0002873109
20.64731	0.8690313	0.000364843	-0.0001660354	0.0002816555
20.7013	0.8690372	0.0003590684	-0.0001714418	0.0002760258
20.75529	0.8690428	0.0003532355	-0.0001768267	0.0002704225
20.80928	0.8690484	0.0003473699	-0.0001821897	0.0002648466
20.86327	0.8690538	0.000341436	-0.00018753	0.0002592989
20.91726	0.869059	0.000335434	-0.0001928469	0.0002537803
20.97124	0.8690641	0.0003293583	-0.0001981399	0.0002482914
21.02523	0.8690691	0.0003231515	-0.0002034082	0.0002428331
21.07922	0.869074	0.0003168361	-0.0002086515	0.0002374063
21.13321	0.8690789	0.0003103815	-0.000213869	0.0002320116
21.1872	0.8690836	0.0003037563	-0.0002190604	0.0002266499
21.24119	0.8690885	0.0002968406	-0.000224225	0.0002213218
21.29518	0.8690932	0.0002895479	-0.0002293625	0.000216028
21.34917	0.8690979	0.0002816405	-0.0002344725	0.0002107691
21.40316	0.8691022	0.0002725595	-0.0002395546	0.0002055458
21.45715	0.8691056	0.0002615955	-0.0002446087	0.0002003586
21.51114	0.8691043	0.0002433905	-0.0002496343	0.0001952081
21.56513	0.8690967	0.0002270463	-0.0002546314	0.0001900948
21.61912	0.8690872	0.0002102417	-0.0002595999	0.000185019
21.67311	0.8690761	0.0001933892	-0.0002645398	0.0001799813
21.7271	0.8690634	0.000177082	-0.0002694513	0.0001749819
21.78109	0.8690494	0.0001623003	-0.0002743344	0.0001700211
21.83508	0.8690343	0.0001500361	-0.0002791895	0.0001650992
21.88906	0.8690181	0.000141307	-0.0002840168	0.0001602162
21.94305	0.869001	0.0001366181	-0.0002888168	0.0001553723
21.99704	0.8689833	0.0001359261	-0.0002935898	0.0001505675
22.05103	0.8689647	0.0001386281	-0.0002983365	0.0001458021
22.10502	0.8689456	0.0001437278	-0.0003030575	0.0001410759
22.15901	0.868926	0.0001503957	-0.0003077536	0.000136389
22.213	0.8689062	0.0001576198	-0.0003124256	0.0001317415
22.26699	0.8688861	0.000164628	-0.0003170744	0.0001271334
22.32098	0.8688657	0.0001710818	-0.0003217013	0.000122565
