T[°C]	Ratio 350nm / 330nm	S.D.
19.99944	0.8692756	0.0005750709
20.05342	0.868517	0.0006814155
20.10741	0.8687456	0.001268921
20.1614	0.8690766	0.0002439749
20.21539	0.868407	0.0009682187
20.26938	0.8686395	0.0002555804
20.32337	0.8688006	0.000860264
20.37736	0.8691343	0.0008674467
20.43135	0.8692766	0.001028435
20.48534	0.8697075	0.0006703473
20.53933	0.869313	0.0009106346
20.59332	0.8683212	0.001405143
20.64731	0.8682904	0.001116482
20.7013	0.8692159	0.0009909531
20.75529	0.8698793	0.0002305539
20.80928	0.8687718	0.001081219
20.86327	0.8691072	0.00121287
20.91726	0.8695312	0.000411049
20.97124	0.8684266	0.001244735
21.02523	0.8682535	0.0005969786
21.07922	0.8700007	0.001243355
21.13321	0.8697376	0.000718267
21.1872	0.8696908	0.0009030087
21.24119	0.8695986	9.386593E-05
21.29518	0.8689469	0.0007672621
21.34917	0.868113	0.0005687671
21.40316	0.8689778	0.001700222
21.45715	0.8698243	0.0009280653
21.51114	0.8690051	0.001229058
21.56513	0.8689822	0.0002927796
21.61912	0.8694464	0.0006655874
21.67311	0.8689029	0.00140857
21.7271	0.8686858	0.001258826
21.78109	0.8692722	0.0008323003
21.83508	0.8692438	0.001181364
21.88906	0.8690574	0.0002726683
21.94305	0.8698335	0.0004777668
21.99704	0.8688203	0.001306947
22.05103	0.869456	0.0005801432
22.10502	0.8685908	0.0006407765
22.15901	0.8686882	0.001612257
22.213	0.8694624	0.0006112029
22.26699	0.8697631	0.0006693013
22.32098	0.8690382	0.001397064
22.37497	0.8686704	0.0001481409
22.42896	0.8686766	0.001032784
22.48295	0.8693741	0.0005616408
22.53694	0.8682221	0.000134243
22.59093	0.8682754	0.001008413
22.64492	0.8683676	0.0001778466
22.69891	0.8688068	0.0004200345
22.7529	0.8686591	0.0008398789
22.80688	0.868314	0.001251
22.86087	0.8685973	0.0005959824
22.91486	0.8682912	0.0004623017
22.96885	0.8691011	0.0008390859
23.02284	0.8687688	0.001865668
23.07683	0.868297	0.001367874
23.13082	0.8682197	0.000782453
23.18481	0.8680897	0.0007823062
23.2388	0.8682477	0.001049949
23.29279	0.8688409	0.001250907
23.34678	0.8690329	0.001328648
23.40077	0.8688077	0.0005755065
23.45476	0.8681186	0.0007829777
23.50875	0.8683673	0.0007541319
23.56274	0.8681871	0.0005782258
23.61673	0.867787	0.0004739705
23.67072	0.8683686	0.000675216
23.72471	0.8684366	0.0008332208
23.7787	0.8685457	0.0003145729
23.83269	0.8680093	0.0004703704
23.88667	0.8676164	0.0003511502
23.94066	0.8678321	0.0002354675
23.99465	0.8677147	0.0001129944
24.04864	0.8675427	0.0003848463
24.10263	0.8671373	0.001111068
24.15662	0.867724	0.0009245462
24.21061	0.8674355	0.001207062
24.2646	0.8680597	0.000821249
24.31859	0.8686883	0.000388779
24.37258	0.8682901	0.001000695
24.42657	0.8680372	0.001126304
24.48056	0.8681355	3.698783E-05
24.53455	0.8682781	0.0004486413
24.58854	0.867535	0.000466061
24.64253	0.8675327	0.001064756
24.69652	0.8669339	0.001438884
24.75051	0.8678513	0.001001176
24.80449	0.8672267	0.001179034
24.85848	0.8674108	0.00131083
24.91247	0.8666465	0.0006182795
24.96646	0.8673152	0.001730455
25.02045	0.8680502	0.0006886972
25.07444	0.8679374	0.0009045075
25.12843	0.8680284	0.0003487178
25.18242	0.8683161	0.001512156
25.23641	0.867583	0.00164411
25.2904	0.8674371	0.001188302
25.34439	0.8673877	0.001194231
25.39838	0.8670712	0.001332384
25.45237	0.8673658	0.001469166
25.50636	0.8670266	0.0006185062
25.56035	0.8667178	0.002025451
25.61434	0.8668581	0.001377929
25.66833	0.8674604	0.0007700683
25.72231	0.8659971	0.001787483
25.7763	0.8669402	0.0007867273
25.83029	0.8665354	0.001112494
25.88428	0.8669309	0.0002929369
25.93827	0.8673441	0.0006701949
25.99226	0.8666875	0.000729166
26.04625	0.8667015	0.0009541758
26.10024	0.8670359	0.0002392583
26.15423	0.8671273	0.0005138977
26.20822	0.8677841	0.001020858
26.26221	0.8668476	0.001187568
26.3162	0.8677198	0.0004562955
26.37019	0.8670429	0.0004479757
26.42418	0.8666974	0.0002390151
26.47817	0.8671297	0.001230077
26.53216	0.8663188	0.0005933631
26.58615	0.8666856	0.0003271939
26.64013	0.8671084	0.00116001
26.69412	0.8664007	0.001009411
26.74811	0.8664824	0.0003206532
26.8021	0.8669359	0.0009207597
26.85609	0.8660855	0.0006248741
26.91008	0.8665997	0.0008808722
26.96407	0.8669387	0.0006041633
27.01806	0.8664428	0.0009036048
27.07205	0.8664683	0.0003823858
27.12604	0.8665254	0.001235504
27.18003	0.8676059	0.001052362
27.23402	0.8677175	0.0008614299
27.28801	0.866809	0.0007229469
27.342	0.8668849	0.001045255
27.39599	0.8668052	0.0009035309
27.44998	0.8660979	0.0008098275
27.50397	0.8659119	0.0003331182
27.55795	0.8657998	0.0006655795
27.61194	0.8660939	0.0008683059
27.66593	0.8664872	0.0008236571
27.71992	0.8665618	0.0008117112
27.77391	0.8667492	0.001033738
27.8279	0.8664518	0.0008462048
27.88189	0.8665786	0.0006359164
27.93588	0.8669566	0.0004425676
27.98987	0.8660469	0.0009774065
28.04386	0.8654952	0.001340428
28.09785	0.8658829	0.00118318
28.15184	0.8657414	0.0004382493
28.20583	0.8655816	0.0009467324
28.25982	0.8656929	0.001054539
28.31381	0.8657495	0.001008458
28.3678	0.864667	0.0003240583
28.42179	0.8641951	0.001371986
28.47577	0.8650247	0.000755853
28.52976	0.8656956	0.0002062675
28.58375	0.8652555	0.0005942938
28.63774	0.8653968	0.0003640998
28.69173	0.8655922	0.001008876
28.74572	0.8645294	0.001177791
28.79971	0.8645446	0.0006083045
28.8537	0.8649336	0.0004147246
28.90769	0.8656363	0.0008868553
28.96168	0.8652358	0.0007759109
29.01567	0.8645423	0.0006561643
29.06966	0.8642085	0.000770847
29.12365	0.864662	0.0004602836
29.17764	0.864567	0.001401395
29.23163	0.8646378	0.0006283768
29.28562	0.8652381	0.0004678298
29.33961	0.8653535	0.0004216597
29.3936	0.8646715	0.001250662
29.44759	0.8644417	0.0009904922
29.50158	0.8639947	0.0005810635
29.55556	0.8643482	0.0002311567
29.60955	0.864715	0.0008538599
29.66354	0.8639105	0.000482861
29.71753	0.8632711	0.001382841
29.77152	0.8650677	0.001399992
29.82551	0.8638088	0.001066874
29.8795	0.8641186	0.0007497541
29.93349	0.8637753	0.0008090566
29.98748	0.8634649	0.001005428
30.04147	0.8635635	0.0004019247
30.09546	0.8643155	0.001531774
30.14945	0.8631194	0.0006805274
30.20344	0.8645569	0.0007105298
30.25743	0.8631403	0.0002449273
30.31142	0.8638073	0.0004374618
30.36541	0.863362	0.0005803898
30.4194	0.862879	0.001051207
30.47338	0.8637131	0.001342357
30.52737	0.8633254	0.0003076757
30.58136	0.863646	0.001009665
30.63535	0.8639014	0.0009425508
30.68934	0.8636608	0.0009480941
30.74333	0.8632388	0.0005082657
30.79732	0.8631751	0.0004812737
30.85131	0.8632576	0.0004117069
30.9053	0.8635855	0.0008754875
30.95929	0.8635607	0.0008853081
31.01328	0.8630831	0.0003577186
31.06727	0.8632216	0.0004824978
31.12126	0.8631066	0.0004583331
31.17525	0.8629239	0.0007924152
31.22924	0.8627692	0.0008037792
31.28323	0.8628445	0.0002830036
31.33722	0.8626668	0.0007494361
31.3912	0.862502	0.0002281297
31.44519	0.8628303	0.001711997
31.49918	0.8624519	0.001650008
31.55317	0.8629156	0.001236533
31.60716	0.8628855	0.001216789
31.66115	0.8624094	0.0007358498
31.71514	0.8623434	7.078167E-05
31.76913	0.8617539	0.000379839
31.82312	0.8622591	0.0004123028
31.87711	0.862926	0.0006600355
31.9311	0.8623729	0.0008487619
31.98509	0.8615946	0.001049591
32.03908	0.8622201	0.0001656887
32.09307	0.8626448	0.0002888157
32.14706	0.8620991	0.0007673953
32.20105	0.861399	0.000374985
32.25504	0.8604812	0.0001450291
32.30902	0.8617459	0.000389156
32.36301	0.8624339	0.001005267
32.417	0.8615571	0.0005707419
32.47099	0.8620058	0.0006792636
32.52498	0.8622404	0.0007183689
32.57897	0.8615016	0.0008270249
32.63296	0.8603246	0.0001522942
32.68695	0.861674	0.0008379987
32.74094	0.8611184	0.001352923
32.79493	0.8607042	0.0007723909
32.84892	0.8608607	0.000450421
32.90291	0.8614146	0.0006394386
32.9569	0.8600955	0.0005241189
33.01089	0.8602266	0.0008684681
33.06488	0.8602701	0.001287616
33.11887	0.8604973	0.002195344
33.17286	0.8609188	0.0005446277
33.22684	0.8618186	0.001744056
33.28083	0.8603486	0.001350857
33.33482	0.8605323	0.00104666
33.38881	0.8595772	0.0002527382
33.4428	0.8609543	0.0008732068
33.49679	0.8600187	0.0001984359
33.55078	0.8597525	0.0008778815
33.60477	0.8603718	0.0004479163
33.65876	0.8609968	0.001632464
33.71275	0.8591593	0.0006088252
33.76674	0.8596386	0.0002967337
33.82073	0.8597459	0.0003867355
33.87472	0.8604796	0.0006969001
33.92871	0.8601071	0.000364011
33.9827	0.8604237	0.0008229758
34.03669	0.8592943	0.001984299
34.09068	0.8589119	0.0004310775
34.14466	0.8591627	0.0007130707
34.19865	0.8584401	0.0009407442
34.25264	0.8593274	0.0005784715
34.30663	0.859252	0.0003190457
34.36062	0.8590252	0.0003557865
34.41461	0.8591323	0.0008678208
34.4686	0.859673	0.0004383322
34.52259	0.8591059	0.0007345369
34.57658	0.8594317	0.001311766
34.63057	0.8588508	0.001115589
34.68456	0.8588483	0.0001449371
34.73855	0.8589864	0.0009630862
34.79254	0.8592672	0.0007096022
34.84653	0.8589484	0.0008845439
34.90052	0.8583863	0.001091825
34.95451	0.8578933	0.0001950192
35.0085	0.8578858	0.0001391965
35.06248	0.8579348	0.0008558133
35.11647	0.8576154	0.0001820831
35.17046	0.8580269	0.0002576015
35.22445	0.8580465	0.0008200349
35.27844	0.8578208	0.0001855947
35.33243	0.8576987	0.0003574853
35.38642	0.8578176	0.0001978968
35.44041	0.8574661	0.0003335059
35.4944	0.8577879	0.000763539
35.54839	0.8582802	0.0002641143
35.60238	0.8575662	0.001069049
35.65637	0.8574261	0.00069112
35.71036	0.8577217	0.0005607723
35.76435	0.8574777	0.0004346785
35.81834	0.8572571	0.0003674218
35.87233	0.8573282	8.788372E-05
35.92632	0.857616	0.0001254213
35.9803	0.8581246	0.0006907072
36.03429	0.8582043	0.0004949799
36.08828	0.8578728	0.0008248696
36.14227	0.8573273	0.0008223099
36.19626	0.8573644	0.001162343
36.25025	0.8573359	0.001141191
36.30424	0.8572951	0.001937994
36.35823	0.8578441	0.0008415122
36.41222	0.8577982	0.000568326
36.46621	0.856309	0.0003283843
36.5202	0.8559071	0.000268591
36.57419	0.8560189	0.0001693706
36.62818	0.8553802	6.612793E-05
36.68217	0.8562418	0.001083151
36.73616	0.856417	0.001009438
36.79015	0.8563463	0.001326548
36.84414	0.8560417	0.001570186
36.89812	0.8552044	0.001421075
36.95211	0.8557846	0.0005460604
37.0061	0.8563106	0.0007156025
37.06009	0.8565513	0.0009998058
37.11408	0.8565311	0.0008967864
37.16807	0.855465	0.001065535
37.22206	0.8555362	0.001112063
37.27605	0.8544252	0.001811269
37.33004	0.8561677	0.0005864503
37.38403	0.8566031	0.0004978221
37.43802	0.855671	0.001134038
