T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
19.99944	94.94793	0.2858463	-0.1399815	0.2077606
20.05342	94.94865	0.2916798	-0.1396903	0.202842
20.10741	94.94965	0.2973166	-0.1393611	0.1979156
20.1614	94.95099	0.3028812	-0.1389929	0.1929819
20.21539	94.95267	0.3084829	-0.1385849	0.1880418
20.26938	94.95465	0.3142476	-0.1381364	0.1830964
20.32337	94.95683	0.3203125	-0.1376469	0.1781469
20.37736	94.95911	0.3267852	-0.1371158	0.1731949
20.43135	94.96136	0.3336834	-0.136543	0.1682422
20.48534	94.96344	0.3409348	-0.1359282	0.1632908
20.53933	94.96523	0.3483336	-0.1352715	0.1583429
20.59332	94.96658	0.3556236	-0.1345729	0.1534011
20.64731	94.96733	0.3623851	-0.1338329	0.148468
20.7013	94.96736	0.3679475	-0.1330519	0.1435465
20.75529	94.96678	0.3709808	-0.1322306	0.1386398
20.80928	94.96692	0.3693805	-0.1313697	0.1337511
20.86327	94.9664	0.3616569	-0.1304703	0.1288841
20.91726	94.96551	0.3519412	-0.1295336	0.1240425
20.97124	94.96406	0.3412811	-0.128561	0.1192303
21.02523	94.9613	0.3310933	-0.127554	0.1144511
21.07922	94.95672	0.3228784	-0.1265144	0.109709
21.13321	94.95018	0.3173161	-0.1254441	0.1050076
21.1872	94.94211	0.3137822	-0.1243453	0.1003507
21.24119	94.93261	0.3116841	-0.1232205	0.09574223
21.29518	94.92152	0.3107118	-0.1220725	0.09118615
21.34917	94.90859	0.3105649	-0.1209041	0.08668709
21.40316	94.89368	0.3109686	-0.1197184	0.08225041
21.45715	94.87716	0.3118731	-0.1185186	0.07788248
21.51114	94.85988	0.3132323	-0.1173077	0.07359102
21.56513	94.84259	0.3149245	-0.1160892	0.0693855
21.61912	94.82617	0.3164955	-0.1148663	0.06527751
21.67311	94.81102	0.3177529	-0.1136424	0.06128146
21.7271	94.79741	0.318561	-0.1124207	0.05741528
21.78109	94.78519	0.3185874	-0.1112048	0.05370128
21.83508	94.77438	0.3174616	-0.1099979	0.05016714
21.88906	94.76501	0.3147189	-0.1088035	0.04684727
21.94305	94.75672	0.3100799	-0.1076249	0.04378401
