T[°C]	330nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
19.99934	7964.694		-118.6706	
20.05333	7958.802		-118.5303	
20.10732	7952.908		-118.3884	
20.1613	7947.011		-118.245	
20.2153	7941.109		-118.1	
20.26929	7935.204		-117.9534	
20.32327	7929.294		-117.8053	
20.37726	7923.377		-117.6555	
20.43125	7917.452		-117.5041	
20.48524	7911.517		-117.3511	
20.53923	7905.571		-117.1966	
20.59322	7899.613		-117.0404	
20.64721	7893.645		-116.8827	
20.7012	7887.667		-116.7235	
20.75519	7881.682		-116.5629	
20.80918	7875.692		-116.4007	
20.86317	7869.704		-116.2372	
20.91716	7863.723		-116.0724	
20.97115	7857.754		-115.9062	
21.02514	7851.601		-115.7389	
21.07913	7845.404		-115.5704	
21.13312	7839.167		-115.4008	
21.18711	7832.887		-115.2302	
21.2411	7826.558		-115.0587	
21.29509	7820.179		-114.8864	
21.34908	7813.75		-114.7134	
21.40307	7807.279		-114.5397	
21.45706	7800.772		-114.3655	
21.51105	7794.241		-114.191	
21.56504	7787.701		-114.0161	
21.61903	7781.16		-113.841	
21.67302	7774.627		-113.6659	
21.72701	7768.11		-113.4907	
21.781	7761.617		-113.3157	
21.83499	7755.149		-113.1409	
21.88898	7748.708		-112.9663	
21.94296	7742.297		-112.7921	
21.99695	7735.912		-112.6183	
22.05094	7729.561		-112.4448	
22.10493	7723.257		-112.2717	
22.15892	7717.02		-112.0989	
22.21291	7710.874		-111.9261	
22.2669	7704.831		-111.753	
22.32089	7698.883		-111.579	
22.37488	7693.009		-111.4032	
22.42887	7687.185		-111.2241	
22.48286	7681.398		-111.0394	
22.53685	7675.631		-110.8462	
22.59084	7669.858		-110.6416	
22.64483	7664.057		-110.4065	
22.69882	7658.213		-110.1714	
22.75281	7652.328		-109.9374	
22.8068	7646.417		-109.7055	
22.86079	7640.498		-109.4769	
22.91478	7634.579		-109.2525	
22.96877	7628.667		-109.0335	
23.02276	7622.768		-108.8209	
23.07675	7616.889		-108.6157	
23.13074	7611.042		-108.4188	
23.18473	7605.234		-108.2312	
23.23872	7599.463		-108.0536	
23.29271	7593.72		-107.8867	
23.3467	7587.994		-107.731	
23.40069	7582.271		-107.587	
23.45468	7576.535		-107.455	
23.50867	7570.777		-107.3351	
23.56265	7564.999		-107.2276	
23.61665	7559.202		-107.1325	
23.67064	7553.398		-107.0497	
23.72462	7547.615		-106.979	
23.77861	7541.885		-106.9202	
23.8326	7536.233		-106.8727	
23.88659	7530.671		-106.8361	
23.94058	7525.202		-106.8098	
23.99457	7519.823		-106.7929	
24.04856	7514.52		-106.7848	
24.10255	7509.258		-106.7845	
24.15654	7504.003		-106.7912	
24.21053	7498.731		-106.8038	
24.26452	7493.423		-106.8213	
24.31851	7488.076		-106.8427	
24.3725	7482.692		-106.8671	
24.42649	7477.272		-106.8936	
24.48048	7471.809		-106.9214	
24.53447	7466.295		-106.9498	
24.58846	7460.733		-106.9785	
24.64245	7455.13		-107.0069	
24.69644	7449.497		-107.0348	
24.75043	7443.837		-107.0619	
24.80442	7438.159		-107.088	
24.85841	7432.471		-107.1128	
24.9124	7426.76		-107.1361	
24.96639	7421.006		-107.1575	
25.02038	7415.185		-107.1767	
25.07437	7409.277		-107.1934	
25.12836	7403.279		-107.2072	
25.18235	7397.195		-107.2177	
25.23634	7391.035		-107.2244	
25.29033	7384.812		-107.2269	
25.34431	7378.547		-107.2247	
25.3983	7372.261		-107.2173	
25.45229	7365.966		-107.2041	
25.50628	7359.675		-107.1846	
25.56027	7353.394		-107.1584	
25.61426	7347.126		-107.1251	
25.66825	7340.874		-107.0844	
25.72224	7334.64		-107.0359	
25.77623	7328.431		-106.9795	
25.83022	7322.249		-106.9149	
25.88421	7316.108		-106.842	
25.9382	7310.033		-106.7605	
25.99219	7304.038		-106.6705	
26.04618	7298.13		-106.5718	
26.10017	7292.3		-106.4645	
26.15416	7286.537		-106.3489	
26.20815	7280.823		-106.225	
26.26214	7275.143		-106.0932	
26.31613	7269.493		-105.9537	
26.37012	7263.867		-105.8071	
26.42411	7258.258		-105.6539	
26.4781	7252.658		-105.4947	
26.53209	7247.058		-105.3302	
26.58608	7241.449		-105.1613	
26.64007	7235.817		-104.9888	
26.69406	7230.154		-104.8137	
26.74805	7224.465		-104.6368	
26.80204	7218.759		-104.4593	
26.85603	7213.045		-104.282	
26.91002	7207.328		-104.1061	
26.964	7201.611		-103.9321	
27.018	7195.898		-103.7609	
27.07199	7190.195		-103.5929	
27.12597	7184.511		-103.4287	
27.17996	7178.853		-103.2686	
27.23395	7173.224		-103.113	
27.28794	7167.631		-102.9622	
27.34193	7162.088		-102.8166	
27.39592	7156.613		-102.6763	
27.44991	7151.221		-102.5416	
27.5039	7145.92		-102.4128	
27.55789	7140.723		-102.29	
27.61188	7135.635		-102.1735	
27.66587	7130.645		-102.0636	
27.71986	7125.725		-101.9604	
27.77385	7120.837		-101.8641	
27.82784	7115.953		-101.7748	
27.88183	7111.052		-101.6924	
27.93582	7106.123		-101.617	
27.98981	7101.152		-101.5483	
28.0438	7096.129		-101.4861	
28.09779	7091.038		-101.4303	
28.15178	7085.861		-101.3804	
28.20577	7080.592		-101.3363	
28.25976	7075.235		-101.2976	
28.31375	7069.795		-101.2639	
28.36774	7064.29		-101.235	
28.42173	7058.739		-101.2106	
28.47572	7053.158		-101.1906	
28.52971	7047.55		-101.1744	
28.5837	7041.906		-101.1619	
28.63769	7036.211		-101.1525	
28.69168	7030.465		-101.1458	
28.74566	7024.678		-101.1413	
28.79965	7018.868		-101.1385	
28.85364	7013.056		-101.1368	
28.90763	7007.252		-101.1355	
28.96162	7001.463		-101.1338	
29.01561	6995.688		-101.1309	
29.0696	6989.938		-101.1257	
29.12359	6984.224		-101.1174	
29.17758	6978.559		-101.1049	
29.23157	6972.941		-101.0876	
29.28556	6967.371		-101.0644	
29.33955	6961.847		-101.035	
29.39354	6956.364		-100.9985	
29.44753	6950.915		-100.9548	
29.50152	6945.498		-100.9033	
29.55551	6940.116		-100.844	
29.6095	6934.771		-100.7767	
29.66349	6929.458		-100.7016	
29.71748	6924.15		-100.6187	
29.77147	6918.818		-100.5285	
29.82546	6913.438		-100.4312	
29.87945	6907.994		-100.3274	
29.93344	6902.482		-100.2179	
29.98743	6896.917		-100.1033	
30.04142	6891.309		-99.98458	
30.09541	6885.67		-99.86251	
30.1494	6880.011		-99.73798	
30.20339	6874.351		-99.61185	
30.25738	6868.7		-99.48492	
30.31137	6863.068		-99.35799	
30.36535	6857.469		-99.23184	
30.41935	6851.918		-99.10724	
30.47334	6846.419		-98.98496	
30.52732	6840.968		-98.86576	
30.58131	6835.556		-98.75031	
30.6353	6830.177		-98.63927	
30.68929	6824.823		-98.53319	
30.74328	6819.489		-98.43257	
30.79727	6814.172		-98.33781	
30.85126	6808.873		-98.24921	
30.90525	6803.591		-98.1669	
30.95924	6798.33		-98.09094	
31.01323	6793.099		-98.02123	
31.06722	6787.915		-97.95756	
31.12121	6782.798		-97.89959	
31.1752	6777.765		-97.84692	
31.22919	6772.821		-97.7991	
31.28318	6767.957		-97.75571	
31.33717	6763.156		-97.71631	
31.39116	6758.399		-97.68044	
31.44515	6753.666		-97.64766	
31.49914	6748.931		-97.61759	
31.55313	6744.181		-97.58988	
31.60712	6739.408		-97.56425	
31.66111	6734.6		-97.54048	
31.7151	6729.747		-97.51839	
31.76909	6724.833		-97.49792	
31.82308	6719.847		-97.47908	
31.87707	6714.783		-97.46205	
31.93106	6709.64		-97.44711	
31.98505	6704.421		-97.43463	
32.03904	6699.137		-97.425	
32.09303	6693.796		-97.4186	
32.14701	6688.415		-97.41581	
32.201	6683.016		-97.41687	
32.25499	6677.616		-97.42188	
32.30898	6672.225		-97.43082	
32.36297	6666.837		-97.4435	
32.41696	6661.442		-97.45966	
32.47095	6656.021		-97.47894	
32.52494	6650.554		-97.50088	
32.57893	6645.03		-97.52498	
32.63292	6639.46		-97.55067	
32.68691	6633.853		-97.57734	
32.7409	6628.224		-97.60439	
32.79489	6622.6		-97.6312	
32.84888	6617.003		-97.65715	
32.90287	6611.456		-97.68169	
32.95686	6605.967		-97.70428	
33.01085	6600.54		-97.72445	
33.06484	6595.162		-97.74174	
33.11883	6589.818		-97.75571	
33.17282	6584.497		-97.7659	
33.22681	6579.187		-97.7719	
33.2808	6573.874		-97.77332	
33.33479	6568.553		-97.76979	
33.38878	6563.231		-97.76098	
33.44277	6557.915		-97.74657	
33.49676	6552.606		-97.72633	
33.55075	6547.304		-97.70007	
33.60474	6542.006		-97.66769	
33.65873	6536.716		-97.62917	
33.71272	6531.44		-97.58461	
33.7667	6526.184		-97.5342	
33.82069	6520.944		-97.47827	
33.87468	6515.711		-97.41727	
33.92867	6510.482		-97.35181	
33.98266	6505.249		-97.28249	
34.03666	6499.995		-97.21001	
34.09064	6494.703		-97.13503	
34.14463	6489.366		-97.05817	
34.19862	6483.996		-96.98	
34.25261	6478.617		-96.90104	
34.3066	6473.25		-96.82174	
34.36059	6467.912		-96.74251	
34.41458	6462.617		-96.66368	
34.46857	6457.369		-96.58553	
34.52256	6452.169		-96.50824	
34.57655	6447.028		-96.43193	
34.63054	6441.946		-96.35667	
34.68453	6436.902		-96.28249	
34.73852	6431.873		-96.20934	
34.79251	6426.847		-96.13716	
34.8465	6421.825		-96.06581	
34.90049	6416.809		-95.99512	
34.95448	6411.804		-95.92496	
35.00847	6406.817		-95.85519	
35.06246	6401.853		-95.78571	
35.11645	6396.909		-95.71646	
35.17044	6391.979		-95.64743	
35.22443	6387.052		-95.57856	
35.27842	6382.119		-95.5098	
35.33241	6377.169		-95.44109	
35.38639	6372.2		-95.37241	
35.44038	6367.203		-95.30367	
35.49437	6362.165		-95.23476	
35.54837	6357.067		-95.16553	
35.60236	6351.898		-95.09579	
35.65635	6346.665		-95.02536	
35.71033	6341.387		-94.95406	
35.76432	6336.084		-94.88174	
35.81831	6330.766		-94.80824	
35.8723	6325.438		-94.73347	
35.92629	6320.106		-94.65745	
35.98028	6314.773		-94.58021	
36.03427	6309.442		-94.50185	
36.08826	6304.12		-94.42252	
36.14225	6298.813		-94.34234	
36.19624	6293.531		-94.26147	
36.25023	6288.276		-94.18005	
36.30422	6283.053		-94.09825	
36.35821	6277.863		-94.0162	
36.4122	6272.692		-93.93407	
36.46619	6267.528		-93.85203	
36.52018	6262.371		-93.77022	
36.57417	6257.239		-93.68879	
36.62816	6252.148		-93.60789	
36.68215	6247.104		-93.52766	
36.73614	6242.107		-93.44817	
36.79013	6237.146		-93.36946	
36.84412	6232.203		-93.2915	
36.89811	6227.255		-93.21416	
36.9521	6222.283		-93.13729	
37.00608	6217.279		-93.06074	
37.06008	6212.239		-92.98435	
37.11407	6207.167		-92.90807	
37.16806	6202.069		-92.83184	
37.22205	6196.95		-92.75563	
37.27604	6191.821		-92.67944	
37.33002	6186.699		-92.60332	
37.38401	6181.607		-92.52732	
37.438	6176.569		-92.45152	
37.49199	6171.586		-92.37595	
37.54598	6166.652		-92.30062	
37.59997	6161.753		-92.22556	
37.65396	6156.873		-92.15077	
37.70795	6152		-92.07623	
37.76194	6147.136		-92.00185	
37.81593	6142.286		-91.92756	
37.86992	6137.458		-91.85321	
37.92391	6132.647		-91.77866	
37.9779	6127.844		-91.7038	
38.03189	6123.048		-91.62849	
38.08588	6118.269		-91.55271	
38.13987	6113.509		-91.47648	
38.19386	6108.764		-91.39992	
38.24785	6104.033		-91.32325	
38.30184	6099.328		-91.24678	
38.35583	6094.659		-91.17094	
38.40982	6090.018		-91.09622	
38.46381	6085.382		-91.02324	
38.5178	6080.717		-90.95269	
38.57179	6075.986		-90.88528	
38.62578	6071.167		-90.82178	
38.67977	6066.255		-90.76283	
38.73376	6061.266		-90.70898	
38.78775	6056.226		-90.66065	
38.84174	6051.161		-90.6181	
38.89573	6046.086		-90.58144	
38.94971	6041.012		-90.55058	
39.0037	6035.936		-90.52531	
39.05769	6030.854		-90.50534	
39.11168	6025.769		-90.49028	
39.16567	6020.678		-90.47969	
39.21966	6015.583		-90.47305	
