T[°C]	350nm [counts / mm]	S.D.
19.99934	6925.184	
19.99952	6922.335	
20.00107	6917.244	
20.00741	6935.317	
20.01414	6923.371	
20.02828	6923.412	
20.03933	6918.426	
20.05776	6910.978	
20.07225	6894.526	
20.09566	6896.559	
20.11321	6897.402	
20.14224	6886.834	
20.16275	6911.421	
20.19466	6895.756	
20.21897	6891.02	
20.25701	6898.53	
20.2836	6900.314	
20.32648	6890.389	
20.35618	6890.208	
20.40257	6874.326	
20.43538	6873.668	
20.48593	6866.229	
20.5196	6850.375	
20.57047	6853.167	
20.6085	6852.257	
20.66638	6846.759	
20.70523	6852.911	
20.76406	6856.921	
20.80413	6842.618	
20.86328	6847.334	
20.90553	6842.75	
20.96987	6824.249	
21.01305	6827.687	
21.07628	6819.861	
21.12012	6834.619	
21.18501	6795.402	
21.22951	6805.009	
21.29354	6784.222	
21.3377	6795.207	
21.40414	6784.617	
21.44985	6770.732	
21.51579	6776.063	
21.56018	6775.827	
21.62392	6759.358	
21.6674	6754.72	
21.73345	6747.685	
21.77726	6737.64	
21.84201	6734.874	
21.88705	6737.362	
21.9516	6732.218	
21.99618	6721.362	
22.06258	6714.225	
22.10647	6714.297	
22.17074	6708.801	
22.21379	6701.234	
22.28	6688.039	
22.32408	6678.246	
22.3892	6673.624	
22.43416	6686.353	
22.50001	6674.983	
22.54459	6658.327	
22.60821	6666.232	
22.65185	6654.68	
22.7172	6645.956	
22.76204	6648.016	
22.82825	6641.028	
22.87151	6642.777	
22.93619	6641.367	
22.98134	6635.167	
23.04734	6637.353	
23.09106	6624.356	
23.15604	6605.802	
23.19941	6610.315	
23.26401	6588.858	
23.30949	6590.775	
23.37442	6573.648	
23.41898	6575.667	
23.48495	6574.488	
23.52985	6560.487	
23.59441	6550.411	
23.63743	6549.554	
23.7027	6539.688	
23.74793	6549.786	
23.8128	6540.736	
23.85607	6532.344	
23.92062	6537.872	
23.96447	6537.146	
24.03143	6521.457	
24.07663	6522.652	
24.14136	6519.002	
24.18505	6500.777	
24.24987	6491.036	
24.29471	6502.061	
24.35977	6489.791	
24.4045	6485.94	
24.47026	6480.088	
24.51457	6482.03	
24.57816	6481.253	
24.62254	6462.706	
24.68889	6476.404	
24.73257	6451.048	
24.79894	6451.047	
24.84327	6450.912	
24.90737	6431.501	
24.95153	6449.724	
25.0168	6431.529	
25.06063	6436.805	
25.12708	6421.662	
25.17224	6425.39	
25.23696	6407.821	
25.27998	6409.796	
25.34552	6403.306	
25.38986	6401.262	
25.45575	6374.646	
25.5008	6384.864	
25.56616	6373.697	
25.60949	6359.842	
25.67326	6368.389	
25.71759	6347.57	
25.7834	6346.467	
25.82825	6345.266	
25.8945	6335.085	
25.93807	6332.887	
26.00233	6330.087	
26.04682	6333.289	
26.11246	6309.398	
26.15619	6319.575	
26.22165	6312.523	
26.26623	6299.432	
26.33276	6295.646	
26.37708	6300.514	
26.43991	6277.073	
26.48632	6284.989	
26.55073	6275.639	
26.59544	6267.182	
26.66041	6272.878	
26.70391	6275.057	
26.76776	6271.284	
26.81139	6252.807	
26.87823	6247.018	
26.92389	6247.258	
26.98829	6241.28	
27.03142	6224.207	
27.09756	6229.903	
27.14127	6222.025	
27.20638	6221.541	
27.252	6211.381	
27.31762	6191.459	
27.36026	6195.971	
27.42603	6189.79	
27.46952	6178.272	
27.53548	6175.493	
27.57953	6186.594	
27.64562	6179.555	
27.68971	6159.988	
27.75581	6169.389	
27.79936	6158.63	
27.86495	6152.864	
27.91014	6163.911	
27.97486	6150.497	
28.01844	6137.523	
28.08309	6136.212	
28.12959	6133.207	
28.19621	6132.332	
28.23971	6117.907	
28.30251	6135.926	
28.34606	6119.561	
28.41184	6102.431	
28.45665	6103.682	
28.52244	6097.844	
28.56623	6096.04	
28.63048	6075.877	
28.67491	6085.996	
28.74016	6065.601	
28.78461	6066.842	
28.84942	6061.24	
28.8932	6068.726	
28.95909	6051.275	
29.00328	6047.384	
29.06943	6044.586	
29.11414	6041.95	
29.17765	6036.856	
29.2213	6041.812	
29.28732	6035.81	
29.33136	6031.362	
29.39696	6020.792	
29.44135	6008.892	
29.50583	5997.841	
29.55012	6002.108	
29.61616	6000.131	
29.66055	5994.241	
29.72523	5992.332	
29.76858	5987.359	
29.83428	5970.817	
29.87869	5963.341	
29.94374	5955.654	
29.98853	5949.795	
30.05308	5950.626	
30.09716	5946.201	
30.16144	5937.167	
30.20617	5950.462	
30.27177	5932.371	
30.31586	5939.264	
30.38067	5918.463	
30.42487	5907.303	
30.49103	5916.9	
30.5354	5903.327	
30.60046	5896.513	
30.64487	5904.803	
30.71054	5885.706	
30.75487	5878.468	
30.82025	5887.164	
30.86463	5864.535	
