T[°C]	Scattering [mAU]	S.D.
19.99934	94.512	
19.99952	94.63593	
20.00107	95.37984	
20.00741	95.14664	
20.01414	95.21284	
20.02828	94.6081	
20.03933	94.74583	
20.05776	95.44596	
20.07225	94.5627	
20.09566	94.64891	
20.11321	94.53281	
20.14224	94.83569	
20.16275	95.39654	
20.19466	94.70708	
20.21897	95.01576	
20.25701	94.15951	
20.2836	94.97747	
20.32648	93.72631	
20.35618	94.03365	
20.40257	94.10771	
20.43538	94.02531	
20.48593	94.50419	
20.5196	94.90037	
20.57047	94.45049	
20.6085	95.0575	
20.66638	94.31609	
20.70523	95.19234	
20.76406	94.32205	
20.80413	95.56014	
20.86328	94.71638	
20.90553	94.77214	
20.96987	95.06552	
21.01305	93.98791	
21.07628	94.73055	
21.12012	94.14115	
21.18501	94.56436	
21.22951	95.20241	
21.29354	94.55775	
21.3377	94.3035	
21.40414	94.7637	
21.44985	95.64282	
21.51579	94.41132	
21.56018	94.79084	
21.62392	94.46735	
21.6674	95.43596	
21.73345	94.79621	
21.77726	94.9984	
21.84201	94.41315	
21.88705	95.28175	
21.9516	94.26971	
21.99618	94.4978	
22.06258	94.28029	
22.10647	94.69144	
22.17074	94.25662	
22.21379	94.32074	
22.28	94.63316	
22.32408	94.51391	
22.3892	94.43673	
22.43416	94.33531	
22.50001	94.66854	
22.54459	95.19086	
22.60821	94.62383	
22.65185	94.75002	
22.7172	94.70786	
22.76204	94.79542	
22.82825	94.51305	
22.87151	94.97951	
22.93619	94.34637	
22.98134	94.74348	
23.04734	94.32615	
23.09106	94.57574	
23.15604	94.29495	
23.19941	94.28035	
23.26401	94.05874	
23.30949	94.79398	
23.37442	94.04989	
23.41898	94.2794	
23.48495	94.22572	
23.52985	94.12305	
23.59441	94.23962	
23.63743	95.04216	
23.7027	94.49165	
23.74793	94.24186	
23.8128	94.80101	
23.85607	94.13772	
23.92062	93.66512	
23.96447	93.92437	
24.03143	93.93588	
24.07663	94.72669	
24.14136	93.90202	
24.18505	93.93619	
24.24987	93.9791	
24.29471	93.7531	
24.35977	93.81588	
24.4045	94.62649	
24.47026	94.03161	
24.51457	93.71375	
24.57816	94.50929	
24.62254	95.18178	
24.68889	94.36158	
24.73257	94.56695	
24.79894	94.1424	
24.84327	95.14642	
24.90737	95.19785	
24.95153	95.034	
25.0168	94.74249	
25.06063	94.31322	
25.12708	94.39396	
25.17224	94.37171	
25.23696	94.03876	
25.27998	94.23716	
25.34552	94.5398	
25.38986	94.15123	
25.45575	94.70271	
25.5008	94.35924	
25.56616	94.34691	
25.60949	95.50388	
25.67326	94.35972	
25.71759	94.87176	
25.7834	94.47843	
25.82825	94.54603	
25.8945	94.36667	
25.93807	94.39167	
26.00233	94.30744	
26.04682	94.60777	
26.11246	94.50323	
26.15619	94.39392	
26.22165	94.40894	
26.26623	94.48566	
26.33276	94.27874	
26.37708	94.9399	
26.43991	94.08114	
26.48632	94.01822	
26.55073	94.32821	
26.59544	94.83958	
26.66041	94.37335	
26.70391	94.36039	
26.76776	94.42505	
26.81139	94.23232	
26.87823	94.42681	
26.92389	94.46612	
26.98829	94.98903	
27.03142	95.04185	
27.09756	94.49901	
27.14127	94.59754	
27.20638	93.6784	
27.252	94.33882	
27.31762	94.06143	
27.36026	93.91313	
27.42603	93.80637	
27.46952	93.78828	
27.53548	93.75077	
27.57953	94.34568	
27.64562	93.84706	
27.68971	93.85153	
27.75581	93.93279	
27.79936	94.76774	
27.86495	94.64806	
27.91014	93.89247	
27.97486	94.44656	
28.01844	94.49554	
28.08309	94.09126	
28.12959	95.34776	
28.19621	94.3639	
28.23971	93.75887	
28.30251	94.02541	
28.34606	93.83191	
28.41184	93.65035	
28.45665	94.41839	
28.52244	93.6927	
28.56623	94.76358	
28.63048	94.3354	
28.67491	94.00085	
28.74016	94.51415	
28.78461	94.57761	
28.84942	94.00716	
28.8932	95.23535	
28.95909	94.2599	
29.00328	94.52515	
29.06943	94.23328	
29.11414	94.96154	
29.17765	93.98599	
29.2213	94.17252	
29.28732	94.01513	
29.33136	93.99142	
29.39696	94.29791	
29.44135	93.83408	
29.50583	94.12438	
29.55012	94.24287	
29.61616	93.86025	
29.66055	94.64255	
29.72523	93.79442	
29.76858	93.99619	
29.83428	94.82975	
29.87869	94.05556	
29.94374	94.32629	
29.98853	94.112	
30.05308	94.19528	
30.09716	94.97711	
30.16144	94.32728	
30.20617	94.54504	
30.27177	94.09853	
30.31586	94.61259	
30.38067	94.13284	
30.42487	93.57632	
30.49103	94.2615	
30.5354	93.73364	
30.60046	93.99638	
30.64487	93.57409	
30.71054	93.639	
30.75487	93.69923	
30.82025	93.50848	
30.86463	94.13611	
30.92979	93.82365	
30.97487	93.35798	
31.03837	94.01519	
31.08193	93.62301	
31.1482	93.93591	
31.19263	93.92034	
31.2575	93.74239	
31.30164	94.66474	
31.36647	93.81088	
31.41073	93.52223	
31.47559	93.8876	
31.51992	93.55324	
31.58403	93.49463	
31.6291	93.01299	
31.69539	93.2502	
31.7395	94.17266	
31.80511	93.29619	
31.84941	93.72575	
31.91366	93.82586	
31.95903	93.96437	
32.0234	94.393	
32.06766	93.50378	
32.13274	93.89446	
32.17749	94.27723	
32.24172	93.97163	
32.28698	93.78511	
32.35153	94.04849	
32.39576	94.3252	
32.46196	93.96022	
32.50569	93.57103	
32.5713	93.69788	
32.6155	93.85439	
32.67984	93.90068	
32.72407	93.79822	
32.78933	93.78056	
32.83419	93.69695	
32.89953	93.54911	
32.9436	93.98161	
33.00946	93.66983	
33.05268	93.82583	
33.11707	94.0717	
33.1615	94.01001	
33.22885	94.15381	
33.27337	94.29346	
33.3383	93.86686	
33.38175	94.09223	
33.44665	93.63509	
33.49179	94.49243	
33.55577	93.89491	
33.60036	94.12881	
33.66592	94.09772	
33.7116	93.39845	
33.77428	93.81127	
33.81754	94.27921	
33.8839	93.79814	
33.92907	93.91696	
33.99582	93.98774	
34.03904	94.48833	
34.10312	93.95597	
34.14643	94.61685	
34.21198	93.82988	
34.25645	93.69028	
34.32302	93.77849	
34.36808	94.69791	
34.43221	93.60764	
34.47629	93.74636	
34.5415	93.49599	
34.58543	93.13766	
34.65121	93.34358	
34.69479	93.81995	
34.76046	93.91781	
34.80474	93.82954	
34.86914	92.89919	
34.91272	93.50729	
34.97861	92.88972	
35.02233	93.59442	
35.08628	93.51619	
35.13067	93.88818	
35.19751	93.57677	
35.24227	93.57009	
35.30625	93.52522	
35.35041	93.15416	
35.41672	93.24876	
35.46158	93.0881	
35.52686	93.8381	
35.57076	94.74696	
35.6352	93.56348	
35.67923	93.3124	
35.74479	93.19166	
35.78896	93.76413	
35.85367	93.39578	
35.89877	94.02805	
35.96505	93.54707	
36.0081	94.07262	
36.0727	93.31743	
36.11673	94.28634	
36.18227	93.70472	
36.22742	94.30949	
36.29328	93.85071	
36.33648	94.10443	
36.40074	93.61256	
36.44569	93.88865	
36.5107	93.5472	
36.55556	94.35356	
36.62112	93.77699	
36.66544	94.44436	
36.72984	93.74609	
36.77411	94.34927	
36.83936	93.24611	
36.88366	93.63663	
36.94883	93.25739	
36.99404	93.53257	
37.05751	93.58521	
37.10192	94.06772	
37.16908	93.47457	
37.21428	93.33167	
37.27935	93.31398	
37.32251	93.60988	
37.38689	93.57118	
37.43106	93.68911	
37.4961	93.67422	
37.54055	94.08773	
37.60553	93.6601	
37.65041	93.66991	
37.71659	93.57803	
37.75969	93.95206	
37.8257	93.39199	
37.87027	93.36052	
37.93377	93.28208	
37.97762	92.93108	
38.04332	93.37444	
38.08733	92.97324	
38.15262	93.06617	
38.19711	92.72842	
38.2632	92.67557	
38.30737	92.64702	
38.37205	93.07374	
38.41598	92.77026	
38.48129	93.67343	
38.52571	93.42528	
38.59117	93.08143	
38.6353	93.40944	
38.70084	93.12149	
38.74476	92.93174	
38.80837	92.98644	
38.85302	93.49454	
38.91848	93.30203	
38.96313	93.11702	
39.02779	93.31734	
39.07217	92.91723	
39.139	92.96227	
39.18226	93.83745	
39.2463	92.78529	
39.29074	93.54826	
39.35654	92.96566	
39.40256	93.25466	
39.46675	93.58929	
39.51078	93.40899	
39.57786	93.42349	
39.62087	93.80773	
39.68452	93.04223	
39.73068	93.3917	
39.79573	93.14992	
39.83911	93.0411	
39.90499	93.85101	
