T[°C]	Ratio 350nm / 330nm	S.D.
19.99944	0.8699055	
19.99959	0.8691915	
20.00149	0.8691324	
20.00702	0.8712201	
20.01503	0.8705187	
20.02736	0.868049	
20.04051	0.868781	
20.05656	0.8675641	
20.07378	0.8682457	
20.09418	0.8691569	
20.11507	0.8697495	
20.14036	0.8698225	
20.16472	0.8692049	
20.19252	0.8687338	
20.22142	0.8695953	
20.25458	0.8691297	
20.28614	0.8685662	
20.3237	0.8686929	
20.35906	0.867625	
20.39947	0.8694993	
20.43845	0.8694625	
20.4825	0.8703774	
20.52264	0.8706228	
20.56692	0.8687168	
20.61216	0.8701084	
20.66257	0.869013	
20.70881	0.8706107	
20.76012	0.8696737	
20.80779	0.8677257	
20.8593	0.8701267	
20.90956	0.8689938	
20.96559	0.8700026	
21.01695	0.8675558	
21.07203	0.8717144	
21.12423	0.8695894	
21.18086	0.8687989	
21.23362	0.8695717	
21.28938	0.8699782	
21.34196	0.8684878	
21.39986	0.8705248	
21.45412	0.8710307	
21.51154	0.8684152	
21.56435	0.8686336	
21.61986	0.8696492	
21.67162	0.8703784	
21.72918	0.8696077	
21.78139	0.8683038	
21.83778	0.8700234	
21.89125	0.8687231	
21.94744	0.8704114	
22.00051	0.8688161	
22.05831	0.8701608	
22.11036	0.8676929	
22.16676	0.8666938	
22.21805	0.8692864	
22.27575	0.8703819	
22.32807	0.8699365	
22.38487	0.868251	
22.43845	0.8679838	
22.49576	0.8692169	
22.54868	0.8680687	
22.60417	0.8681756	
22.65616	0.8682209	
22.7131	0.8694255	
22.76643	0.8691677	
22.82409	0.8683538	
22.8756	0.8689718	
22.93197	0.8673449	
22.98572	0.8711142	
23.04338	0.8675227	
23.09536	0.8696236	
23.15195	0.8688062	
23.20359	0.8675959	
23.25985	0.8705742	
23.31368	0.8699378	
23.37023	0.8692548	
23.42323	0.8687824	
23.48068	0.8691681	
23.53414	0.8692849	
23.5904	0.8676043	
23.64161	0.8684856	
23.69846	0.8689045	
23.75225	0.8689546	
23.80871	0.8684792	
23.86028	0.8667427	
23.91649	0.8688997	
23.96874	0.8670499	
24.02706	0.8685135	
24.08077	0.8670667	
24.13715	0.8663341	
24.18912	0.8672383	
24.24557	0.8679267	
24.29896	0.8692741	
24.35558	0.8684132	
24.40884	0.8696023	
24.46607	0.8680486	
24.51872	0.8682629	
24.57414	0.8665481	
24.62691	0.8695402	
24.68474	0.8664358	
24.73678	0.8689545	
24.7947	0.8683646	
24.84743	0.8695552	
24.90325	0.8663692	
24.95586	0.8650907	
25.01274	0.8675194	
25.06492	0.8675981	
25.1228	0.8681239	
25.17651	0.8700203	
25.23284	0.8680406	
25.28406	0.868534	
25.34134	0.8679772	
25.39413	0.867803	
25.45158	0.8689814	
25.50515	0.86759	
25.56211	0.8687008	
25.6137	0.868398	
25.66926	0.8683482	
25.72198	0.8667794	
25.77929	0.8662678	
25.83248	0.8673042	
25.89025	0.8672606	
25.94213	0.8678733	
25.99813	0.8656461	
26.0511	0.8660666	
26.10829	0.8673651	
26.16031	0.8673196	
26.21732	0.8687934	
26.27034	0.8679987	
26.32834	0.8682637	
26.38105	0.8665841	
26.43578	0.8667672	
26.49034	0.8672	
26.54647	0.8665997	
26.5997	0.8669579	
26.65626	0.8689684	
26.70804	0.8658338	
26.76361	0.8665614	
26.81561	0.8669301	
26.87386	0.8665577	
26.92827	0.8676178	
26.98443	0.8675774	
27.03576	0.8672093	
27.09333	0.8667157	
27.14541	0.8684616	
27.20212	0.8687248	
27.25643	0.868543	
27.31358	0.8667995	
27.36435	0.868589	
27.42215	0.8668005	
27.47391	0.8671431	
27.53135	0.8655193	
27.58385	0.8675305	
27.6414	0.8665244	
27.69395	0.8674076	
27.75156	0.8662732	
27.8034	0.8657815	
27.86053	0.8662153	
27.91422	0.8683617	
27.97064	0.8654802	
28.02257	0.8664572	
28.07891	0.8675049	
28.13398	0.8661581	
28.192	0.8664209	
28.24374	0.8673656	
28.29844	0.8646917	
28.35028	0.8646541	
28.40761	0.8659207	
28.46095	0.8652292	
28.51825	0.8653635	
28.57039	0.8660367	
28.62631	0.8652923	
28.67915	0.8669854	
28.73598	0.8652661	
28.7889	0.8652582	
28.84531	0.8650056	
28.89742	0.8665613	
28.95477	0.8654049	
29.00744	0.8639707	
29.06509	0.8631971	
29.11832	0.8646719	
29.17367	0.8640936	
29.22563	0.8643746	
29.28312	0.8648425	
29.33551	0.8651025	
29.39265	0.8638903	
29.44555	0.865554	
29.50174	0.8645934	
29.55445	0.864584	
29.61197	0.8644097	
29.66472	0.8640209	
29.72105	0.8630803	
29.77271	0.8634628	
29.8299	0.8627135	
29.88277	0.8637009	
29.93944	0.8636891	
29.9927	0.8647192	
30.04893	0.8639085	
30.1013	0.8652334	
30.15729	0.8636311	
30.21053	0.8646172	
30.26766	0.8628358	
30.32005	0.8639461	
30.3765	0.8640288	
30.42906	0.8631332	
30.48669	0.8640659	
30.53951	0.8629456	
30.59621	0.8640212	
30.64908	0.8639969	
30.70628	0.8645069	
30.75901	0.8634956	
30.81595	0.8635629	
30.86868	0.8637903	
30.92543	0.8645623	
30.979	0.8623216	
31.03448	0.8631144	
31.08617	0.8640095	
31.14389	0.8631282	
31.19674	0.8619173	
31.25324	0.8636809	
31.3058	0.8626041	
31.36223	0.8614488	
31.41492	0.8630536	
31.47137	0.8602566	
31.52405	0.8631999	
31.57986	0.8640158	
31.63346	0.8640566	
31.69116	0.8623914	
31.74366	0.8623159	
31.80084	0.8619745	
31.8536	0.8637754	
31.90962	0.863443	
31.96326	0.8596821	
32.01933	0.8615512	
32.0717	0.8630075	
32.12854	0.8627508	
32.18177	0.8615581	
32.2377	0.8599659	
32.29118	0.861429	
32.34739	0.8622428	
32.40005	0.8605605	
32.45782	0.8617505	
32.50982	0.8630128	
32.56697	0.8625368	
32.61963	0.8597221	
32.67566	0.8626439	
32.72827	0.8595049	
32.78511	0.86058	
32.83841	0.8614643	
32.8955	0.8607458	
32.94796	0.8608106	
33.00546	0.8591288	
33.0569	0.8617128	
33.11297	0.8617649	
33.16587	0.8613957	
33.22453	0.8597955	
33.27758	0.8620251	
33.33413	0.8596279	
33.38586	0.859631	
33.44235	0.8607575	
33.49584	0.8602621	
33.5516	0.859403	
33.60469	0.860079	
33.66179	0.8617528	
33.71558	0.8595074	
33.77033	0.8599555	
33.82183	0.8595843	
33.87958	0.8613302	
33.93335	0.8597661	
33.99189	0.8601899	
34.04329	0.8591675	
34.09913	0.8586003	
34.15063	0.8583109	
34.20776	0.859751	
34.2607	0.8599989	
34.31879	0.858641	
34.37238	0.8589091	
34.42822	0.8595489	
34.48046	0.8598475	
34.53725	0.8597837	
34.58955	0.8599775	
34.64685	0.858835	
34.69868	0.8590748	
34.75637	0.8602627	
34.80908	0.8598193	
34.86518	0.8600052	
34.91707	0.8594546	
34.97446	0.8569642	
35.02645	0.8583876	
35.08216	0.8579468	
35.135	0.8571205	
35.19325	0.8588891	
35.24638	0.8585509	
35.3021	0.8575802	
35.35463	0.8571209	
35.41238	0.8579733	
35.46579	0.8563097	
35.52269	0.8577538	
35.57499	0.8584309	
35.63107	0.858897	
35.68349	0.8567167	
35.74059	0.8577367	
35.79308	0.8560927	
35.84945	0.8577842	
35.90313	0.8565057	
35.96086	0.8589094	
36.01211	0.8588915	
36.06855	0.8582397	
36.12096	0.8577548	
36.17807	0.8566533	
36.23177	0.8566781	
36.28912	0.8558339	
36.34046	0.8569888	
36.39644	0.857579	
36.44995	0.8572105	
36.50657	0.8553525	
36.55981	0.8563403	
36.61691	0.8549173	
36.66963	0.8570248	
36.72571	0.8566332	
36.77837	0.8547	
36.83516	0.8552724	
36.88789	0.856858	
36.94466	0.8563004	
36.99817	0.8569324	
37.05341	0.8568519	
37.10624	0.8565564	
37.1647	0.8555753	
37.21841	0.8568251	
37.27519	0.8555714	
37.32652	0.8554243	
37.38263	0.8572087	
37.43521	0.8554579	
37.49185	0.8540269	
37.54468	0.8554471	
37.60123	0.8562223	
37.65467	0.8552992	
37.71269	0.8530241	
37.76399	0.8540356	
37.82152	0.8556483	
37.87448	0.8547935	
37.92981	0.8542396	
37.98196	0.8528946	
38.03922	0.8542864	
38.09161	0.8556756	
38.14851	0.8556496	
38.20131	0.8552524	
38.25891	0.8569269	
38.3115	0.8557699	
38.36783	0.8532013	
38.42014	0.8532634	
38.47704	0.8547057	
38.52988	0.8549923	
38.58693	0.8533401	
38.63943	0.8549744	
38.69658	0.85445	
38.74892	0.8563855	
38.80445	0.8555977	
38.85723	0.8547786	
38.91425	0.8543568	
38.96737	0.852528	
39.02369	0.8527151	
39.07656	0.8534802	
39.13488	0.8518311	
39.18627	0.8531428	
39.24204	0.8527315	
39.29495	0.8526626	
39.35227	0.8537374	
39.40669	0.8506495	
39.46275	0.8539919	
39.51517	0.8509896	
39.57362	0.8532688	
39.62482	0.8520004	
39.68026	0.8534514	
39.73511	0.8525407	
39.79175	0.852873	
39.8434	0.8531356	
39.90082	0.8523453	
39.95264	0.8522827	
40.0095	0.8539714	
40.06615	0.8516122	
40.12429	0.8514768	
40.17512	0.8486995	
40.2315	0.8513508	
40.28484	0.8493904	
40.34137	0.8521457	
40.39564	0.8518282	
40.45256	0.8513645	
40.50416	0.8515546	
40.56028	0.8501164	
40.61354	0.8507828	
40.67018	0.8533766	
40.72337	0.849869	
40.77987	0.8487465	
40.8327	0.8507099	
40.89032	0.8514469	
40.94261	0.8490204	
40.99915	0.8510238	
41.05235	0.8514704	
41.1096	0.8517851	
41.16051	0.8503045	
41.21701	0.8492163	
41.26898	0.8502501	
41.32762	0.8511671	
41.38018	0.8483578	
41.43659	0.8499953	
41.48847	0.8498907	
41.54468	0.8498801	
41.5977	0.8486538	
41.65552	0.8485394	
41.70738	0.8497252	
41.76536	0.8494865	
41.81876	0.8495384	
41.8753	0.8479433	
41.92691	0.8497748	
41.98376	0.8476143	
42.03625	0.8499193	
42.09333	0.84869	
42.14561	0.8503005	
42.20435	0.8481091	
42.25701	0.8495792	
42.31264	0.8485103	
42.36607	0.8494688	
42.42188	0.8489042	
42.47465	0.8484928	
42.53245	0.8476047	
42.58552	0.8492817	
42.64207	0.846787	
42.69376	0.8497552	
42.75009	0.8477354	
42.80266	0.8447573	
42.86157	0.848138	
42.91315	0.8472381	
42.9708	0.8471875	
43.02325	0.8465478	
43.07924	0.8471398	
43.13145	0.8481731	
43.18814	0.8446686	
43.24134	0.8475921	
43.29783	0.8465432	
43.35071	0.8462972	
43.40718	0.8459076	
43.45957	0.8483094	
43.51591	0.8472472	
43.56926	0.8461789	
43.62681	0.8445478	
43.67997	0.8470114	
43.7361	0.8454278	
43.78821	0.845445	
43.84447	0.8445763	
43.89692	0.8453349	
43.95374	0.8467377	
44.00711	0.8442179	
44.06489	0.8462465	
44.11675	0.8433344	
44.17344	0.8446009	
44.22562	0.8463731	
44.2815	0.8450181	
44.33475	0.8466467	
44.39143	0.8438782	
44.4442	0.8463315	
44.5013	0.8461753	
44.55509	0.8463989	
44.61081	0.8475829	
44.6616	0.8424205	
44.71943	0.84351	
44.77319	0.8430601	
44.83033	0.8446685	
44.88307	0.8436294	
44.94102	0.8436104	
44.99197	0.840397	
45.04805	0.8461457	
45.10022	0.8437517	
45.15669	0.8446188	
45.20955	0.8423442	
45.26593	0.8424302	
45.31905	0.8414253	
45.3765	0.8438887	
45.42911	0.8435562	
45.48606	0.843425	
45.53848	0.8418336	
45.5951	0.8436297	
45.64779	0.8411415	
45.70461	0.8431053	
45.75687	0.8437348	
45.81507	0.841123	
45.86808	0.8418478	
45.92469	0.8419572	
45.97748	0.8402631	
46.03446	0.8419695	
46.08716	0.8422754	
46.14433	0.8433604	
46.19591	0.8418689	
46.2527	0.8418185	
46.30524	0.8417791	
46.36152	0.8409446	
46.41452	0.8416114	
46.47216	0.8433406	
46.52499	0.8398395	
46.58091	0.8419573	
46.63352	0.8402144	
46.69067	0.8397377	
46.74394	0.8400547	
46.80224	0.8411767	
46.85238	0.8410286	
46.90855	0.8403311	
46.9618	0.8394018	
47.01979	0.842887	
47.07227	0.8407329	
47.12949	0.8396283	
47.18228	0.8403063	
47.23806	0.8419344	
47.29002	0.8381276	
47.34808	0.8394467	
47.40136	0.8402932	
47.45782	0.8415769	
47.50964	0.8391422	
47.56693	0.8387378	
47.61971	0.8397473	
47.67611	0.8380587	
47.72806	0.8385897	
47.78488	0.836916	
47.83769	0.8376797	
47.895	0.8376047	
47.9483	0.8374114	
48.00675	0.8390176	
48.06033	0.8376264	
48.11454	0.838231	
48.16665	0.8366743	
48.22431	0.8383323	
48.27618	0.8369692	
48.33302	0.8353537	
48.38641	0.8361623	
48.44369	0.8383194	
48.49588	0.8371512	
48.55268	0.8377932	
48.60806	0.837733	
48.66583	0.8366072	
48.71917	0.8346025	
48.77696	0.8368499	
48.82781	0.8394164	
48.88453	0.8361061	
48.93737	0.8380235	
48.99414	0.8371876	
49.04784	0.8368628	
49.10289	0.8362691	
49.15558	0.8378049	
49.21354	0.8371733	
49.26606	0.8358704	
49.32269	0.8381125	
49.37423	0.8376464	
49.43185	0.8366817	
49.48397	0.8355594	
49.542	0.8358444	
49.59592	0.8348373	
49.65056	0.835736	
49.70284	0.8346199	
49.76064	0.8354709	
49.81358	0.8333521	
49.87188	0.8363341	
49.92278	0.8338633	
49.97776	0.8345959	
50.03235	0.8337674	
50.08887	0.8348305	
50.14217	0.8315772	
50.19773	0.8339525	
50.24964	0.8335688	
50.30616	0.8351536	
50.3605	0.831318	
50.41655	0.8352044	
50.46807	0.8324409	
50.52481	0.8347191	
50.57841	0.8340502	
50.63678	0.8310381	
50.69084	0.8342394	
50.74742	0.8321159	
50.80077	0.8328216	
50.85865	0.8333316	
50.91111	0.8321615	
50.96836	0.8335234	
