T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
19.99944	94.94302		-0.2627328	
20.05342	94.93753		-0.2574585	
20.10741	94.93206		-0.252167	
20.1614	94.92661		-0.2468594	
20.21539	94.92123		-0.2415376	
20.26938	94.91599		-0.2362032	
20.32337	94.91099		-0.2308587	
20.37736	94.9063		-0.2255068	
20.43135	94.90199		-0.2201504	
20.48534	94.89811		-0.2147929	
20.53933	94.89462		-0.209438	
20.59332	94.89144		-0.2040897	
20.6473	94.88837		-0.1987523	
20.70129	94.88512		-0.1934303	
20.75528	94.88118		-0.1881287	
20.80927	94.8755		-0.1828526	
20.86326	94.86632		-0.1776075	
20.91725	94.85501		-0.1723993	
20.97124	94.84238		-0.167234	
21.02523	94.82844		-0.1621175	
21.07922	94.81305		-0.1570563	
21.13321	94.79606		-0.1520556	
21.1872	94.77778		-0.1471215	
21.24119	94.75793		-0.1422591	
21.29518	94.73582		-0.1374736	
21.34916	94.71127		-0.1327693	
21.40315	94.68416		-0.1281504	
21.45714	94.65504		-0.1236206	
21.51113	94.62519		-0.1191829	
21.56512	94.5961		-0.1148394	
21.61911	94.56962		-0.1105919	
21.6731	94.5471		-0.1064413	
21.72709	94.52934		-0.1023876	
21.78108	94.51645		-0.09842954	
21.83507	94.50832		-0.09456474	
21.88906	94.50462		-0.09078918	
21.94304	94.50432		-0.08709697	
21.99703	94.50597		-0.08347939	
22.05102	94.50813		-0.07992488	
22.10501	94.50999		-0.07641787	
22.159	94.51134		-0.07293791	
22.21299	94.51277		-0.06945853	
22.26698	94.51563		-0.06594595	
22.32097	94.52094		-0.06235757	
22.37496	94.52893		-0.05864092	
22.42895	94.53918		-0.05473308	
22.48294	94.55122		-0.05056455	
22.53693	94.56511		-0.04606737	
22.59092	94.58115		-0.0411906	
22.64491	94.59908		-0.04006397	
22.69889	94.61826		-0.03910616	
22.75288	94.63769		-0.03832693	
22.80687	94.65688		-0.03773841	
22.86086	94.67561		-0.037354	
22.91485	94.69344		-0.03718698	
22.96884	94.71028		-0.03724902	
23.02283	94.72583		-0.03754953	
23.07682	94.73959		-0.03809518	
23.13081	94.75127		-0.03888965	
23.1848	94.76049		-0.03993338	
23.23878	94.76723		-0.041223	
23.29277	94.77157		-0.04275096	
