T[°C]	350nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
20.00003	7026.18	11.67983	-101.7244	7.4537
20.05401	7020.565	12.03279	-101.6269	7.268923
20.108	7014.956	12.37458	-101.5296	7.084729
20.16199	7009.351	12.70437	-101.4326	6.901158
20.21597	7003.752	13.0222	-101.3358	6.718255
20.26996	6998.157	13.32893	-101.2393	6.536077
20.32394	6992.568	13.62463	-101.1431	6.354674
20.37793	6986.983	13.91031	-101.0472	6.174109
20.43192	6981.403	14.18644	-100.9517	5.994436
20.4859	6975.828	14.45375	-100.8564	5.815731
20.53989	6970.255	14.71377	-100.7616	5.638049
20.59388	6964.686	14.96809	-100.6671	5.461466
20.64786	6959.118	15.21773	-100.573	5.286052
20.70185	6953.551	15.46497	-100.4793	5.111883
20.75584	6947.986	15.71084	-100.3859	4.939033
20.80982	6942.423	15.95558	-100.293	4.767577
20.86381	6936.863	16.19836	-100.2006	4.597599
20.9178	6931.316	16.427	-100.1085	4.429173
20.97178	6925.798	16.60092	-100.0169	4.262387
21.02577	6920.364	16.70177	-99.92568	4.097319
21.07975	6914.943	16.83712	-99.83489	3.934058
21.13374	6909.537	17.01488	-99.74452	3.772682
21.18773	6904.147	17.22746	-99.65455	3.613289
21.24171	6898.776	17.45324	-99.56496	3.455967
21.2957	6893.422	17.6746	-99.47575	3.3008
21.34969	6888.08	17.87822	-99.38689	3.147899
21.40367	6882.744	18.06081	-99.29836	2.997358
21.45766	6877.415	18.22249	-99.21012	2.849293
21.51164	6872.104	18.36417	-99.12216	2.703813
21.56563	6866.817	18.49172	-99.03445	2.561043
21.61962	6861.555	18.6147	-98.94696	2.421131
21.6736	6856.313	18.74161	-98.85967	2.284219
21.72759	6851.083	18.88473	-98.77254	2.150486
21.78158	6845.855	19.05224	-98.68555	2.020121
21.83556	6840.62	19.24455	-98.59864	1.893364
21.88955	6835.365	19.4566	-98.51179	1.770491
21.94353	6830.082	19.67455	-98.42493	1.651839
21.99752	6824.777	19.88208	-98.33802	1.537842
22.05151	6819.462	20.05273	-98.25098	1.429052
22.1055	6814.154	20.14628	-98.16375	1.326188
22.15948	6808.868	20.13252	-98.07626	1.23021
22.21347	6803.607	20.00259	-97.98843	1.142359
22.26745	6798.374	19.76989	-97.90018	1.064228
22.32144	6793.165	19.45337	-97.8115	0.997749
22.37543	6787.971	19.07162	-97.72236	0.9450853
22.42941	6782.787	18.63688	-97.63288	0.9083166
22.4834	6777.603	18.16204	-97.5433	0.8888602
22.53739	6772.407	17.66334	-97.45414	0.8868331
22.59137	6767.189	17.15597	-97.36616	0.9007933
22.64536	6761.948	16.65314	-97.30527	0.8660865
22.69934	6756.686	16.168	-97.24767	0.8312895
22.75333	6751.409	15.70881	-97.19337	0.7960815
22.80732	6746.121	15.27912	-97.14236	0.7601473
22.8613	6740.829	14.87849	-97.09463	0.7231694
22.91529	6735.534	14.50755	-97.0501	0.6848518
22.96928	6730.244	14.17129	-97.00873	0.6449407
23.02326	6724.967	13.87486	-96.97044	0.6032634
23.07725	6719.716	13.61766	-96.93511	0.5596986
23.13124	6714.499	13.39481	-96.90263	0.5142077
23.18522	6709.313	13.19458	-96.87282	0.4667858
