T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
20.00003	0.8690034	0.0002265318	-8.393358E-05	0.0001358251
20.05401	0.8689967	0.0002183816	-8.880982E-05	0.0001331332
20.108	0.8689899	0.0002110031	-9.369407E-05	0.0001304406
20.16199	0.8689829	0.0002044308	-9.858633E-05	0.0001277476
20.21597	0.8689757	0.0001986175	-0.0001034865	0.0001250544
20.26996	0.8689682	0.0001935135	-0.0001083946	0.0001223616
20.32394	0.8689606	0.0001891137	-0.0001133103	0.0001196696
20.37793	0.8689528	0.000185358	-0.0001182335	0.0001169789
20.43192	0.8689448	0.0001822047	-0.000123164	0.0001142901
20.4859	0.8689366	0.0001796081	-0.0001281015	0.0001116037
20.53989	0.8689282	0.0001774484	-0.0001330456	0.0001089205
20.59388	0.8689197	0.0001757208	-0.0001379962	0.0001062411
20.64786	0.868911	0.0001743944	-0.0001429528	0.0001035663
20.70185	0.8689021	0.0001733906	-0.000147915	0.0001008968
20.75584	0.8688932	0.0001727103	-0.0001528825	9.823352E-05
20.80982	0.8688841	0.0001723694	-0.0001578547	9.557719E-05
20.86381	0.868875	0.0001723223	-0.0001628313	9.292874E-05
20.9178	0.8688658	0.0001725736	-0.0001678117	9.02891E-05
20.97178	0.8688564	0.0001731485	-0.0001727955	8.765923E-05
21.02577	0.8688469	0.0001740716	-0.0001777821	8.504012E-05
21.07975	0.8688373	0.0001753783	-0.0001827711	8.243278E-05
21.13374	0.8688275	0.0001771223	-0.0001877619	7.983828E-05
21.18773	0.8688176	0.0001793639	-0.0001927539	7.725768E-05
21.24171	0.8688076	0.0001820653	-0.0001977467	7.469211E-05
21.2957	0.8687974	0.0001852529	-0.0002027397	7.214272E-05
21.34969	0.868787	0.0001886561	-0.0002077322	6.961064E-05
21.40367	0.8687761	0.0001915523	-0.0002127238	6.709708E-05
21.45766	0.8687643	0.0001926796	-0.000217714	6.460326E-05
21.51164	0.8687509	0.000183406	-0.0002227021	6.213041E-05
21.56563	0.868735	0.0001704444	-0.0002276877	5.967977E-05
21.61962	0.8687198	0.0001564288	-0.0002326702	5.725261E-05
21.6736	0.8687056	0.0001413782	-0.0002376491	5.485016E-05
21.72759	0.8686925	0.0001254935	-0.0002426241	5.247365E-05
21.78158	0.8686808	0.0001089579	-0.0002475946	5.012424E-05
21.83556	0.8686707	9.187062E-05	-0.0002525602	4.780307E-05
21.88955	0.868662	7.452493E-05	-0.0002575207	4.551115E-05
21.94353	0.8686545	5.754883E-05	-0.0002624758	4.324942E-05
21.99752	0.8686478	4.21696E-05	-0.0002674251	4.101872E-05
22.05151	0.8686414	3.156551E-05	-0.0002723685	3.881977E-05
22.1055	0.8686351	3.12723E-05	-0.0002773059	3.665315E-05
22.15948	0.8686285	4.108485E-05	-0.0002822369	3.451933E-05
22.21347	0.8686211	5.533967E-05	-0.0002871616	3.241861E-05
22.26745	0.8686126	7.089381E-05	-0.00029208	3.035115E-05
22.32144	0.8686023	8.64449E-05	-0.0002969919	2.831688E-05
22.37543	0.8685902	0.0001013173	-0.0003018975	2.631564E-05
22.42941	0.8685759	0.0001151431	-0.0003067969	2.434699E-05
