T[°C]	330nm [counts / mm]	S.D.
19.99993	8066.335	
19.99998	8108.524	
20.00358	8087.527	
20.00508	8069.339	
20.01948	8081.41	
20.02272	8083.829	
20.04637	8062.042	
20.05054	8076.425	
20.08144	8061.014	
20.0868	8076.585	
20.12437	8053.185	
20.13092	8048.544	
20.17457	8050.976	
20.18179	8040.121	
20.23367	8049.731	
20.24239	8053.075	
20.2988	8028.545	
20.30983	8036.647	
20.37346	8025.261	
20.38394	8032.518	
20.45376	8004.884	
20.46536	7994.902	
20.53781	7999.112	
20.54917	7990.502	
20.63043	8012.889	
20.6435	7965.94	
20.72673	7965.788	
20.74042	7972.599	
20.82605	7960.012	
20.83943	7948.974	
20.92968	7962.27	
20.94422	7956.332	
21.0365	7942.065	
21.0508	7942.836	
21.14476	7921.818	
21.16009	7916.68	
21.25414	7928.085	
21.26862	7921.011	
21.36325	7907.151	
21.37847	7903.235	
21.47545	7883.093	
21.49035	7880.776	
21.58519	7878.66	
21.59959	7860.858	
21.69271	7853.316	
21.70786	7859.534	
21.80203	7845.795	
21.81666	7833.648	
21.91224	7842.633	
21.92664	7828.127	
22.02215	7831.729	
22.03694	7829.395	
22.12979	7827.34	
22.14685	7829.233	
22.23937	7813.071	
22.25452	7802.8	
22.34802	7804.928	
22.36322	7792.591	
22.45986	7785.835	
22.4745	7774.31	
22.56911	7770.154	
22.58394	7774.232	
22.6777	7760.562	
22.69265	7756.622	
22.78841	7748.9	
22.80334	7735.73	
22.89607	7734.449	
22.91088	7723.234	
23.00761	7733.428	
23.02358	7729.73	
23.11688	7722.02	
23.13153	7709.422	
23.22446	7713.549	
23.23904	7697.898	
23.33459	7719.14	
23.34926	7710.942	
23.44444	7688.637	
23.45934	7683.235	
23.55556	7671.521	
23.57033	7665.363	
23.66249	7658.151	
23.67723	7655.886	
23.77385	7634.794	
23.78827	7644.136	
23.88128	7627.309	
23.89585	7625.919	
23.9901	7626.899	
24.00522	7621.019	
24.10147	7615.332	
24.1161	7593.493	
24.20943	7597.827	
24.22409	7579.235	
24.32017	7588.497	
24.33465	7592.761	
24.4305	7571.18	
24.44513	7566.79	
24.53948	7563.457	
24.55405	7556.358	
24.64878	7553.412	
24.66396	7528.342	
24.75786	7525.474	
24.77351	7525.25	
24.86819	7516.788	
24.88266	7524.238	
24.97755	7497.891	
24.99247	7499.164	
25.08637	7501.312	
25.10137	7496.344	
25.19785	7486.138	
25.21224	7493.58	
25.30445	7494.386	
25.32044	7471.143	
25.41543	7469.837	
25.43073	7453.569	
25.52691	7439.333	
25.54188	7454.603	
25.63472	7433.49	
25.64929	7423.276	
25.74391	7435.089	
25.75877	7414.566	
25.85363	7431.186	
25.86904	7420.518	
25.9624	7406.591	
25.97712	7417.685	
26.07247	7398.56	
26.08748	7381.589	
26.1809	7391.605	
26.19569	7367.087	
26.29092	7366.905	
26.30622	7351.974	
26.4009	7361.196	
26.4151	7379.417	
26.51041	7354.059	
26.52521	7349.848	
26.62102	7336.669	
26.63548	7325.307	
26.72869	7326.228	
26.7429	7326.417	
26.8367	7320.357	
26.85203	7317.314	
26.95018	7303.598	
26.96511	7321.236	
27.05742	7301.557	
27.07215	7298.537	
27.16613	7276.169	
27.18082	7274.644	
27.27858	7255.057	
27.29339	7277.659	
27.38476	7247.23	
27.40274	7246.848	
27.49584	7254.635	
27.51072	7262.536	
27.60541	7225.697	
27.62034	7248.063	
27.71513	7208.188	
27.73027	7233.151	
27.82359	7204.483	
27.8384	7200.72	
27.93465	7199.647	
27.9495	7191.349	
28.0432	7180.829	
28.058	7189.638	
28.15591	7165.405	
28.17097	7164.934	
28.2639	7159.083	
28.27808	7163.885	
28.3714	7153.204	
28.38647	7144.034	
28.48247	7142.573	
28.49732	7151.084	
28.59116	7146.158	
28.60546	7136.445	
28.70036	7108.515	
28.71509	7126.056	
28.81034	7108.533	
28.82475	7111.025	
28.91853	7099.488	
28.93321	7102.428	
29.02824	7096.732	
29.04341	7083.659	
29.1392	7070.268	
29.15376	7087.135	
29.24726	7056.577	
29.26216	7050.605	
29.35623	7048.518	
29.37108	7047.699	
29.46651	7055.435	
29.48127	7038.234	
29.57613	7046.428	
29.59104	7034.293	
29.68557	7024.198	
29.70018	7016.264	
29.79338	7002.299	
29.80802	7006.69	
29.90321	6994.025	
29.9179	7019.15	
30.01358	6990.824	
30.02816	7000.219	
30.12197	6972.62	
30.13651	6975.678	
30.23234	6960.643	
30.24714	6964.411	
30.34101	6966.388	
30.35567	6958.267	
30.45005	6961.677	
30.46501	6965.811	
30.56008	6944.809	
30.575	6948.489	
30.67015	6931.283	
30.68498	6937.386	
30.77969	6903.154	
30.79445	6916.07	
30.88893	6902.11	
30.90367	6905.295	
30.99965	6889.567	
31.01505	6902.015	
31.10737	6886.009	
31.12235	6891.528	
31.21728	6860.372	
31.23194	6861.847	
31.32655	6851.564	
31.34099	6850.55	
31.43584	6850.983	
31.45026	6840.99	
31.54469	6832.217	
31.55898	6850.699	
31.65523	6827.055	
31.66998	6843.412	
31.7645	6835.698	
31.77952	6816.618	
31.8745	6813.958	
31.88941	6807.945	
31.98444	6805.475	
31.999	6796.425	
32.09195	6785.98	
32.10758	6781.834	
32.20312	6772.718	
32.21762	6775.416	
32.31218	6762.263	
32.32675	6748.093	
32.42154	6750.179	
32.43711	6750.922	
32.53049	6746.052	
32.54531	6741.565	
32.64027	6719.973	
32.6548	6725.77	
32.74928	6711.986	
32.76401	6735.794	
32.85952	6709.57	
32.87534	6697.68	
32.96973	6704.067	
32.98544	6678.111	
33.07797	6690.229	
33.09249	6693.284	
33.18769	6663.275	
33.20289	6674.469	
33.29862	6674.497	
33.31328	6669.35	
33.40639	6647.343	
33.42084	6671.997	
33.51607	6648.786	
33.53075	6648.68	
33.6263	6628.787	
33.6411	6616.171	
33.7355	6632.427	
33.75058	6627.026	
33.84322	6618.506	
33.85798	6640.239	
33.95478	6612.985	
33.97229	6586.224	
34.06452	6604.845	
34.07919	6592.801	
34.17166	6596.452	
34.18668	6582.73	
34.28193	6584.505	
34.29762	6588.563	
34.39383	6553.99	
34.40829	6576.374	
34.50126	6552.075	
34.516	6553.229	
34.61017	6532.374	
34.62505	6528.421	
34.71817	6529.226	
34.7359	6531.187	
34.83075	6512.265	
34.84545	6527.408	
34.93883	6524.557	
34.9537	6529.106	
35.04709	6493.018	
35.06154	6495.573	
35.15665	6483.421	
35.17196	6488.699	
