T[°C]	350nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
19.99998	7028.616		-95.2794	
20.05396	7023.079		-95.31185	
20.10795	7017.545		-95.34492	
20.16194	7012.014		-95.37862	
20.21592	7006.485		-95.41293	
20.26991	7000.958		-95.44783	
20.32389	6995.431		-95.48333	
20.37788	6989.907		-95.5194	
20.43187	6984.384		-95.55602	
20.48586	6978.863		-95.59315	
20.53984	6973.345		-95.63076	
20.59383	6967.831		-95.66882	
20.64781	6962.322		-95.70729	
20.7018	6956.82		-95.74611	
20.75579	6951.328		-95.78522	
20.80977	6945.849		-95.82458	
20.86376	6940.39		-95.86412	
20.91775	6934.963		-95.90377	
20.97173	6929.587		-95.94345	
21.02572	6924.403		-95.98309	
21.0797	6919.258		-96.02258	
21.13369	6914.146		-96.06186	
21.18768	6909.056		-96.10081	
21.24166	6903.986		-96.13935	
21.29565	6898.941		-96.17738	
21.34964	6893.924		-96.2148	
21.40362	6888.937		-96.25151	
21.45761	6883.986		-96.28741	
21.51159	6879.086		-96.32243	
21.56558	6874.245		-96.35648	
21.61957	6869.46		-96.38948	
21.67355	6864.72		-96.42137	
21.72754	6859.999		-96.4521	
21.78153	6855.271		-96.48164	
21.83551	6850.511		-96.50996	
21.8895	6845.7		-96.53705	
21.94349	6840.816		-96.56294	
21.99747	6835.848		-96.58769	
22.05146	6830.777		-96.61138	
22.10544	6825.588		-96.63416	
22.15943	6820.281		-96.65623	
22.21342	6814.867		-96.67786	
22.2674	6809.376		-96.69945	
22.32139	6803.839		-96.72156	
22.37538	6798.276		-96.74495	
22.42936	6792.696		-96.77065	
22.48335	6787.105		-96.8	
22.53734	6781.5		-96.83456	
22.59132	6775.881		-96.87594	
22.64531	6770.261		-96.891	
22.6993	6764.664		-96.90446	
22.75328	6759.107		-96.91593	
22.80727	6753.597		-96.925	
22.86125	6748.129		-96.93128	
22.91524	6742.698		-96.93443	
22.96923	6737.299		-96.93413	
23.02321	6731.93		-96.93008	
23.0772	6726.592		-96.92197	
23.13119	6721.286		-96.90949	
23.18517	6716		-96.8923	
23.23916	6710.736		-96.87006	
23.29314	6705.5		-96.84241	
23.34713	6700.293		-96.80901	
23.40112	6695.105		-96.76954	
23.4551	6689.931		-96.72376	
23.50909	6684.772		-96.67149	
23.56308	6679.621		-96.61266	
23.61706	6674.467		-96.54729	
23.67105	6669.3		-96.47563	
23.72503	6664.11		-96.39803	
23.77902	6658.895		-96.31509	
23.83301	6653.657		-96.22752	
23.887	6648.404		-96.13616	
23.94098	6643.141		-96.04195	
23.99497	6637.869		-95.94588	
24.04895	6632.589		-95.84906	
24.10294	6627.309		-95.75262	
24.15693	6622.025		-95.65769	
24.21091	6616.75		-95.56544	
24.2649	6611.501		-95.47697	
24.31889	6606.297		-95.39335	
24.37287	6601.139		-95.31559	
24.42686	6596.026		-95.24457	
24.48084	6590.957		-95.18102	
24.53483	6585.918		-95.1255	
24.58882	6580.891		-95.07842	
24.6428	6575.858		-95.04005	
24.69679	6570.809		-95.01048	
24.75078	6565.745		-94.98976	
24.80476	6560.676		-94.97782	
24.85875	6555.615		-94.97453	
24.91273	6550.579		-94.97969	
24.96672	6545.58		-94.99302	
25.02071	6540.628		-95.01414	
25.07469	6535.726		-95.04258	
25.12868	6530.866		-95.07786	
25.18267	6526.039		-95.11945	
25.23665	6521.228		-95.16685	
25.29064	6516.42		-95.21954	
25.34463	6511.602		-95.27692	
25.39861	6506.761		-95.33836	
25.4526	6501.882		-95.40315	
25.50659	6496.956		-95.4706	
25.56057	6491.986		-95.53995	
25.61456	6486.983		-95.61047	
25.66854	6481.969		-95.68149	
25.72253	6476.961		-95.75242	
25.77652	6471.966		-95.82281	
25.8305	6466.988		-95.8923	
25.88449	6462.031		-95.96059	
25.93848	6457.081		-96.02744	
25.99246	6452.119		-96.09259	
26.04645	6447.123		-96.15579	
26.10044	6442.071		-96.21677	
26.15442	6436.944		-96.2752	
26.20841	6431.722		-96.33077	
26.26239	6426.388		-96.38317	
26.31638	6420.931		-96.43213	
26.37037	6415.346		-96.47736	
26.42435	6409.665		-96.51859	
26.47834	6403.938		-96.55548	
26.53233	6398.216		-96.58768	
26.58631	6392.542		-96.61481	
26.6403	6386.933		-96.63657	
26.69428	6381.398		-96.65262	
26.74827	6375.935		-96.66267	
26.80226	6370.535		-96.66651	
26.85624	6365.171		-96.66393	
26.91023	6359.821		-96.65482	
26.96422	6354.469		-96.63907	
27.0182	6349.104		-96.61669	
27.07219	6343.719		-96.58775	
27.12617	6338.304		-96.55241	
27.18016	6332.855		-96.51092	
27.23415	6327.38		-96.46361	
27.28814	6321.901		-96.41095	
27.34212	6316.446		-96.35348	
27.39611	6311.033		-96.29173	
27.45009	6305.658		-96.22623	
27.50408	6300.315		-96.15746	
27.55807	6295.009		-96.08588	
27.61205	6289.753		-96.01186	
27.66604	6284.554		-95.93575	
27.72003	6279.401		-95.85788	
27.77401	6274.267		-95.7785	
27.828	6269.128		-95.69781	
