T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
19.99998	0.8687695		-0.000168079	
20.05396	0.868778		-0.0001713626	
20.10795	0.8687862		-0.0001746502	
20.16194	0.8687938		-0.0001779419	
20.21592	0.8688009		-0.000181238	
20.26991	0.8688076		-0.0001845382	
20.32389	0.8688137		-0.0001878427	
20.37788	0.8688194		-0.0001911518	
20.43187	0.8688245		-0.0001944652	
20.48586	0.8688293		-0.0001977833	
20.53984	0.8688335		-0.0002011058	
20.59383	0.8688375		-0.0002044329	
20.64781	0.8688412		-0.0002077648	
20.7018	0.8688445		-0.0002111012	
20.75579	0.8688476		-0.0002144425	
20.80977	0.8688505		-0.0002177885	
20.86376	0.8688533		-0.0002211393	
20.91775	0.868856		-0.0002244951	
20.97173	0.8688585		-0.0002278559	
21.02572	0.868861		-0.0002312218	
21.0797	0.8688634		-0.0002345927	
21.13369	0.8688657		-0.000237969	
21.18768	0.868868		-0.0002413509	
21.24166	0.8688701		-0.0002447382	
21.29565	0.8688718		-0.0002481314	
21.34964	0.8688727		-0.0002515304	
21.40362	0.8688716		-0.0002549357	
21.45761	0.8688665		-0.0002583475	
21.51159	0.8688475		-0.0002617659	
21.56558	0.8688266		-0.0002651914	
21.61957	0.8688038		-0.0002686242	
21.67355	0.8687796		-0.0002720647	
21.72754	0.8687544		-0.0002755134	
21.78153	0.8687292		-0.0002789704	
21.83551	0.8687046		-0.0002824365	
21.8895	0.868681		-0.0002859117	
21.94349	0.8686585		-0.0002893966	
21.99747	0.8686376		-0.0002928919	
22.05146	0.868618		-0.0002963975	
22.10544	0.8685998		-0.0002999142	
22.15943	0.868583		-0.0003034424	
22.21342	0.8685672		-0.0003069823	
22.2674	0.868552		-0.0003105345	
22.32139	0.8685371		-0.0003140992	
22.37538	0.8685217		-0.0003176769	
22.42936	0.8685056		-0.0003212682	
22.48335	0.8684881		-0.0003248731	
22.53734	0.8684691		-0.0003284923	
22.59132	0.868448		-0.0003321258	
22.64531	0.868425		-0.000335774	
22.6993	0.8684005		-0.0003394372	
22.75328	0.8683752		-0.0003431153	
22.80727	0.8683503		-0.0003468087	
22.86125	0.8683268		-0.0003505171	
22.91524	0.8683056		-0.0003542409	
22.96923	0.8682868		-0.0003579802	
23.02321	0.8682703		-0.0003617347	
23.0772	0.8682557		-0.0003655046	
23.13119	0.8682424		-0.0003692893	
23.18517	0.86823		-0.0003730889	
23.23916	0.868218		-0.0003769035	
23.29314	0.8682057		-0.0003807327	
23.34713	0.8681926		-0.0003845773	
23.40112	0.8681781		-0.0003884374	
23.4551	0.8681623		-0.0003923147	
23.50909	0.868145		-0.0003962109	
23.56308	0.8681263		-0.0004001283	
23.61706	0.8681065		-0.0004040696	
23.67105	0.8680857		-0.0004080368	
23.72503	0.8680644		-0.0004120292	
23.77902	0.868043		-0.0004167888	
23.83301	0.8680217		-0.0004215853	
23.887	0.8680003		-0.0004264193	
23.94098	0.8679786		-0.0004312914	
23.99497	0.867957		-0.0004362041	
