T[°C]	Ratio 350nm / 330nm	S.D.
20.00003	0.8695806	
20.00005	0.8674936	
20.004	0.8698567	
20.00468	0.8691753	
20.02037	0.8701899	
20.02179	0.8672956	
20.04755	0.8678457	
20.04933	0.8687564	
20.08297	0.8699625	
20.08532	0.8684395	
20.12623	0.8688092	
20.12904	0.8689272	
20.17654	0.8680369	
20.17965	0.869383	
20.23612	0.8703035	
20.23995	0.8688951	
20.30133	0.8703033	
20.30706	0.8695379	
20.37634	0.8677241	
20.38083	0.8695405	
20.45683	0.8691297	
20.46194	0.8685234	
20.54085	0.868802	
20.54562	0.8688813	
20.63408	0.8696297	
20.63968	0.86764	
20.73031	0.8712069	
20.73649	0.8679063	
20.8297	0.8687823	
20.83546	0.8684097	
20.93371	0.8697574	
20.93994	0.8681201	
21.04041	0.8664836	
21.04656	0.8680042	
21.14886	0.8684863	
21.15593	0.8699788	
21.25824	0.8673143	
21.26446	0.8692562	
21.36751	0.8693887	
21.37419	0.868295	
21.47972	0.8692996	
21.48611	0.8669776	
21.58937	0.8674995	
21.59553	0.8696167	
21.69693	0.8690075	
21.70359	0.8682609	
21.80617	0.8666784	
21.81243	0.8686561	
21.91644	0.8690328	
21.92247	0.869644	
22.02648	0.867902	
22.03266	0.8704371	
22.13367	0.8666752	
22.14287	0.8681653	
22.24364	0.8684352	
22.25027	0.8679062	
22.35201	0.8692824	
22.35889	0.870651	
22.46414	0.8684498	
22.47025	0.8676443	
22.5732	0.8680508	
22.5799	0.8695226	
22.68201	0.8692374	
22.68856	0.8687688	
22.7928	0.8676581	
22.79919	0.8686456	
22.90016	0.8672446	
22.90667	0.8703575	
23.01199	0.8692154	
23.01962	0.8696353	
23.12118	0.8683835	
23.12744	0.8707997	
23.22864	0.8687212	
23.23488	0.8671787	
23.33878	0.8686631	
23.34507	0.8687903	
23.44869	0.8668402	
23.45508	0.8686266	
23.55984	0.8676221	
23.56631	0.8681739	
23.66667	0.8667904	
23.67299	0.8668033	
23.77817	0.8669411	
23.78418	0.868697	
23.88548	0.8679761	
23.89172	0.8670649	
23.99437	0.8680332	
