T[°C]	Scattering [mAU]	S.D.
20.00003	91.76892	
20.00005	94.3545	
20.004	91.60347	
20.00468	91.826	
20.02037	94.57672	
20.02179	92.0414	
20.04755	94.64828	
20.04933	91.81641	
20.08297	94.49007	
20.08532	91.94567	
20.12623	91.65943	
20.12904	91.73718	
20.17654	94.06811	
20.17965	91.70594	
20.23612	91.29134	
20.23995	91.16602	
20.30133	91.96442	
20.30706	91.38587	
20.37634	94.25857	
20.38083	91.6042	
20.45683	94.32529	
20.46194	91.98015	
20.54085	94.14935	
20.54562	91.73891	
20.63408	94.15283	
20.63968	91.83153	
20.73031	94.18725	
20.73649	91.99045	
20.8297	94.56177	
20.83546	92.06319	
20.93371	94.32186	
20.93994	91.94673	
21.04041	94.6683	
21.04656	91.8373	
21.14886	94.41821	
21.15593	92.05011	
21.25824	94.35182	
21.26446	91.84871	
21.36751	91.92746	
21.37419	92.38699	
21.47972	94.5124	
21.48611	92.00777	
21.58937	94.78507	
21.59553	91.84874	
21.69693	94.73441	
21.70359	91.74796	
21.80617	94.60917	
21.81243	92.07407	
21.91644	94.1957	
21.92247	92.18203	
22.02648	94.53876	
22.03266	91.96534	
22.13367	92.30608	
22.14287	91.83569	
22.24364	94.48746	
22.25027	92.21637	
22.35201	94.28819	
22.35889	92.04881	
22.46414	94.06013	
22.47025	92.22379	
22.5732	94.22159	
22.5799	92.11353	
22.68201	94.60382	
22.68856	92.18401	
22.7928	94.54082	
22.79919	92.09707	
22.90016	94.49574	
22.90667	92.11259	
23.01199	94.49801	
23.01962	91.83983	
23.12118	94.36703	
23.12744	91.95856	
23.22864	94.50186	
23.23488	91.75522	
23.33878	94.45094	
23.34507	91.6735	
23.44869	94.47833	
23.45508	92.01237	
23.55984	94.40018	
23.56631	91.77621	
23.66667	94.30209	
23.67299	91.77171	
23.77817	94.30214	
23.78418	91.8027	
23.88548	94.3667	
23.89172	91.88417	
23.99437	94.35516	
24.00084	91.7956	
24.10562	94.31175	
24.11189	91.91084	
24.2135	93.73758	
24.21978	91.89761	
24.32442	93.98727	
24.33047	91.64947	
24.43484	94.41405	
24.44095	91.9771	
24.54363	94.44607	
24.55003	91.65237	
24.65316	94.23829	
24.65981	91.98298	
24.76208	94.39866	
24.76927	92.1599	
24.87235	94.74436	
24.87854	91.84194	
24.9819	92.04257	
24.98841	92.06605	
