T[°C]	Ratio 350nm / 330nm	S.D.
19.99988	0.8701099	0.001174732
20.05387	0.8682674	0.0001733423
20.10785	0.8686607	0.0003107677
20.16184	0.8695912	0.00187433
20.21583	0.8687852	0.001441971
20.26981	0.8692921	0.0007880652
20.3238	0.8692032	0.0008887592
20.37779	0.8693411	0.0005972422
20.43177	0.8690821	0.0005438754
20.48576	0.8685777	0.0008578568
20.53975	0.8692073	0.001121797
20.59374	0.8693259	0.0006188591
20.64772	0.8690538	0.0003024715
20.70171	0.8694021	0.0004338126
20.7557	0.868708	0.001124942
20.80968	0.8683764	0.000542846
20.86367	0.8686808	0.0003577112
20.91766	0.8687419	0.00110346
20.97165	0.8693349	0.0002270143
21.02563	0.8689995	0.0001654869
21.07962	0.8692195	0.0004355955
21.13361	0.8700277	0.001427596
21.1876	0.8679667	0.0008138625
21.24158	0.8692433	0.001264141
21.29557	0.8686154	0.0002797658
21.34956	0.8684301	0.0009272742
21.40354	0.8694791	0.001022105
21.45753	0.8697308	0.00128068
21.51152	0.8686457	0.0008493873
21.5655	0.8692707	0.0009176717
21.61949	0.8690945	0.0004840771
21.67348	0.8699154	0.0009587136
21.72747	0.8692628	0.001011322
21.78145	0.8690891	0.001843527
21.83544	0.8696109	0.0001052857
21.88943	0.8696774	0.0007347083
21.94341	0.8689374	0.0005484401
21.9974	0.8689638	0.001599542
22.05139	0.8690174	0.0007531663
22.10538	0.8690792	0.0001741222
22.15936	0.8684385	0.0007651988
22.21335	0.868975	0.001142743
22.26734	0.8696842	0.001738833
22.32132	0.8693399	0.0005155469
22.37531	0.8688441	0.001474668
22.4293	0.8689883	0.001726787
22.48329	0.868724	0.0002122201
22.53727	0.8686608	0.0005272512
22.59126	0.8691848	0.0004540578
22.64525	0.869128	0.001307973
22.69923	0.8687276	0.001394608
22.75322	0.8687389	0.0004889178
22.80721	0.8704889	0.001755151
22.86119	0.8689514	0.0008802979
22.91518	0.8693188	0.0007965855
22.96917	0.8690451	0.000694205
23.02316	0.8685724	0.001219466
23.07714	0.8689545	0.0004377957
23.13113	0.8681633	0.001290451
23.18512	0.8685653	0.001320842
23.23911	0.8686662	0.000222444
23.29309	0.8688992	4.121507E-05
23.34708	0.8686622	0.000970404
23.40107	0.868505	0.001511274
23.45505	0.868297	0.001136369
23.50904	0.8688152	0.0007867886
23.56303	0.8689306	0.0002555922
23.61702	0.8693777	0.0006991437
23.671	0.8693128	0.0004029561
23.72499	0.8682237	0.0001384034
23.77898	0.868157	0.0003682216
23.83296	0.8685458	0.0006428124
23.88695	0.8682415	0.0004664324
23.94094	0.8678883	0.0008692717
23.99492	0.8676102	0.0009570263
24.04891	0.8675752	0.0004334613
24.1029	0.8680013	0.0005087536
24.15689	0.8681849	0.0007903654
24.21087	0.8686719	0.0009409322
24.26486	0.8679357	0.0007254926
24.31885	0.8680499	0.0006469527
24.37284	0.8680396	0.001361859
24.42682	0.8679503	0.0005891761
24.48081	0.8684191	0.0001023719
24.5348	0.868417	0.001977794
24.58878	0.8676267	0.0006406421
24.64277	0.8685564	0.001300968
24.69676	0.8674906	0.001066159
24.75075	0.8679035	0.0008302687
24.80473	0.8682555	0.0008089131
24.85872	0.8677446	0.0007406904
24.91271	0.8679982	0.001071563
24.96669	0.8683357	0.0005401938
25.02068	0.8678103	0.001036704
25.07467	0.8673732	0.001565865
25.12865	0.8675969	0.0008707911
25.18264	0.8685936	3.192017E-05
25.23663	0.8669392	0.0009703685
25.29062	0.8671284	0.00190984
25.3446	0.8667542	0.0006187661
25.39859	0.8659665	0.000801133
25.45258	0.867039	0.0006686135
25.50657	0.8675068	0.0004878711
25.56055	0.8674991	0.0008353466
25.61454	0.8675209	0.0003695711
25.66853	0.8674141	0.0001315321
25.72251	0.8675488	0.0008669578
25.7765	0.8672057	0.001280845
25.83049	0.8672178	0.001479486
25.88447	0.8673272	0.001025755
25.93846	0.8680317	0.0005387494
25.99245	0.8670769	0.001309638
26.04644	0.8673629	0.0007100369
26.10042	0.8667567	0.001781016
26.15441	0.8665355	0.00115841
26.2084	0.8673207	0.001658735
26.26238	0.8669403	0.000491241
26.31637	0.8663689	0.0005426343
26.37036	0.866249	0.0005584167
26.42435	0.8656359	0.00114649
26.47833	0.8664899	0.000438747
26.53232	0.8662497	0.0007656147
26.58631	0.8664097	0.000668848
26.6403	0.8668162	0.001104466
26.69428	0.8664012	0.001231879
26.74827	0.8666198	0.001236228
26.80226	0.8665332	0.0005073156
26.85624	0.8667246	0.0007331808
26.91023	0.8669942	0.0003610341
26.96422	0.8674726	0.0007323675
27.0182	0.8669464	0.0003962419
27.07219	0.8655462	0.0009462436
27.12618	0.8660789	0.0004557275
27.18017	0.8672295	0.0006284957
27.23415	0.8669971	0.0002220493
27.28814	0.8666198	0.0006722369
27.34213	0.8659042	0.0009190665
27.39611	0.8658208	0.0001945632
27.4501	0.8662156	0.0008981621
27.50409	0.8664998	0.0004321688
27.55807	0.8664293	0.0007760171
27.61206	0.8660437	0.0005471694
27.66605	0.8661165	8.454922E-05
27.72004	0.8660511	0.001018352
27.77402	0.8660538	0.0006077632
27.82801	0.8666336	0.0008951464
27.882	0.8660808	0.0008640908
27.93599	0.865447	0.0001863918
27.98997	0.8660616	0.0001797201
28.04396	0.8664142	0.000480114
28.09795	0.8650571	0.0007012692
28.15193	0.8652071	0.000808795
28.20592	0.864804	0.00119061
28.25991	0.8653843	0.0006461921
28.31389	0.8647391	0.0007334101
28.36788	0.8643436	0.000983751
28.42187	0.8649506	0.0009749563
28.47586	0.8653019	0.0008119261
28.52984	0.8646625	0.0006820998
28.58383	0.8655481	0.0008497961
28.63782	0.8652335	0.0009991565
28.6918	0.8657705	0.0003323702
28.74579	0.8643862	0.0006526537
28.79978	0.8642088	0.0004381139
28.85377	0.8647701	0.001295442
28.90775	0.8653433	0.001715218
28.96174	0.8652349	0.0003701691
29.01573	0.8649108	0.0009666639
29.06972	0.8656375	0.00177536
29.1237	0.8662069	0.00221354
29.17769	0.8651345	0.0007800144
29.23168	0.8648732	0.0007998833
29.28566	0.8644407	0.001336632
29.33965	0.8635682	0.0009807522
29.39364	0.8638964	0.001286105
29.44762	0.864814	0.0006735969
29.50161	0.8640747	0.0001214625
29.5556	0.8643616	0.0002504887
29.60959	0.8643947	0.0007554753
29.66357	0.8640537	0.001159589
29.71756	0.864316	0.001287676
29.77155	0.8643938	0.0008469158
29.82553	0.8638845	0.001042017
29.87952	0.8632576	0.00143245
29.93351	0.8640317	0.0006895496
29.9875	0.8649466	0.0009259126
30.04148	0.8640058	0.000500992
30.09547	0.8643515	0.0004472789
30.14946	0.8646122	0.00135846
30.20344	0.8643938	0.0007738377
30.25743	0.864208	0.0003955379
30.31142	0.8639385	0.000812816
30.36541	0.864265	0.0005164203
30.41939	0.8637601	0.0003862062
30.47338	0.8643618	0.0009870999
30.52737	0.8641082	0.0009061967
30.58135	0.8638817	0.001119259
30.63534	0.8641782	0.000729976
30.68933	0.8640005	0.001027364
30.74332	0.863875	0.0005808337
30.7973	0.8632152	0.002313939
30.85129	0.8629026	0.001388814
30.90528	0.8627267	0.0005798927
30.95926	0.8628346	0.0007017954
31.01325	0.8635587	0.001384801
31.06724	0.8633058	0.0007475634
31.12123	0.8628328	0.0009077069
31.17521	0.8630475	0.001235804
31.2292	0.8629341	0.0006667778
31.28319	0.8620882	0.001417047
31.33717	0.8622603	0.001557559
31.39116	0.8626494	0.0008753329
31.44515	0.8628106	0.0005071669
31.49914	0.8621886	0.0006358002
31.55312	0.8616523	0.0006714915
31.60711	0.8625847	0.0006380109
31.6611	0.8629376	0.001139401
31.71508	0.8619821	0.000409122
31.76907	0.8615087	0.0004378186
31.82306	0.862043	0.001207307
31.87704	0.8622195	0.001250329
31.93103	0.8616091	0.0001605386
31.98502	0.8623276	0.0007327676
32.03901	0.8620664	0.0009929783
32.09299	0.862139	0.0004653852
32.14698	0.8621662	0.0007377462
32.20097	0.8616348	0.001517463
32.25496	0.8615187	0.001201768
32.30894	0.8613803	0.001659557
32.36293	0.8625033	0.0006382035
32.41692	0.8621325	0.000169502
32.47091	0.861052	0.0005565394
32.52489	0.8604224	0.0003054309
32.57888	0.8612163	0.0004928638
32.63287	0.860143	0.0007975387
32.68685	0.8612632	0.0006953869
32.74084	0.8606759	0.0001627838
32.79483	0.8617214	0.001293697
32.84881	0.8620602	0.001756424
32.9028	0.8605401	0.001180319
32.95679	0.8607454	0.0007562974
33.01078	0.8602622	0.0006653673
33.06476	0.8602977	0.001300824
33.11875	0.860244	0.0005326996
33.17274	0.8602411	0.0005132523
33.22672	0.8610731	0.0002466863
33.28071	0.8610345	0.0002726197
33.3347	0.8611914	9.476587E-05
33.38868	0.8608613	0.001194441
33.44267	0.8609043	0.0002511138
33.49666	0.8598775	0.001237338
33.55065	0.861209	0.0007319617
33.60463	0.860433	0.000414849
33.65862	0.8606139	0.0003314393
33.71261	0.8592896	0.0006548836
33.76659	0.8595137	0.000576132
33.82058	0.8598784	0.0008139375
33.87457	0.8598809	0.0006149907
33.92855	0.8597631	0.0008505016
33.98254	0.8601257	0.001489271
34.03653	0.8597006	0.0006707624
34.09052	0.8607956	0.0009020387
34.1445	0.8610215	0.0009262827
34.19849	0.8594299	0.0003820007
34.25248	0.8594362	0.0002360077
34.30647	0.8593595	0.001436077
34.36045	0.8590295	0.0009935221
34.41444	0.8597041	0.0006559946
34.46843	0.8589967	0.0003550389
34.52242	0.8584164	0.0002895787
34.5764	0.8590699	0.0005794954
34.63039	0.859188	0.001807003
34.68438	0.8586798	0.001734221
34.73836	0.8584979	0.0007345576
34.79235	0.8580724	0.0007482757
34.84634	0.8579409	0.0001510083
34.90033	0.8584046	0.0002088203
34.95431	0.8584502	0.001129322
35.0083	0.8583927	0.000504774
35.06229	0.8587173	0.001589482
35.11627	0.8584257	0.0005565718
35.17026	0.8580998	0.001753127
35.22425	0.8580966	0.001867855
35.27823	0.8585728	0.0008491866
35.33222	0.8582518	0.0005020081
35.38621	0.8579941	0.0005243628
35.4402	0.8582814	0.001367653
35.49418	0.8580344	0.001382428
35.54817	0.8575305	0.0006334002
35.60216	0.856931	0.0003710974
35.65614	0.8565565	0.0003407917
35.71013	0.8567111	0.0004874373
35.76412	0.8566173	0.0009506879
35.8181	0.8570347	0.0004078949
35.87209	0.8575457	0.0007626023
35.92608	0.857652	0.0006017223
35.98007	0.8568278	0.0008449613
36.03405	0.8566923	0.0002691651
36.08804	0.8566943	0.0005966874
36.14203	0.8571917	0.0008922848
36.19601	0.8574525	0.0005520413
36.25	0.8571518	0.0003929358
36.30399	0.8568847	0.0006258589
36.35798	0.8562947	0.001379667
36.41196	0.8560756	0.0008008269
36.46595	0.8558851	0.0002713485
36.51994	0.8569035	0.0006891722
36.57393	0.8561101	0.001803068
36.62791	0.8560945	0.001142508
36.6819	0.8564031	0.001551733
36.73589	0.8567172	0.00181622
36.78988	0.8559006	0.001120667
36.84386	0.8569799	0.000712637
36.89785	0.8563309	0.0003458667
36.95184	0.8562568	0.0007056942
37.00582	0.8560156	0.001455324
37.05981	0.8562338	0.0004818651
37.1138	0.8553492	0.0008298635
37.16778	0.8544409	0.0003509677
37.22177	0.8545188	0.001654442
37.27576	0.8563005	0.000255114
37.32975	0.8561272	0.001303829
37.38373	0.8552683	0.0007970145
37.43772	0.8550087	0.00137985
37.49171	0.8556346	0.001343969
37.54569	0.8558078	0.001341406
37.59968	0.8551821	0.001168814
37.65367	0.8553149	0.002231371
37.70765	0.8544026	0.0005510583
37.76164	0.8542409	0.001273357
37.81563	0.8558939	0.001564852
37.86962	0.8548788	0.0008116342
37.9236	0.8548707	0.001448907
37.97759	0.8547525	0.001269136
38.03158	0.8548517	0.0004647769
38.08556	0.8550949	0.0007309493
38.13955	0.8545898	0.001494631
38.19354	0.8550161	0.001234039
38.24752	0.8547667	0.00137559
38.30151	0.8545687	0.0008611566
38.3555	0.8539649	0.001499137
38.40949	0.8542979	0.0008356912
38.46347	0.853517	0.0005810608
38.51746	0.8536916	0.0005439587
38.57145	0.8528202	0.0004867739
38.62543	0.85294	0.0004529075
38.67942	0.8539966	0.001954524
38.73341	0.8536758	0.0007316741
38.7874	0.8533638	0.0005842162
38.84138	0.8542163	0.0006809974
38.89537	0.8531296	0.002208841
38.94936	0.8534766	0.001876832
39.00335	0.8534479	0.0006802542
39.05733	0.8527458	0.0004382777
39.11132	0.8525013	0.0002805634
39.16531	0.8528771	0.0002405043
39.2193	0.8527818	0.001120406
39.27328	0.8528615	0.001030717
39.32727	0.8540432	0.001785305
39.38126	0.8529228	0.001185803
39.43524	0.8527907	0.0007115786
39.48923	0.8531175	0.0007193197
39.54322	0.8523188	0.0002084847
39.5972	0.8529332	0.000581379
39.65119	0.8526593	0.0004067033
39.70518	0.852289	0.0004803375
39.75917	0.852966	0.0009831848
39.81315	0.8529047	0.0002196507
39.86714	0.8526193	0.001319377
39.92113	0.8514444	0.0007980443
39.97511	0.8502818	0.001328965
40.0291	0.8511837	0.00113364
40.08309	0.851815	0.001210507
40.13707	0.8516988	0.0007820872
40.19106	0.8525614	0.0003534365
40.24505	0.8516071	0.001280001
40.29904	0.8512712	0.001993751
40.35302	0.8521391	0.0008153851
40.40701	0.8511351	0.001570293
40.461	0.8513508	0.001089185
40.51498	0.8500566	0.00194433
40.56897	0.8508648	0.0001477697
40.62296	0.8505909	0.001371746
40.67694	0.8512125	0.0007913398
40.73093	0.8515556	0.0004282752
40.78492	0.8521625	0.0009307578
40.83891	0.8510832	0.0005551874
40.89289	0.8493106	0.001449143
40.94688	0.8489985	0.0006567287
41.00087	0.8495764	0.001038071
41.05486	0.8490984	0.0007477841
41.10884	0.8512709	0.001307361
41.16283	0.8501266	0.001688652
41.21682	0.8510972	0.0002233845
41.27081	0.8495814	0.001025801
41.32479	0.8500575	0.0003806917
41.37878	0.8495989	0.0006083333
41.43277	0.8491045	0.0005976754
41.48676	0.8485187	0.0007770481
41.54074	0.8502393	0.001221411
41.59473	0.8495252	0.001087854
41.64872	0.849998	0.001644122
41.7027	0.8492897	0.000866232
41.75669	0.8485394	0.001214129
41.81068	0.8486806	0.001304032
41.86466	0.8499165	0.002176225
41.91865	0.8504118	0.00195607
41.97264	0.8489284	0.0002687478
42.02663	0.8486773	0.001748478
42.08061	0.8487296	0.001184238
42.1346	0.8490831	0.0005853577
42.18859	0.8496094	0.0008492099
42.24257	0.8487051	0.0005962371
42.29656	0.8480315	0.0003711403
42.35055	0.8486341	0.0002861863
42.40453	0.8484944	0.001440483
42.45852	0.8489498	0.0003564461
42.51251	0.8484973	0.0005720167
42.5665	0.8477811	0.0002132756
42.62048	0.8479304	0.0005183284
42.67447	0.8472227	0.0006908725
42.72846	0.8477054	0.0004331179
42.78244	0.8473217	0.0005941629
42.83643	0.847341	0.0008733579
42.89042	0.8478806	0.0003149339
42.9444	0.8476047	0.0002875404
42.99839	0.8470381	0.0004126947
43.05238	0.8470955	0.001044565
43.10637	0.8477004	0.0005521155
43.16035	0.8470634	0.0005283539
43.21434	0.8458079	0.001108429
43.26833	0.8464418	0.001458202
43.32232	0.8464711	0.0002394486
43.3763	0.8451	0.00170242
43.43029	0.8458222	0.001171212
43.48428	0.8466899	0.0001702023
43.53827	0.8462691	0.0004743245
43.59225	0.8458987	0.0006446001
43.64624	0.8460447	0.0007690153
43.70023	0.8456313	0.001023776
43.75421	0.8454713	0.001628977
43.8082	0.8446557	0.001677645
43.86219	0.8444474	0.000103974
43.91618	0.844862	0.0005175571
43.97016	0.8457683	0.001276483
44.02415	0.8440514	0.0007129103
44.07814	0.8455688	0.0006636558
44.13212	0.8452216	0.001938418
44.18611	0.8449915	0.0006246917
44.2401	0.8450413	0.001628449
44.29408	0.8441035	0.0008869297
44.34807	0.8438332	0.000596488
44.40206	0.8438957	0.001282756
44.45605	0.8447157	0.00145059
44.51003	0.844122	0.0007009294
44.56402	0.8439541	0.00207028
44.61801	0.8439248	0.0003327302
44.67199	0.8439565	0.0008347943
44.72598	0.8439248	0.0007760496
44.77997	0.8440321	0.0002099403
44.83395	0.8453376	0.0009128154
44.88794	0.8444537	0.0007767359
44.94193	0.8443279	0.000727598
44.99592	0.8435144	0.0007042991
45.0499	0.84339	0.001382627
45.10389	0.8436008	0.0007995634
45.15788	0.8435182	0.001395078
45.21186	0.8430488	0.0006005543
45.26585	0.8430479	0.0003115877
45.31984	0.8429206	0.0005843336
45.37383	0.8426698	0.0004933318
45.42781	0.8428788	0.0005384315
45.4818	0.8426232	0.001830957
45.53579	0.8417838	0.001154569
45.58978	0.8431907	0.0006095431
45.64376	0.8426982	0.0005288443
45.69775	0.8431834	0.0001437029
45.75174	0.8424544	0.0009404007
45.80573	0.842809	0.001164697
45.85971	0.8422702	0.001124767
45.9137	0.8429252	0.001278967
45.96769	0.8419653	0.0005233695
46.02167	0.8409294	0.0005859369
46.07566	0.8412587	0.0008808204
46.12965	0.8423222	0.001953267
46.18363	0.8416273	0.000781565
46.23762	0.8410953	0.001432043
46.29161	0.8416364	0.001245262
46.3456	0.842159	0.00170477
46.39958	0.841623	0.001044046
46.45357	0.8421232	0.001378164
46.50756	0.8417338	0.001607464
46.56154	0.8413947	0.001810639
46.61553	0.8412497	0.00109505
46.66952	0.8412431	0.0007282058
46.7235	0.8404171	0.0002184157
46.77749	0.8408074	0.001162933
46.83148	0.841027	0.001201567
46.88547	0.8409776	0.0008021378
46.93945	0.840757	0.000867901
46.99344	0.8403252	0.0006005152
47.04743	0.8404611	0.0008032247
47.10141	0.8400687	0.0004902103
47.1554	0.8396202	0.0004340587
47.20939	0.8390723	0.0004830231
47.26337	0.8393785	0.001717246
47.31736	0.8405773	0.001688149
47.37135	0.8397238	0.001693242
47.42534	0.8388452	0.001289066
47.47932	0.8387712	0.001234594
47.53331	0.8381392	0.002507891
47.5873	0.8383068	0.001866161
47.64128	0.8380136	0.00125142
47.69527	0.8392544	0.0002928954
47.74926	0.8384424	0.0005612849
47.80325	0.8388981	0.00198563
47.85723	0.8385676	0.001202666
47.91122	0.8375084	0.0003397796
47.96521	0.8368911	0.0004194517
48.0192	0.8382146	0.0003564423
48.07318	0.8376263	0.001435042
48.12717	0.8377477	0.0003042278
48.18116	0.8378522	0.0003189818
48.23515	0.8372804	0.0009997452
48.28913	0.8379046	0.0007023586
48.34312	0.836367	0.0007635359
48.39711	0.8362076	0.001219565
48.45109	0.8374839	0.0007342863
48.50508	0.8371372	0.0008164686
48.55907	0.8368436	0.001230326
48.61305	0.8362563	0.00119998
48.66704	0.8358973	0.0003061325
48.72103	0.8361543	0.0008737816
48.77502	0.835759	0.001217641
48.829	0.836177	0.00150209
48.88299	0.8380272	0.0006032353
48.93698	0.8374149	0.001487178
48.99096	0.8370327	0.000206864
49.04495	0.8357798	0.0006241994
49.09894	0.83757	0.0008507748
49.15292	0.836239	0.0005777777
49.20691	0.8353602	0.001073348
49.2609	0.8358337	0.001357387
49.31489	0.8336119	0.00171365
49.36887	0.8350604	0.001006975
49.42286	0.8357393	0.001248729
49.47685	0.8359038	0.0004379743
49.53083	0.8361477	0.001027619
49.58482	0.8343103	0.000858117
49.63881	0.8348149	0.001372705
49.69279	0.8346493	0.001205379
49.74678	0.8350096	0.00140654
