T[°C]	Ratio 350nm / 330nm	S.D.
19.99978	0.8690897	
19.99986	0.8689856	
20.00295	0.8675501	
20.00566	0.8700924	
20.01815	0.8695061	
20.02411	0.8690395	
20.04461	0.8699591	
20.05235	0.8685929	
20.07914	0.8659564	
20.08901	0.8688098	
20.12158	0.8688688	
20.13375	0.8698273	
20.17161	0.8692157	
20.18501	0.8691206	
20.22999	0.8701797	
20.24604	0.869481	
20.295	0.8708881	
20.31399	0.8699824	
20.36914	0.870088	
20.3886	0.8689696	
20.44917	0.8686942	
20.47051	0.8695111	
20.53326	0.8692915	
20.55449	0.8691272	
20.62494	0.8699457	
20.64922	0.8692521	
20.72136	0.8687764	
20.74633	0.8694609	
20.82056	0.8679292	
20.84539	0.867759	
20.92364	0.8700221	
20.95063	0.8692384	
21.03064	0.868938	
21.05717	0.8689017	
21.1386	0.871715	
21.16632	0.8678642	
21.24798	0.870281	
21.27485	0.8687098	
21.35686	0.8677408	
21.38489	0.8684778	
21.46905	0.8682186	
21.49671	0.8681443	
21.57894	0.8685057	
21.60567	0.8684115	
21.68638	0.8703584	
21.71425	0.8683343	
21.79584	0.8668584	
21.823	0.8696673	
21.90594	0.8686739	
21.93288	0.8686103	
22.01566	0.867369	
22.04335	0.8680152	
22.12396	0.8693443	
22.15282	0.8681685	
22.23297	0.8684516	
22.26089	0.8679978	
22.34203	0.8699777	
22.36971	0.8672017	
22.45344	0.8670144	
22.48088	0.868928	
22.56298	0.8690098	
22.59001	0.8689432	
22.67124	0.8672979	
22.69879	0.8677379	
22.78181	0.8692825	
22.80957	0.8687577	
22.88993	0.8688368	
22.91721	0.8683727	
23.00105	0.8684247	
23.02952	0.8692935	
23.11042	0.8687342	
23.13766	0.8679206	
23.2182	0.8700777	
23.24529	0.8685642	
23.32832	0.8691713	
23.35555	0.867466	
23.43808	0.8669791	
23.46575	0.8689871	
23.54914	0.8697408	
23.57635	0.8681844	
23.65623	0.8697559	
23.6836	0.8689526	
23.76737	0.8674724	
23.7944	0.8681405	
23.87498	0.8678805	
23.90204	0.8676293	
23.98369	0.8671327	
24.01177	0.8664984	
24.09526	0.8680364	
24.12242	0.8675275	
24.20334	0.8701659	
24.23053	0.8686095	
24.31381	0.8688667	
24.34093	0.8679019	
24.424	0.8673875	
24.45142	0.8692524	
24.53325	0.8668312	
24.56008	0.8675519	
24.64222	0.8698829	
24.6702	0.866075	
24.75154	0.8670266	
24.77987	0.8691594	
24.86197	0.8684256	
24.88884	0.8661327	
24.97105	0.8689098	
24.99855	0.8672376	
25.07993	0.8656213	
25.1078	0.8658431	
25.19145	0.868939	
25.21842	0.8660706	
25.29833	0.8649663	
25.32671	0.8680187	
25.40904	0.8646371	
25.43699	0.8659889	
25.52038	0.8674932	
25.54795	0.8685596	
25.62841	0.8675889	
25.65528	0.8676438	
25.73733	0.8670997	
25.76493	0.8658555	
25.84729	0.8654208	
25.87541	0.8667237	
25.95632	0.8688893	
25.98343	0.8653483	
26.06605	0.8677046	
26.09373	0.8649955	
26.17472	0.8659024	
26.20218	0.8654091	
26.28474	0.8668998	
26.31286	0.8668801	
26.39494	0.8668896	
26.42131	0.8642724	
26.50439	0.8675957	
26.53159	0.8659973	
26.61462	0.8671041	
26.64171	0.8667091	
26.72249	0.8659806	
26.74911	0.8657789	
26.83038	0.8661611	
26.85858	0.8659807	
26.9436	0.8678935	
26.9709	0.8662756	
27.05092	0.868105	
27.0785	0.8634334	
27.15991	0.8670985	
27.18721	0.8673103	
27.27193	0.8671961	
27.29944	0.8674929	
27.37864	0.8663511	
27.40856	0.8657846	
27.48926	0.8650826	
27.51691	0.8670678	
27.59894	0.8653561	
27.62666	0.8665178	
27.70877	0.8654996	
27.73666	0.8642297	
27.81753	0.8667447	
27.84504	0.8680652	
27.92852	0.8656024	
27.95584	0.8657715	
28.03701	0.8667375	
28.06427	0.8643304	
28.14933	0.8646691	
28.17728	0.8624601	
28.25785	0.8652278	
28.28419	0.8660497	
28.36506	0.8642796	
28.39281	0.8637561	
28.47601	0.8659352	
28.5036	0.864392	
28.58493	0.8651528	
28.61171	0.8643178	
28.69399	0.8662032	
28.72136	0.863439	
28.8039	0.864094	
28.83092	0.8630667	
28.9122	0.8641379	
28.93968	0.8655022	
29.022	0.8636884	
29.04991	0.8635799	
29.13293	0.863749	
29.15973	0.8655685	
29.24077	0.8641987	
29.26845	0.8630173	
29.35001	0.8624744	
29.37755	0.8655545	
29.46022	0.8646587	
29.48741	0.8641675	
29.56963	0.8643277	
29.59732	0.8653014	
29.67931	0.863012	
29.70644	0.8628593	
29.78718	0.8639016	
29.81458	0.8640268	
29.89708	0.861622	
29.92436	0.8637123	
30.00732	0.8666683	
30.03439	0.8635682	
30.11577	0.8640261	
30.14274	0.8638898	
30.2258	0.8633973	
30.2533	0.8646706	
30.33473	0.8628083	
30.36192	0.8637981	
30.44375	0.8635226	
30.47151	0.8632202	
30.55391	0.8633008	
30.58136	0.8649867	
30.66383	0.8640008	
30.69137	0.863936	
30.77349	0.8642921	
30.8009	0.8601807	
30.88285	0.8626847	
30.9102	0.8633044	
30.99346	0.8622238	
31.02088	0.8630433	
31.10101	0.8627165	
31.12881	0.8617288	
31.21112	0.8617745	
31.23833	0.8626075	
31.32032	0.8587304	
31.34736	0.8615608	
31.42956	0.8617285	
31.45659	0.8635322	
31.5385	0.8604011	
31.56525	0.8613409	
31.6487	0.8624513	
31.67633	0.862505	
31.75825	0.8613944	
31.78592	0.8604037	
31.86823	0.8618005	
31.89547	0.8608378	
31.97808	0.8623406	
32.0051	0.8619077	
32.08588	0.8624272	
32.11387	0.8623761	
32.19671	0.8597469	
32.22365	0.8608148	
32.30587	0.8590754	
32.33295	0.8626949	
32.41509	0.8622518	
32.44332	0.861626	
32.52429	0.8606398	
32.5518	0.8608237	
32.63408	0.8602967	
32.66106	0.8620154	
