T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
19.99978	96.46177		-0.2338148	
20.05377	96.45997		-0.2296958	
20.10776	96.45804		-0.2255667	
20.16174	96.45605		-0.2214287	
20.21573	96.45413		-0.2172833	
20.26972	96.4524		-0.2131323	
20.32371	96.45099		-0.2089775	
20.37769	96.44998		-0.2048214	
20.43168	96.44948		-0.2006666	
20.48567	96.44948		-0.1965158	
20.53965	96.44991		-0.192372	
20.59364	96.45061		-0.1882387	
20.64763	96.4513		-0.1841195	
20.70162	96.45152		-0.1800182	
20.7556	96.45029		-0.1759388	
20.80959	96.44569		-0.1718858	
20.86358	96.43994		-0.1678636	
20.91757	96.43158		-0.163877	
20.97155	96.42099		-0.1599309	
21.02554	96.40827		-0.1560303	
21.07953	96.39384		-0.15218	
21.13352	96.37798		-0.1483848	
21.1875	96.36085		-0.1446489	
21.24149	96.34211		-0.1409766	
21.29548	96.32137		-0.1373718	
21.34946	96.29883		-0.1338376	
21.40345	96.27518		-0.1303774	
21.45744	96.25098		-0.1269938	
21.51143	96.22692		-0.1236893	
21.56541	96.20349		-0.1204656	
21.6194	96.18131		-0.1173239	
21.67339	96.16034		-0.1142647	
21.72738	96.14108		-0.1112876	
21.78136	96.1244		-0.1083911	
21.83535	96.11116		-0.1055725	
21.88934	96.10207		-0.1028277	
21.94333	96.0972		-0.1001508	
21.99731	96.09611		-0.09753364	
22.0513	96.0983		-0.09496535	
22.10529	96.10306		-0.09243187	
22.15928	96.10962		-0.08991482	
22.21326	96.11707		-0.08739114	
22.26725	96.12514		-0.08483173	
22.32124	96.13363		-0.0822007	
22.37523	96.14234		-0.07945473	
22.42921	96.15136		-0.07654368	
22.4832	96.16114		-0.07341367	
22.53719	96.172		-0.07001439	
22.59118	96.1842		-0.0663108	
22.64516	96.1972		-0.06583563	
22.69915	96.21037		-0.06553455	
22.75314	96.22323		-0.06542597	
22.80713	96.23568		-0.06552934	
22.86111	96.2478		-0.06586277	
22.9151	96.25925		-0.06644124	
22.96909	96.26971		-0.06727576	
23.02307	96.27881		-0.06837393	
23.07706	96.28584		-0.0697396	
23.13105	96.29066		-0.07137323	
23.18504	96.2931		-0.07327174	
23.23902	96.29369		-0.07542744	
23.29301	96.29294		-0.07782845	
23.347	96.29092		-0.08045819	
23.40099	96.28737		-0.083295	
23.45497	96.28184		-0.08631254	
23.50896	96.27427		-0.08947974	
23.56295	96.26462		-0.09276088	
23.61694	96.25317		-0.09611716	
23.67092	96.24048		-0.09950772	
23.72491	96.22756		-0.1028903	
23.7789	96.21567		-0.1062222	
23.83288	96.20592		-0.1094612	
23.88687	96.19863		-0.1125653	
23.94086	96.19322		-0.1154926	
23.99485	96.18888		-0.1182011	
24.04883	96.18472		-0.1206486	
24.10282	96.17995		-0.1227934	
24.15681	96.17429		-0.1245952	
24.2108	96.16739		-0.1260155	
24.26478	96.15865		-0.12702	
24.31877	96.1475		-0.1275793	
24.37276	96.13345		-0.1276698	
24.42675	96.11643		-0.1272739	
24.48073	96.09697		-0.1263812	
24.53472	96.07603		-0.1249894	
24.58871	96.0547		-0.1231049	
24.64269	96.0337		-0.1207424	
24.69668	96.0132		-0.1179249	
24.75067	95.99324		-0.1146828	
24.80466	95.97385		-0.1110531	
24.85864	95.95464		-0.1070781	
24.91263	95.93525		-0.102804	
24.96662	95.9155		-0.09827895	
25.02061	95.89548		-0.09355183	
25.07459	95.87579		-0.08867043	
25.12858	95.85723		-0.08368	
25.18257	95.83997		-0.07862195	
25.23656	95.82382		-0.07353293	
25.29054	95.80824		-0.06844438	
25.34453	95.79243		-0.06338223	
25.39852	95.7762		-0.05836718	
25.45251	95.7606		-0.05341574	
25.50649	95.7469		-0.04854036	
25.56048	95.73605		-0.04375166	
25.61447	95.72824		-0.03905874	
25.66846	95.72324		-0.03447073	
25.72244	95.72041		-0.02999781	
25.77643	95.71976		-0.02565131	
25.83042	95.72178		-0.02144342	
25.88441	95.72694		-0.01738627	
25.93839	95.73605		-0.01349206	
25.99238	95.74983		-0.009772907	
26.04637	95.76807		-0.006240401	
26.10036	95.78997		-0.002905142	
26.15434	95.81467		0.0002226989	
26.20833	95.84136		0.003132017	
26.26232	95.86935		0.005810132	
26.3163	95.8978		0.008243458	
26.37029	95.92558		0.0104186	
26.42428	95.95186		0.01232453	
26.47827	95.97597		0.01395269	
26.53225	95.99733		0.01529633	
26.58624	96.01575		0.0163497	
26.64023	96.03094		0.01710653	
26.69422	96.0431		0.0175593	
26.7482	96.05303		0.01769906	
26.80219	96.06121		0.01751609	
26.85618	96.06808		0.01700094	
26.91017	96.07429		0.01614545	
26.96415	96.08009		0.01494398	
27.01814	96.08525		0.01339453	
27.07213	96.08919		0.01150012	
27.12611	96.09109		0.009269902	
27.1801	96.09077		0.006719747	
27.23409	96.08846		0.003872871	
27.28808	96.08503		0.0007586103	
27.34206	96.08138		-0.002588573	
27.39605	96.0779		-0.006129029	
27.45004	96.07471		-0.009818719	
27.50403	96.07109		-0.01360976	
27.55801	96.06615		-0.01745088	
27.612	96.05949		-0.02128856	
27.66599	96.05067		-0.02506795	
27.71998	96.03983		-0.02873457	
27.77396	96.02749		-0.03223641	
27.82795	96.0144		-0.03552708	
27.88194	96.00149		-0.03856818	
27.93592	95.98952		-0.04133083	
27.98991	95.97881		-0.04379583	
28.0439	95.96918		-0.04595041	
28.09789	95.96066		-0.04778625	
28.15187	95.95303		-0.0492979	
28.20586	95.94576		-0.05048303	
28.25985	95.93806		-0.05134237	
28.31384	95.92912		-0.0518805	
28.36782	95.91858		-0.05210604	
28.42181	95.90664		-0.05203061	
28.4758	95.89336		-0.05166839	
28.52979	95.87881		-0.05103524	
28.58377	95.86316		-0.05014798	
28.63776	95.84696		-0.04902531	
28.69175	95.83092		-0.04768843	
28.74574	95.81534		-0.04616128	
28.79972	95.80004		-0.04447014	
28.85371	95.78468		-0.04264282	
28.9077	95.769		-0.04070831	
28.96169	95.75351		-0.03869623	
29.01567	95.7389		-0.03663613	
29.06966	95.72629		-0.03455609	
29.12365	95.71671		-0.0324819	
29.17764	95.71111		-0.03043652	
29.23162	95.70979		-0.02843904	
29.28561	95.71221		-0.02650411	
29.3396	95.71739		-0.0246411	
29.39359	95.72426		-0.02285453	
29.44757	95.73183		-0.02114541	
29.50156	95.73967		-0.0195126	
29.55555	95.74781		-0.01795329	
29.60953	95.75679		-0.01646424	
29.66352	95.7671		-0.01504316	
29.71751	95.77926		-0.01368919	
29.7715	95.79359		-0.01240428	
29.82548	95.8101		-0.01119283	
29.87947	95.82836		-0.01006468	
29.93346	95.84778		-0.009033538	
29.98745	95.86757		-0.008119077	
30.04143	95.8872		-0.007344844	
30.09542	95.90601		-0.006736999	
30.14941	95.92352		-0.006322969	
30.2034	95.93948		-0.006129976	
30.25738	95.95381		-0.006184249	
30.31137	95.96675		-0.006510859	
30.36536	95.97868		-0.007133278	
30.41934	95.98937		-0.008072262	
30.47333	95.99821		-0.009345135	
30.52732	96.00424		-0.0109642	
30.58131	96.00674		-0.01293748	
30.63529	96.00547		-0.01526637	
30.68928	96.0008		-0.01794661	
30.74327	95.99313		-0.02096681	
30.79726	95.98297		-0.02431095	
30.85124	95.9707		-0.02795848	
30.90523	95.95678		-0.03188537	
30.95922	95.9418		-0.03606451	
31.01321	95.92677		-0.04046493	
31.06719	95.9127		-0.04505214	
31.12118	95.90048		-0.04978815	
31.17517	95.89043		-0.05463123	
31.22916	95.88214		-0.05953525	
31.28314	95.87508		-0.06444891	
31.33713	95.8687		-0.06931719	
31.39112	95.86278		-0.0740815	
31.4451	95.85727		-0.07868293	
31.49909	95.85204		-0.08306338	
31.55308	95.84691		-0.0871681	
31.60707	95.84197		-0.09094456	
31.66105	95.83724		-0.09434442	
31.71504	95.83243		-0.09732343	
31.76903	95.82715		-0.09984138	
31.82302	95.82119		-0.1018636	
31.877	95.8144		-0.1033628	
31.93099	95.80665		-0.1043215	
31.98498	95.79787		-0.1047337	
32.03897	95.7879		-0.1046053	
32.09295	95.77676		-0.1039537	
32.14694	95.76488		-0.1028076	
32.20093	95.75243		-0.1012042	
32.25492	95.73959		-0.09918858	
32.3089	95.72681		-0.09681159	
32.36289	95.71477		-0.09412738	
32.41688	95.70364		-0.09119307	
32.47087	95.69299		-0.08806568	
32.52485	95.68229		-0.08480377	
32.57884	95.67081		-0.08146335	
32.63283	95.65797		-0.07809898	
32.68681	95.64368		-0.07476225	
32.7408	95.62817		-0.07150014	
32.79479	95.612		-0.06835493	
32.84878	95.59576		-0.06536193	
32.90276	95.58014		-0.06255079	
32.95675	95.56577		-0.05994316	
33.01074	95.55334		-0.05755555	
33.06473	95.54308		-0.05539869	
33.11871	95.53484		-0.05348066	
33.1727	95.52843		-0.05180699	
33.22669	95.52428		-0.05038179	
33.28068	95.52309		-0.04920638	
33.33466	95.52512		-0.04827984	
33.38865	95.52998		-0.04759915	
33.44264	95.53714		-0.0471581	
33.49662	95.54604		-0.04694901	
33.55061	95.55649		-0.04696091	
33.6046	95.56845		-0.04718097	
33.65859	95.58176		-0.04759282	
33.71257	95.59607		-0.04817832	
33.76656	95.61097		-0.04891704	
33.82055	95.62582		-0.04978887	
33.87454	95.64011		-0.05077306	
33.92852	95.65351		-0.05185015	
33.98251	95.66649		-0.05300262	
34.0365	95.67941		-0.05421481	
34.09049	95.69212		-0.05547424	
34.14447	95.70456		-0.05677045	
34.19846	95.71648		-0.05809584	
34.25245	95.72705		-0.05944374	
34.30643	95.73592		-0.06081017	
34.36042	95.74312		-0.06219318	
34.41441	95.74889		-0.06359261	
34.4684	95.75339		-0.06500866	
34.52238	95.75648		-0.06644155	
34.57637	95.75782		-0.06789068	
