T[°C]	Scattering [mAU]	S.D.
19.99978	96.69174	
19.99986	96.81393	
20.00295	96.92844	
20.00566	96.68769	
20.01815	96.60605	
20.02411	96.25661	
20.04461	96.76777	
20.05235	95.84258	
20.07914	96.74477	
20.08901	96.13879	
20.12158	96.43761	
20.13375	96.67629	
20.17161	96.57152	
20.18501	96.4528	
20.22999	96.54975	
20.24604	96.43269	
20.295	96.76321	
20.31399	96.47502	
20.36914	97.12471	
20.3886	96.25269	
20.44917	96.9118	
20.47051	96.73209	
20.53326	96.10629	
20.55449	96.32113	
20.62494	96.2049	
20.64922	96.29409	
20.72136	96.30271	
20.74633	96.26124	
20.82056	96.70834	
20.84539	96.28195	
20.92364	96.26983	
20.95063	96.28841	
21.03064	96.57114	
21.05717	96.41295	
21.1386	96.73911	
21.16632	96.33774	
21.24798	96.59964	
21.27485	96.20281	
21.35686	96.86742	
21.38489	96.283	
21.46905	96.19023	
21.49671	96.32473	
21.57894	95.99761	
21.60567	95.69872	
21.68638	96.20046	
21.71425	95.71613	
21.79584	96.13354	
21.823	95.90707	
21.90594	96.09016	
21.93288	96.07403	
22.01566	95.86577	
22.04335	96.18701	
22.12396	96.08532	
22.15282	95.93724	
22.23297	96.65293	
22.26089	95.87118	
22.34203	96.91881	
22.36971	95.86253	
22.45344	96.2502	
22.48088	96.27257	
22.56298	96.11816	
22.59001	96.46844	
22.67124	95.71851	
22.69879	96.09967	
22.78181	95.90756	
22.80957	96.05203	
22.88993	96.21305	
22.91721	96.20714	
23.00105	96.36833	
23.02952	96.28303	
23.11042	96.36702	
23.13766	96.43449	
23.2182	96.53315	
23.24529	96.54729	
23.32832	96.65719	
23.35555	95.91171	
23.43808	96.86254	
23.46575	96.011	
23.54914	96.84997	
23.57635	95.93822	
23.65623	96.15215	
23.6836	96.15755	
23.76737	95.84074	
23.7944	96.12299	
23.87498	96.14773	
23.90204	95.97674	
23.98369	96.33121	
24.01177	96.17818	
24.09526	96.35387	
24.12242	96.03525	
24.20334	96.31427	
24.23053	95.85581	
24.31381	96.24023	
24.34093	96.02762	
24.424	96.47082	
24.45142	96.40287	
24.53325	96.55117	
24.56008	96.12238	
24.64222	95.74927	
24.6702	95.94308	
24.75154	95.85837	
24.77987	95.72906	
24.86197	96.13677	
24.88884	95.52145	
24.97105	95.74941	
24.99855	95.80775	
25.07993	95.76908	
25.1078	95.76208	
25.19145	95.79892	
25.21842	96.04932	
25.29833	96.03293	
25.32671	96.01481	
25.40904	95.79913	
25.43699	95.7065	
25.52038	96.09558	
25.54795	95.66138	
