T[°C]	330nm [counts / mm]	S.D.
19.99983	7944.992	
19.9999	7961.387	
20.00316	7954.897	
20.00546	7936.709	
20.01859	7962.045	
20.02365	7953.932	
20.0452	7959.464	
20.05174	7971.352	
20.0799	7954.302	
20.08828	7946.152	
20.12251	7951.637	
20.13281	7919.321	
20.1726	7911.788	
20.18394	7926.324	
20.23122	7919.421	
20.24482	7913.021	
20.29627	7908.725	
20.3126	7900.607	
20.37058	7888.696	
20.38704	7888.998	
20.4507	7881.961	
20.46879	7874.454	
20.53478	7893.051	
20.55272	7863.863	
20.62677	7887.517	
20.64731	7858.714	
20.72315	7877.065	
20.74436	7885.491	
20.82239	7857.275	
20.84341	7853.861	
20.92566	7844.347	
20.9485	7824.915	
21.03259	7841.33	
21.05505	7818.97	
21.14065	7823.291	
21.16424	7824.415	
21.25003	7804.585	
21.27277	7812.123	
21.35899	7800.396	
21.38275	7790.16	
21.47118	7794.803	
21.49459	7785.085	
21.58103	7776.801	
21.60364	7776.092	
21.68849	7772.868	
21.71212	7760.693	
21.7979	7747.379	
21.82088	7738.267	
21.90804	7729.026	
21.9308	7721.219	
22.01782	7723.242	
22.04121	7703.046	
22.1259	7709.543	
22.15083	7685.614	
22.2351	7695.933	
22.25876	7677.652	
22.34403	7682.866	
22.36755	7672.053	
22.45558	7667.57	
22.47876	7662.922	
22.56503	7663.527	
22.58799	7642.498	
22.67339	7643.758	
22.69674	7632.108	
22.78401	7650.314	
22.8075	7611.177	
22.89198	7621.513	
22.9151	7609.548	
23.00323	7614.207	
23.02754	7620.146	
23.11257	7594.664	
23.13561	7580.49	
23.22029	7586.402	
23.2432	7587.175	
23.33041	7566.486	
23.35346	7561.027	
23.4402	7559.708	
23.46362	7559.633	
23.55128	7554.537	
23.57434	7542.284	
23.65831	7545.43	
23.68148	7526.144	
23.76953	7538.615	
23.79236	7526.648	
23.87708	7508.118	
23.89998	7515.821	
23.98582	7484.085	
24.00959	7503.344	
24.09733	7493.541	
24.12031	7475.557	
24.20537	7483.495	
24.22838	7482.943	
24.31593	7475.593	
24.33884	7465.734	
24.42617	7457.059	
24.44933	7455.391	
24.53533	7450.411	
24.55807	7441.713	
24.64441	7435.911	
24.66812	7425.237	
24.75364	7435.581	
24.77775	7417.356	
24.86404	7423.753	
24.88678	7412.4	
24.97322	7406.574	
24.99652	7392.542	
25.08208	7388.049	
25.10566	7379.109	
25.19358	7374.176	
25.21636	7368.363	
25.30037	7365.512	
25.32462	7378.025	
25.41117	7352.106	
25.4349	7359.613	
25.52256	7341.374	
25.54593	7336.128	
25.63051	7341.577	
25.65329	7337.928	
25.73952	7312.328	
25.76288	7316.858	
25.8494	7306.584	
25.87329	7316.136	
25.95835	7299.875	
25.98133	7296.308	
26.06819	7279.409	
26.09165	7270.178	
26.17678	7274.08	
26.20002	7254.116	
26.2868	7269.266	
26.31065	7247.778	
26.39693	7255.453	
26.41924	7238.496	
26.5064	7239.134	
26.52946	7230.152	
26.61675	7227.205	
26.63963	7229.367	
26.72456	7208.949	
26.74704	7216.356	
26.83249	7198.965	
26.8564	7197.394	
26.9458	7202.798	
26.96897	7176.745	
27.05309	7183.323	
27.07639	7172.582	
27.16199	7160.472	
27.18508	7173.986	
27.27415	7155.146	
27.29742	7152.19	
27.38068	7146.543	
27.40662	7138.499	
27.49146	7123.688	
27.51485	7130.511	
27.6011	7109.727	
27.62455	7128.226	
27.71089	7101.803	
27.73453	7093.912	
27.81955	7095.609	
27.84283	7089.738	
27.93056	7104.083	
27.95373	7104.186	
28.03907	7080.96	
28.06218	7077.611	
28.15152	7064.856	
28.17517	7073.977	
28.25987	7057.255	
28.28215	7055.354	
28.36717	7058.375	
28.3907	7030.168	
28.47816	7028.829	
28.50151	7034.846	
28.58701	7025.014	
28.60963	7029.445	
28.69611	7009.275	
28.71927	7013.979	
28.80605	7011.581	
28.82887	6996.776	
28.91431	7014.016	
28.93753	7008.122	
29.02408	7001.458	
29.04775	6998.216	
29.13502	6951.995	
29.15774	6965.941	
29.24293	6958.069	
29.26635	6951.9	
29.35209	6942.236	
29.3754	6958.541	
29.46232	6928.116	
29.48537	6945.117	
29.57179	6915.635	
29.59523	6934.438	
29.6814	6910.196	
29.70435	6905.084	
29.78924	6900.119	
29.81239	6914.774	
29.89912	6897.167	
29.92221	6893.97	
30.00941	6879.988	
30.03231	6884.438	
30.11783	6883.409	
30.14067	6871.613	
30.22798	6846.749	
30.25125	6866.385	
30.33682	6842.072	
30.35983	6847.936	
30.44585	6840.987	
30.46934	6829.444	
30.55597	6812.548	
30.57924	6829.171	
30.66593	6817.385	
30.68924	6811.691	
30.77555	6799.746	
30.79875	6799.983	
30.88488	6791.204	
30.90802	6801.062	
30.99552	6797.593	
31.01894	6772.934	
31.10313	6772.545	
31.12666	6781.868	
31.21317	6750.772	
31.2362	6755.067	
31.3224	6748.438	
31.34524	6744.337	
31.43165	6735.187	
31.45448	6727.844	
31.54056	6735.844	
31.56316	6730.802	
31.65088	6718.94	
31.67421	6733.622	
31.76033	6709.582	
31.78379	6715.556	
31.87032	6697.232	
31.89345	6717.092	
31.9802	6682.435	
32.00306	6701.399	
32.0879	6680.81	
32.11177	6668.982	
32.19885	6676.979	
32.22164	6671.13	
32.30797	6646.973	
32.33088	6650.34	
32.41724	6646.464	
32.44125	6651.86	
32.52636	6651.745	
32.54964	6625.908	
32.63614	6646.731	
32.65897	6635.689	
32.74508	6625.75	
32.76823	6624.18	
32.85529	6604.671	
32.87938	6613.625	
32.96538	6586.898	
32.98944	6591.257	
33.07376	6584.575	
33.09659	6587.01	
33.18333	6575.367	
33.20721	6572.23	
33.29441	6555.318	
33.31745	6570.945	
33.40229	6544.849	
33.42514	6549.023	
33.51202	6540.066	
33.53492	6538.875	
33.62197	6531.383	
33.64524	6513.815	
33.73152	6521.739	
33.75453	6519.374	
33.83894	6507.802	
33.8623	6510.873	
33.9505	6497.397	
33.97622	6497.913	
34.06027	6492.152	
34.08318	6476.501	
34.16745	6470.911	
34.1909	6476.181	
34.27768	6476.239	
34.30186	6470.664	
34.38954	6452.98	
34.41228	6459.851	
34.4971	6448.729	
34.52024	6455.497	
34.60605	6433.031	
34.62941	6417.855	
34.71427	6417.78	
34.74	6431.742	
34.82642	6407.9	
34.8494	6412.789	
34.93448	6383.643	
34.95786	6403.771	
35.04296	6384.264	
35.06567	6386.965	
35.15232	6389.565	
35.17621	6361.254	
35.2628	6365.797	
35.28553	6357.085	
35.37149	6359.71	
35.39503	6374.491	
35.48263	6355.65	
35.50597	6360.348	
35.59191	6330.035	
35.61459	6348.352	
35.70055	6332.846	
35.7238	6342.847	
35.80956	6323.692	
35.83254	6332.126	
35.92057	6314.94	
35.94408	6317.627	
36.02814	6293.655	
36.05193	6298.564	
36.13786	6300.317	
36.16127	6295.455	
36.24916	6294.961	
36.27252	6304.018	
36.35638	6275.777	
36.37922	6273.896	
36.46697	6272.305	
36.49005	6264.65	
36.5768	6247.557	
36.60005	6247.61	
36.68636	6239.349	
36.70922	6229.567	
36.79538	6223.786	
36.81836	6244.422	
36.90484	6217.491	
36.92797	6200.32	
37.01467	6208.286	
37.03706	6208.517	
37.1235	6205.442	
37.14716	6201.709	
37.2349	6188.483	
37.25855	6195.964	
37.34254	6171.01	
37.36558	6183.187	
37.45181	6155.615	
37.47489	6173.993	
37.5612	6155.351	
37.58408	6160.669	
37.67173	6134.551	
37.69709	6164.868	
37.7812	6133.729	
37.80479	6149.064	
37.89128	6130.927	
37.91399	6135.077	
37.99933	6121.211	
38.0228	6119.396	
38.10871	6097.237	
38.13205	6106.745	
38.21812	6077.713	
38.24178	6110.294	
38.32802	6073.167	
38.35097	6097.8	
38.43675	6058.03	
38.4601	6078.442	
38.54657	6066.815	
38.57	6069.454	
38.65591	6062.362	
38.67954	6050.372	
38.76552	6060.82	
38.78876	6058.236	
38.8741	6028.152	
38.89736	6046.766	
38.98432	6018.971	
39.00726	6044.42	
39.09412	6024.082	
39.11836	6013.433	
39.20228	6009.932	
39.22502	6005.635	
39.31181	5981.853	
39.33516	6003.942	
39.42322	5992.292	
39.44674	6002.656	
39.53268	5979.56	
39.55664	5978.507	
39.64061	5979.585	
39.66321	5970.491	
39.75279	5975.726	
39.77585	5975.124	
39.86056	5965.32	
39.88411	5960.706	
39.96909	5955.869	
39.99226	5967.25	
40.08365	5930.023	
40.10811	5944.784	
40.1916	5912.157	
40.21458	5916.43	
40.30132	5896.123	
40.32439	5909.571	
40.41217	5899.055	
40.43555	5914.639	
40.51984	5886.565	
40.5429	5907.187	
40.63024	5884.138	
40.65332	5871.789	
40.74055	5865.364	
40.76356	5859.302	
40.85001	5862.617	
40.87349	5878.513	
40.9593	5864.213	
40.98314	5857.42	
41.07014	5841.243	
41.09345	5845.713	
41.17644	5826.245	
41.20139	5835.791	
41.28659	5826.674	
41.31047	5824.934	
41.39667	5812.447	
41.41983	5824.959	
41.50509	5803.375	
41.52799	5807.917	
41.61461	5794.243	
41.63916	5798.485	
41.72419	5787.476	
41.74797	5794.445	
41.83573	5779.559	
41.85875	5775.37	
41.94341	5774.707	
41.96737	5785.591	
42.05358	5755.817	
42.07666	5769.665	
42.16243	5741.479	
42.18732	5750.365	
42.27365	5730.115	
42.29631	5738.17	
42.38302	5723.775	
42.40574	5723.082	
42.49195	5707	
42.51551	5714.238	
42.60237	5702.965	
42.62557	5707.541	
42.71034	5716.335	
42.73359	5715.072	
42.8198	5683.628	
42.84542	5705.01	
42.93	5688.675	
42.95348	5685.773	
43.03952	5682.792	
43.06276	5676.986	
43.14801	5658.529	
43.17112	5679.627	
43.2582	5657.835	
43.28105	5665.776	
43.36741	5652.885	
43.39044	5646.297	
43.47635	5634.189	
43.4993	5641.972	
43.58663	5627.332	
43.61007	5628.612	
43.6967	5628.542	
43.71959	5625.887	
43.80505	5607.897	
43.82798	5631.427	
43.91381	5601.176	
43.93695	5613.367	
44.02464	5594.455	
44.04834	5589.263	
44.13354	5574.886	
44.15663	5593.889	
44.24168	5558.285	
44.26463	5585.489	
44.35194	5561.975	
44.37519	5567.085	
44.46172	5547.421	
44.48497	5543.74	
44.57283	5529.523	
44.59536	5557.396	
44.67879	5519.542	
44.70252	5535.672	
44.79069	5525.202	
44.81413	5528.263	
44.90058	5507.168	
44.92418	5528.534	
45.00792	5501.222	
45.03094	5521.069	
45.11649	5493.267	
45.13951	5510.729	
45.22619	5499.235	
45.24917	5510.094	
45.33628	5473.876	
45.35967	5500.067	
45.44596	5475.907	
45.46933	5484.101	
45.55529	5463.057	
45.57852	5456.624	
45.66483	5446.813	
45.68798	5448.26	
45.77353	5430.274	
45.7981	5448.055	
45.88502	5425.354	
45.90823	5455.723	
45.99479	5416.495	
46.01816	5428.158	
46.10442	5405.802	
46.12753	5395.41	
46.21214	5410.715	
46.2353	5414.338	
46.32146	5391.295	
46.34442	5402.173	
46.43134	5395.812	
46.45483	5399.983	
46.54098	5386.808	
46.56395	5387.956	
46.65023	5366.277	
46.67351	5378.625	
46.76088	5356.81	
46.78725	5369.961	
46.86942	5349.558	
46.8923	5358.432	
46.97963	5343.163	
47.0034	5352.62	
47.08893	5330.443	
47.11226	5342.595	
47.19902	5329.262	
47.22158	5351.122	
47.3068	5317.098	
47.33127	5325.561	
47.41862	5319.554	
47.44145	5323.253	
47.52625	5311.726	
47.54962	5305.467	
47.63616	5292.157	
47.6593	5307.68	
47.74451	5284.331	
47.76879	5292.91	
47.85532	5271.306	
47.87865	5288.012	
47.96605	5266.728	
47.9902	5279.794	
48.07628	5253.96	
48.09841	5263.955	
48.18369	5249.199	
48.20718	5251.006	
48.29226	5234.851	
48.31681	5250.954	
48.40431	5228.062	
48.42762	5237.898	
48.51302	5217.671	
48.53599	5226.865	
48.62516	5212.058	
48.64869	5230.9	
48.73618	5196.991	
48.76103	5225.604	
48.84454	5192.264	
48.8678	5200.298	
48.95445	5180.584	
48.97757	5195.724	
49.06424	5173.927	
49.0867	5185.62	
49.1731	5164.924	
49.19688	5173.29	
49.283	5157.053	
49.30731	5188.477	
49.39157	5143.692	
49.41505	5165.465	
49.50072	5146.035	
49.52572	5149.743	
49.61256	5132.227	
49.63486	5148.48	
49.72042	5122.396	
49.74379	5127.692	
49.83061	5100.385	
49.85552	5106.922	
49.93896	5088.442	
49.96136	5109.687	
50.04913	5086.701	
50.07218	5100.018	
50.15836	5087	
50.18121	5090.89	
50.26632	5082.133	
50.28935	5084.233	
50.37827	5081.461	
50.40092	5090.569	
50.48541	5061.938	
50.50852	5086.494	
50.59639	5041.509	
50.62015	5068.39	
50.70736	5047.337	
50.73056	5050.459	
50.81805	5050.019	
50.84278	5046.802	
50.92875	5029.209	
50.95206	5044.034	
51.03843	5010.788	
51.0614	5035.51	
51.14643	5014.896	
51.16986	5014.74	
51.25606	5025.745	
51.27886	5025.403	
51.36489	5001.212	
51.38961	5018.418	
51.47458	4980.923	
51.498	5010.784	
51.58389	4971.666	
51.60699	4987.727	
51.6951	4967.782	
51.71764	4983.818	
51.80183	4950.417	
51.82579	4966.392	
51.91297	4953.023	
51.93588	4978.125	
52.02278	4938.683	
52.04607	4965.963	
52.13304	4926.115	
52.15574	4945.336	
52.24088	4924.755	
52.26363	4936.66	
52.35166	4903.6	
52.37392	4927.118	
52.45835	4895.258	
52.48127	4916.086	
52.56892	4902.468	
52.5927	4910.369	
52.67823	4885.581	
52.70071	4906.428	
52.78608	4870.357	
52.80944	4893.624	
52.89784	4878.696	
52.92154	4882.753	
53.00687	4871.029	
53.02978	4877.857	
53.11668	4855.313	
53.14019	4868.264	
53.22491	4851.662	
53.24825	4866.272	
53.33474	4842.049	
53.35765	4855.733	
53.44515	4829.254	
53.46833	4856.814	
53.55457	4817.267	
53.57811	4836.968	
53.66217	4810.071	
53.68528	4821.954	
53.77352	4797.154	
53.79616	4823.881	
53.88395	4796.669	
53.9072	4820.576	
53.99237	4792.518	
54.01631	4789.137	
54.10254	4787.305	
54.1252	4797.967	
54.21201	4780.904	
54.23513	4782.815	
54.3219	4770.405	
54.34547	4795.699	
54.42978	4767.753	
54.45335	4791.028	
54.54103	4755.238	
54.56399	4773.335	
54.64933	4743.231	
54.67255	4753.353	
54.75938	4745.404	
54.78247	4747.71	
54.86799	4731.466	
54.89086	4733.642	
54.9789	4728.619	
55.00241	4737.301	
55.08827	4710.295	
55.11175	4730.604	
55.19792	4719.747	
55.22182	4716.168	
55.3087	4705.668	
55.33156	4709.325	
55.41531	4691.276	
55.43846	4702.722	
55.52517	4686.762	
55.54808	4709.758	
55.63597	4674.081	
55.65895	4690.255	
55.74665	4667.93	
55.7703	4678.097	
55.85532	4661.245	
55.87803	4662.792	
55.9641	4649.245	
55.9875	4663.379	
56.07378	4640.541	
56.09708	4662.438	
56.18298	4633.892	
56.20615	4639.4	
56.29371	4620.29	
56.31771	4638.837	
56.40216	4620.08	
56.4254	4613.757	
56.51328	4609.138	
56.53748	4617.975	
56.62209	4587.463	
56.64468	4623.826	
56.73211	4602.442	
56.75519	4607.361	
56.84142	4577.042	
56.86516	4595.215	
56.9522	4573.942	
56.97515	4594.889	
57.06177	4567.629	
57.08479	4588.848	
57.16957	4557.171	
57.1932	4583.674	
57.28169	4556.204	
57.30383	4572.828	
57.3897	4535.87	
57.41339	4560.3	
57.49849	4535.293	
57.52147	4545.695	
57.60758	4525.398	
57.63082	4545.333	
57.71939	4519.135	
57.74275	4542.806	
57.82859	4504.903	
57.85131	4522.688	
57.93977	4500.681	
57.96315	4526.056	
58.05344	4488.641	
58.07726	4502.696	
58.16407	4488.494	
58.18682	4510.967	
58.27894	4486.374	
58.30243	4499.085	
58.38594	4482.566	
58.40891	4500.028	
58.50032	4469.721	
58.52322	4489.429	
58.61024	4468.778	
58.63305	4472.245	
58.71961	4450.891	
58.74247	4455.978	
58.82838	4447.933	
58.85109	4452.077	
58.93776	4441.017	
58.96069	4463.081	
59.04809	4433.475	
59.07157	4450.268	
59.15601	4431.811	
59.17954	4442.727	
59.26825	4413.034	
59.29255	4438.295	
59.37643	4410.268	
59.4019	4429.117	
59.48659	4403.162	
59.51126	4419.714	
59.60079	4403.648	
59.62659	4421.988	
59.7093	4389.025	
59.73539	4408.325	
59.82278	4382.395	
59.84787	4396.481	
59.9326	4384.793	
59.95808	4396.817	
60.04543	4358.897	
60.07097	4386.261	
60.15728	4348.647	
60.18212	4365.867	
60.26691	4358.016	
60.29196	4358.535	
60.37811	4343.987	
60.40395	4348.009	
60.49067	4326.244	
60.51719	4351.854	
60.60521	4332.81	
60.62866	4351.875	
60.71257	4324.004	
60.7385	4349.97	
60.82565	4315.971	
60.85177	4327.76	
60.93923	4315.003	
60.96326	4321.128	
61.05137	4303.49	
61.07846	4310.057	
61.16313	4296.157	
61.18977	4303.216	
61.27669	4281.024	
61.30131	4306.335	
61.38625	4277.2	
61.41187	4286.156	
61.49826	4278.129	
61.52268	4282.064	
61.60949	4267.576	
61.63301	4281.858	
61.71958	4257.949	
61.74239	4266.839	
61.82747	4264.51	
61.85101	4267.299	
61.93794	4245.395	
61.96075	4261.063	
62.04936	4238.762	
62.07191	4246.705	
62.15696	4229.152	
62.1798	4244.506	
62.26651	4225.935	
62.29008	4240.764	
62.37666	4216.022	
62.39983	4245.647	
62.4852	4215.21	
62.51035	4247.693	
62.59342	4210.649	
62.61708	4228.456	
62.70569	4202.682	
62.72881	4219.286	
62.81343	4207.127	
62.83665	4220.127	
62.92289	4191.763	
62.94591	4213.365	
63.03374	4189.028	
63.05649	4213.389	
63.14259	4175.233	
63.16595	4196.068	
63.25195	4170.106	
63.27797	4186.133	
63.36559	4159.834	
63.38834	4175.14	
63.47593	4172.111	
63.49913	4185.185	
63.58823	4154.342	
63.61153	4190.287	
63.69722	4149.86	
63.72063	4181.708	
63.80673	4148.842	
63.83003	4181.22	
63.91749	4148.253	
63.94018	4166.861	
64.02633	4137.203	
64.04942	4162.524	
64.13679	4140.722	
64.1601	4149.03	
64.24635	4129.447	
64.27006	4146.915	
64.35489	4115.659	
64.37813	4151.565	
64.46438	4120.715	
64.48744	4138.846	
64.57407	4126.095	
64.59716	4152.894	
64.68517	4118.943	
64.70844	4141.819	
64.7927	4115.805	
64.81567	4129.152	
64.90354	4123.551	
64.92987	4133.812	
65.01648	4116.619	
65.03915	4131.984	
65.12528	4107.11	
65.14857	4129.961	
65.23631	4103.337	
65.25972	4129.277	
65.34589	4102.218	
65.36865	4137.28	
65.45511	4110.955	
65.47815	4129.101	
65.56467	4114.436	
65.58824	4133.742	
65.67346	4110.348	
65.69631	4142.665	
65.78735	4111.74	
65.81094	4132.283	
65.8966	4114.89	
65.91987	4130.075	
66.00696	4117.464	
66.03065	4131.107	
66.11769	4107.688	
66.14025	4141.717	
66.22466	4119.89	
66.24756	4142.813	
66.33617	4122.821	
66.36035	4140.676	
66.44486	4123.35	
66.46759	4147.927	
66.55216	4143.954	
66.57513	4155.687	
66.66306	4149.965	
66.68694	4165.208	
66.77348	4157.503	
66.79675	4164.319	
66.8838	4169.311	
66.90655	4179.677	
66.99516	4170.475	
67.0193	4204.445	
67.10297	4194.326	
67.12589	4208.293	
67.21277	4192.873	
67.23595	4221.487	
67.32217	4209.646	
67.34624	4227.354	
67.43194	4226.424	
67.45518	4257.193	
67.54173	4238.035	
67.56526	4264.871	
67.64935	4257.042	
67.67273	4283.216	
67.76014	4267.901	
67.78324	4300.033	
67.87019	4296.51	
67.89317	4325.972	
67.978	4329.05	
68.00162	4342.029	
68.08944	4358.765	
68.11288	4370.488	
68.1967	4354.352	
68.22028	4407.419	
68.30778	4403.243	
68.33083	4436.719	
68.41751	4422.071	
68.44055	4453.969	
68.5253	4461.004	
68.54901	4479.365	
68.63597	4495.357	
68.66004	4512.17	
68.74763	4528.957	
68.77383	4567.924	
68.8588	4552.581	
68.88419	4608.541	
68.96832	4604.572	
68.99174	4644.58	
69.0801	4655.617	
69.10335	4683.315	
69.18666	4690.173	
69.20959	4733.359	
69.29662	4750.187	
69.31947	4798.971	
69.40688	4800.649	
69.43145	4845.159	
69.5154	4853.895	
69.5387	4911.837	
69.62543	4915.94	
69.64757	4959.964	
69.73415	4966.31	
69.75828	5041.754	
69.84524	5043.352	
69.86835	5094.149	
69.95459	5124.313	
69.97755	5162.076	
70.06523	5195.303	
70.08898	5250.55	
70.17208	5276.528	
70.19542	5327.057	
70.28394	5347.017	
70.30704	5422.248	
70.39289	5449.544	
70.41871	5522.98	
70.50648	5553.336	
70.53012	5623.643	
70.61613	5654.939	
70.63955	5719.378	
70.7259	5765.168	
70.74866	5822.255	
70.83307	5872.541	
70.85616	5933.295	
70.94443	5975.481	
70.9685	6058.222	
71.05397	6105.976	
71.0778	6189.323	
71.16428	6228.799	
71.18718	6285.206	
71.2737	6346.104	
71.29679	6405.681	
71.3832	6462.732	
71.40884	6542.513	
71.4945	6567.477	
71.51776	6648.252	
71.60912	6691.823	
71.63285	6778.525	
71.71935	6798.404	
71.74298	6874.286	
71.82851	6919.427	
71.8516	6991.969	
71.94149	7058.909	
71.96407	7126.068	
72.05222	7176.651	
72.07657	7274.746	
72.16102	7313.372	
72.18407	7403.258	
72.27081	7431.53	
72.29559	7525.564	
72.37913	7553.835	
72.40437	7646.526	
72.48949	7676.616	
72.51282	7764.714	
72.60394	7783.73	
72.62806	7860.967	
72.71412	7877.072	
72.73657	7948.257	
72.82039	7968.509	
72.84423	8080.562	
72.93235	8057.419	
72.9548	8131.512	
73.04182	8146.122	
73.06566	8208.458	
73.15211	8189.354	
73.17663	8282.132	
73.25986	8254.6	
73.28209	8325.636	
73.36959	8331.365	
73.39408	8414.147	
73.48083	8372.728	
73.50403	8453.771	
73.59312	8424.459	
73.61602	8511.406	
73.70395	8481.434	
73.7285	8558.747	
73.81303	8505.631	
73.83546	8575.256	
73.92088	8543.764	
73.94379	8622.396	
74.03194	8584.639	
74.05684	8634.281	
74.1423	8601.794	
74.16566	8690.28	
74.25111	8638.131	
74.27359	8689.332	
74.36061	8658.268	
74.38445	8724.001	
74.4758	8678.004	
74.49843	8746.197	
74.58312	8712.425	
74.60625	8797.409	
74.6939	8717.586	
74.71702	8767.706	
74.80297	8740.54	
74.82696	8793.679	
74.91333	8745.556	
74.93784	8837.025	
75.02179	8766.445	
75.0453	8831.422	
75.13374	8784.143	
75.1581	8863.023	
75.2426	8778.97	
75.26637	8857.481	
75.35214	8797.111	
75.37859	8861.937	
75.46639	8829.973	
75.48977	8871.495	
75.57546	8841.711	
75.60075	8890.701	
75.68497	8822.517	
75.70789	8876.13	
75.79247	8842.919	
75.81909	8926.748	
75.90681	8847.546	
75.92928	8915.032	
76.01519	8838.692	
76.04129	8925.873	
76.12871	8869.3	
76.15189	8926.025	
76.23876	8877.644	
76.26505	8933.942	
76.35198	8866.237	
76.37511	8940.802	
76.4616	8866.625	
76.48788	8953.294	
76.57606	8891.745	
76.59863	8925.248	
76.68345	8901.543	
76.70937	8957.353	
76.79369	8884.738	
76.81678	8947.288	
76.90685	8877.966	
76.9302	8948.097	
77.01651	8905.897	
77.03976	8963.324	
77.12838	8886.22	
77.15102	8966.106	
77.23531	8887.044	
77.2593	8964.745	
77.34994	8872.437	
77.37289	8948.557	
77.45894	8864.266	
77.48203	8942.971	
77.56808	8885.827	
77.59046	8957.52	
77.67765	8887.14	
77.70109	8970.15	
77.79142	8857.296	
77.81564	8943.688	
77.90107	8869.925	
77.92374	8959.684	
78.0137	8882.369	
78.03669	8958.378	
78.1245	8890.865	
78.14758	8960.99	
78.23693	8875.024	
78.2598	8944.434	
78.34721	8866.456	
78.3709	8935.781	
78.45866	8868.701	
78.48407	8936.522	
78.56676	8848.005	
78.59087	8916.697	
78.67543	8849.571	
78.70141	8898.585	
78.78942	8856.842	
78.81307	8907.53	
78.89874	8825.827	
78.92516	8887.286	
79.01353	8832.323	
79.03631	8869.277	
79.12144	8813.398	
79.14729	8897.449	
79.23579	8793.964	
79.25962	8871.548	
79.34553	8795.744	
79.37173	8868.672	
79.4576	8797.792	
79.48103	8855.02	
79.56863	8777.914	
79.59492	8867.998	
79.68082	8775.584	
79.70348	8850.76	
79.78938	8783.766	
79.81774	8847.02	
79.90428	8766.331	
79.9272	8822.329	
80.01377	8739.639	
80.03708	8840.58	
80.12838	8734.034	
80.15155	8834.352	
80.23743	8743.657	
80.2613	8804.909	
80.34859	8729.766	
80.37479	8790.97	
80.46039	8725.113	
80.48282	8811.016	
80.56933	8713.878	
80.59299	8794.96	
80.68504	8704.69	
80.70826	8785.584	
80.79289	8699.501	
80.81597	8769.109	
80.90063	8690.786	
80.92696	8777.537	
81.01362	8714.728	
