T[°C]	350nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
19.99983	6907.207		-93.79132	
20.05382	6901.66		-93.89973	
20.10781	6896.14		-94.00712	
20.16179	6890.646		-94.11343	
20.21578	6885.174		-94.21864	
20.26977	6879.718		-94.32267	
20.32375	6874.275		-94.42548	
20.37774	6868.84		-94.52704	
20.43173	6863.412		-94.62728	
20.48571	6857.987		-94.72617	
20.5397	6852.564		-94.82365	
20.59369	6847.144		-94.91969	
20.64768	6841.728		-95.01424	
20.70166	6836.322		-95.10725	
20.75565	6830.935		-95.1987	
20.80964	6825.583		-95.28854	
20.86362	6820.3		-95.37676	
20.91761	6815.154		-95.46333	
20.9716	6810.268		-95.5482	
21.02559	6805.686		-95.63139	
21.07957	6801.131		-95.71288	
21.13356	6796.543		-95.79266	
21.18755	6791.877		-95.87074	
21.24153	6787.104		-95.94716	
21.29552	6782.205		-96.02193	
21.34951	6777.18		-96.09512	
21.4035	6772.047		-96.1668	
21.45748	6766.829		-96.23705	
21.51147	6761.55		-96.30596	
21.56546	6756.229		-96.37366	
21.61944	6750.881		-96.44029	
21.67343	6745.51		-96.506	
21.72742	6740.104		-96.57095	
21.7814	6734.65		-96.63531	
21.83539	6729.137		-96.69933	
21.88938	6723.557		-96.76318	
21.94337	6717.918		-96.82712	
21.99735	6712.224		-96.89141	
22.05134	6706.476		-96.95635	
22.10533	6700.684		-97.02226	
22.15932	6694.859		-97.08948	
22.2133	6689.03		-97.15833	
22.26729	6683.225		-97.22917	
22.32128	6677.464		-97.30223	
22.37526	6671.766		-97.3776	
22.42925	6666.137		-97.45506	
22.48324	6660.583		-97.53386	
22.53723	6655.117		-97.61259	
22.59121	6649.745		-97.68922	
22.6452	6644.463		-97.6982	
22.69919	6639.263		-97.70047	
22.75317	6634.127		-97.6955	
22.80716	6629.039		-97.68291	
22.86115	6623.985		-97.66241	
22.91513	6618.957		-97.63383	
22.96912	6613.951		-97.59717	
23.02311	6608.963		-97.55252	
23.0771	6603.99		-97.50014	
23.13108	6599.017		-97.44038	
23.18507	6594.03		-97.37373	
23.23906	6589.002		-97.30075	
23.29305	6583.906		-97.22206	
23.34703	6578.736		-97.13834	
23.40102	6573.495		-97.05032	
23.45501	6568.192		-96.95877	
23.50899	6562.852		-96.86452	
23.56298	6557.501		-96.76841	
23.61697	6552.165		-96.6714	
23.67095	6546.859		-96.57452	
23.72494	6541.585		-96.47883	
23.77893	6536.329		-96.38541	
23.83292	6531.072		-96.29526	
23.8869	6525.811		-96.20933	
23.94089	6520.547		-96.1285	
23.99488	6515.284		-96.05359	
24.04886	6510.025		-95.98531	
24.10285	6504.784		-95.92426	
24.15684	6499.564		-95.87093	
24.21083	6494.367		-95.82567	
24.26481	6489.196		-95.7887	
24.3188	6484.056		-95.76015	
24.37279	6478.949		-95.74005	
24.42677	6473.88		-95.72828	
24.48076	6468.848		-95.72462	
24.53475	6463.847		-95.72862	
24.58874	6458.868		-95.7397	
24.64272	6453.9		-95.75709	
24.69671	6448.931		-95.77989	
24.7507	6443.952		-95.80714	
24.80468	6438.952		-95.83775	
24.85867	6433.926		-95.87064	
24.91266	6428.87		-95.90472	
24.96665	6423.79		-95.93906	
25.02063	6418.702		-95.9728	
25.07462	6413.62		-96.00531	
25.12861	6408.559		-96.03612	
25.18259	6403.528		-96.0649	
25.23658	6398.523		-96.09142	
25.29057	6393.533		-96.11561	
25.34455	6388.538		-96.13745	
25.39854	6383.513		-96.15701	
25.45253	6378.435		-96.17435	
25.50652	6373.288		-96.18946	
25.5605	6368.066		-96.20223	
25.61449	6362.779		-96.21246	
25.66848	6357.442		-96.21977	
25.72247	6352.075		-96.22375	
25.77645	6346.698		-96.22389	
25.83044	6341.33		-96.2197	
25.88443	6335.982		-96.2107	
25.93841	6330.655		-96.19658	
25.9924	6325.347		-96.17707	
26.04639	6320.061		-96.15205	
26.10038	6314.796		-96.12148	
26.15436	6309.545		-96.08539	
26.20835	6304.286		-96.04384	
26.26234	6299		-95.99697	
26.31632	6293.671		-95.94496	
26.37031	6288.301		-95.88811	
26.4243	6282.898		-95.82677	
26.47828	6277.466		-95.76134	
26.53227	6272.016		-95.69225	
26.58626	6266.562		-95.61979	
26.64025	6261.121		-95.54423	
26.69423	6255.712		-95.46574	
26.74822	6250.355		-95.38443	
26.80221	6245.059		-95.30031	
26.8562	6239.818		-95.21336	
26.91018	6234.611		-95.12357	
26.96417	6229.425		-95.03088	
27.01816	6224.249		-94.9353	
27.07214	6219.08		-94.83688	
27.12613	6213.919		-94.73578	
27.18012	6208.765		-94.63226	
