T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
19.99988	0.8688159		0.0002535669	
20.05387	0.8688372		0.0002421564	
20.10785	0.8688585		0.0002307658	
20.16184	0.8688798		0.0002193951	
20.21583	0.868901		0.0002080456	
20.26981	0.8689222		0.0001967185	
20.3238	0.8689433		0.000185414	
20.37779	0.8689642		0.0001741333	
20.43177	0.8689851		0.000162878	
20.48576	0.8690057		0.0001516481	
20.53975	0.8690262		0.0001404451	
20.59373	0.8690466		0.0001292704	
20.64772	0.8690668		0.0001181242	
20.70171	0.8690868		0.000107008	
20.75569	0.8691066		9.592318E-05	
20.80968	0.8691263		8.486983E-05	
20.86367	0.8691456		7.384937E-05	
20.91765	0.8691648		6.286307E-05	
20.97164	0.8691837		5.191105E-05	
21.02563	0.8692024		4.099452E-05	
21.07961	0.8692209		3.011462E-05	
21.1336	0.8692392		1.92713E-05	
21.18759	0.8692574		8.465567E-06	
21.24158	0.8692756		-2.301647E-06	
21.29556	0.869294		-1.303064E-05	
21.34955	0.8693128		-2.372066E-05	
21.40354	0.8693322		-3.437107E-05	
21.45752	0.8693525		-4.49825E-05	
21.51151	0.869374		-5.555453E-05	
21.5655	0.8693959		-6.608693E-05	
21.61948	0.869412		-7.658071E-05	
21.67347	0.8694271		-8.703593E-05	
21.72746	0.8694407		-9.745285E-05	
21.78144	0.8694522		-0.000107833	
21.83543	0.8694613		-0.0001181769	
21.88942	0.8694674		-0.0001284854	
21.94341	0.8694702		-0.0001387603	
21.99739	0.8694695		-0.0001490029	
22.05138	0.8694648		-0.0001592142	
22.10537	0.8694559		-0.0001693966	
22.15935	0.8694428		-0.0001795517	
22.21334	0.8694255		-0.000189681	
22.26733	0.8694046		-0.0001997874	
22.32131	0.8693801		-0.000209873	
22.3753	0.8693524		-0.0002199401	
22.42929	0.869322		-0.0002299921	
22.48327	0.8692893		-0.0002400318	
22.53726	0.8692546		-0.0002500622	
22.59125	0.8692182		-0.0002600876	
22.64524	0.8691805		-0.0002701114	
22.69922	0.8691422		-0.0002801375	
22.75321	0.8691037		-0.000290171	
22.8072	0.8690655		-0.0003002162	
22.86118	0.8690277		-0.0003102779	
22.91517	0.8689901		-0.0003203621	
22.96916	0.8689527		-0.0003304741	
23.02314	0.8689152		-0.0003406195	
23.07713	0.8688778		-0.0003508052	
23.13112	0.8688404		-0.0003610373	
23.1851	0.8688031		-0.0003713217	
23.23909	0.8687659		-0.0003816657	
23.29308	0.8687289		-0.0003920748	
23.34706	0.8686919		-0.0004025533	
23.40105	0.8686551		-0.0004131047	
23.45504	0.8686184		-0.0004237281	
23.50902	0.8685821		-0.0004344175	
23.56301	0.8685462		-0.0004451604	
23.617	0.8685114		-0.0004559341	
23.67098	0.8684779		-0.000466705	
23.72497	0.8684465		-0.0004774313	
23.77896	0.8684175		-0.0004856969	
23.83294	0.8683911		-0.0004937833	
23.88693	0.868367		-0.0005016804	
23.94092	0.8683444		-0.0005093756	
23.99491	0.8683231		-0.0005168568	
24.04889	0.8683026		-0.0005241122	
24.10288	0.8682829		-0.0005311291	
24.15687	0.8682639		-0.000537896	
24.21085	0.8682452		-0.0005444029	
24.26484	0.8682264		-0.0005506396	
24.31883	0.8682073		-0.0005565978	
24.37281	0.8681877		-0.0005622715	
24.4268	0.8681674		-0.0005676555	
24.48079	0.8681464		-0.0005727471	
24.53477	0.8681247		-0.0005775462	
24.58876	0.868102		-0.000582054	
24.64275	0.8680783		-0.0005862742	
24.69674	0.8680535		-0.0005902133	
24.75072	0.868028		-0.0005938795	
24.80471	0.8680022		-0.0005972831	
24.8587	0.8679759		-0.0006004371	
24.91268	0.8679489		-0.0006033555	
24.96667	0.8679211		-0.0006060532	
25.02066	0.8678924		-0.0006085466	
25.07464	0.8678626		-0.000610852	
25.12863	0.8678311		-0.0006129865	
25.18262	0.8677973		-0.0006149677	
25.2366	0.8677605		-0.0006168123	
25.29059	0.8677202		-0.0006185372	
25.34458	0.8676767		-0.0006201585	
25.39857	0.8676302		-0.0006216912	
25.45255	0.8675811		-0.0006231493	
25.50654	0.8675304		-0.0006245455	
25.56053	0.8674787		-0.0006258914	
25.61451	0.8674267		-0.0006271976	
25.6685	0.8673747		-0.0006284738	
25.72249	0.8673233		-0.000629729	
25.77647	0.867273		-0.0006309716	
25.83046	0.8672241		-0.0006322096	
25.88445	0.8671769		-0.0006334509	
25.93843	0.8671318		-0.0006347025	
25.99242	0.8670889		-0.0006359713	
26.04641	0.8670483		-0.0006372627	
26.10039	0.8670098		-0.0006385816	
26.15438	0.8669729		-0.0006399316	
26.20837	0.8669376		-0.000641315	
26.26236	0.8669038		-0.0006427329	
26.31634	0.8668714		-0.000644186	
26.37033	0.86684		-0.0006456743	
26.42432	0.8668095		-0.0006471976	
26.4783	0.8667796		-0.0006487552	
26.53229	0.8667496		-0.0006503466	
26.58628	0.8667194		-0.0006519712	
26.64026	0.8666886		-0.0006536286	
26.69425	0.8666569		-0.000655319	
26.74824	0.8666244		-0.0006570432	
26.80222	0.8665909		-0.0006588026	
26.85621	0.8665567		-0.0006605997	
