Size / nm,Number,Concentration / cm-3,Volume / nm^3,Area / nm^2
1.50E+01,1.00E+00,5.33E+04,1.77E+03,1.77E+02
4.50E+01,1.70E+01,9.07E+05,8.11E+05,2.70E+04
7.50E+01,1.21E+02,6.45E+06,2.67E+07,5.35E+05
1.05E+02,2.84E+02,1.52E+07,1.72E+08,2.46E+06
1.35E+02,2.60E+02,1.39E+07,3.35E+08,3.72E+06
1.65E+02,1.49E+02,7.95E+06,3.51E+08,3.19E+06
1.95E+02,1.07E+02,5.71E+06,4.15E+08,3.20E+06
2.25E+02,6.80E+01,3.63E+06,4.06E+08,2.70E+06
2.55E+02,3.50E+01,1.87E+06,3.04E+08,1.79E+06
2.85E+02,1.00E+01,5.33E+05,1.21E+08,6.38E+05
3.15E+02,9.00E+00,4.80E+05,1.47E+08,7.01E+05
3.45E+02,7.00E+00,3.73E+05,1.51E+08,6.54E+05
3.75E+02,6.00E+00,3.20E+05,1.66E+08,6.63E+05
4.05E+02,2.00E+00,1.07E+05,6.96E+07,2.58E+05
4.35E+02,3.00E+00,1.60E+05,1.29E+08,4.46E+05
4.65E+02,5.00E+00,2.67E+05,2.63E+08,8.49E+05
4.95E+02,1.00E+00,5.33E+04,6.35E+07,1.92E+05
5.25E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.55E+02,1.00E+00,5.33E+04,8.95E+07,2.42E+05
5.85E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
6.15E+02,1.00E+00,5.33E+04,1.22E+08,2.97E+05
6.45E+02,1.00E+00,5.33E+04,1.41E+08,3.27E+05
6.75E+02,1.00E+00,5.33E+04,1.61E+08,3.58E+05
7.05E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
7.35E+02,1.00E+00,5.33E+04,2.08E+08,4.24E+05
7.65E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
7.95E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
8.25E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
8.55E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
8.85E+02,1.00E+00,5.33E+04,3.63E+08,6.15E+05
9.15E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
9.45E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
9.75E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.01E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.04E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.07E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.10E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.13E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.16E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.19E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.22E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.25E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.28E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.31E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.34E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
