Original File:	E:\Arosio\Eduard\20230830_0001_7_size_405.avi	Section:	0,1 [0]
Operator:	pharmagal
Experiment:	20230830_0001
ZetaVIEW S/N:	18-359
Software:	ZetaView (version 8.05.12 SP1)	Analyze:	8.05.12 SP1
Sample:	7
Electrolyte:	diw
pH:	7,400000	entered
Conductivity:	15000,000000	sensed
Temperature:	25,600000	sensed
Viscosity:	0,887796
Date:	2023-08-30
Time:	11:26:20
General Remarks:	
Remarks:	
Sample Remarks0:	
Sample Remarks1:	
Sample Remarks2:
Scattering Intensity:	6,506299
Detected Particles:	184
Cell Checked:	2023-08-30 11:13:54
Cell Check Result:	Very Good
Type of Measurement:	Size Distribution
Microscope Position:	0,100004
Number of Traces:	1504	(at 0,100000)	Average Number of Particles:	155,409091	Dilution::	100,000000
Image Evaluation:
Minimum Brightness:	30
Minimum Area:	10
Maximum Area:	1000
Maximum Brightness:	255
Tracking Radius2:	100
Minimum Tracelength:	15
Begin New Traces:	1
PSD log Correction:	0
Camera:	FpSec 60 #Cycles 2 FRate 30,000000
Gain:	28,800000
Offset:	0,000000
Shutter:	100,000000
Brightness:	NaN
Gamma:	NaN
Auto Exposure:	NaN
Camera Trigger Mode:	Camera Frequency
Camera Trigger Duration mus:	Shutter Duration
Camera Trigger Delay mus:	0
Laser Wavelength nm:	405,000000
Filter Wavelength nm:	Scatter
Position:	0,100004
actual Microscope:	-84414	(Pos	0,100004)
actual Laser:	-214728
Position0 Microscope:	-91842
Position0 Laser:	-224672
Position1 Microscope:	-17565
Position1 Laser:	-125235
Cell Thickness (Microscope Steps):	-74277
Cell Thickness (Laser Steps):	-99437
SL1 (Stationary Layer 1):	0,149500
SL2 (Stationary Layer 2):	0,850500
Cell parameter:
Cell#:	ZNTA
Micrometer per Pixel:	0,712000
Reference Electrode Distance:	5,150000
Voltage:	0,000000
Polarity:	1
Reference Voltage:	0,000000
Microscope Magnification:	x10
ZP Factor:	12,674276 (Smoluchowski)Results (Pos 0,100004):
Median Number (D50):	132,064439
Median Concentration (D50):	132,064439
Median Volume (D50):	200,361019
Size Distribution
Size / nm	Number	Concentration / cm-3	Volume / nm^3	Area / nm^2
1,500E+1	2,000E+0	9,716E+4	3,534E+3	3,534E+2
4,500E+1	1,700E+1	8,258E+5	8,111E+5	2,704E+4
7,500E+1	8,900E+1	4,324E+6	1,966E+7	3,932E+5
1,050E+2	2,660E+2	1,292E+7	1,612E+8	2,303E+6
1,350E+2	4,190E+2	2,035E+7	5,398E+8	5,998E+6
1,650E+2	3,170E+2	1,540E+7	7,456E+8	6,778E+6
1,950E+2	1,780E+2	8,647E+6	6,911E+8	5,316E+6
2,250E+2	9,600E+1	4,664E+6	5,726E+8	3,817E+6
2,550E+2	5,800E+1	2,818E+6	5,036E+8	2,962E+6
2,850E+2	2,600E+1	1,263E+6	3,151E+8	1,659E+6
3,150E+2	1,500E+1	7,287E+5	2,455E+8	1,169E+6
3,450E+2	4,000E+0	1,943E+5	8,600E+7	3,739E+5
3,750E+2	7,000E+0	3,401E+5	1,933E+8	7,731E+5
4,050E+2	4,000E+0	1,943E+5	1,391E+8	5,153E+5
4,350E+2	2,000E+0	9,716E+4	8,620E+7	2,972E+5
4,650E+2	3,000E+0	1,457E+5	1,579E+8	5,095E+5
4,950E+2	1,000E+0	4,858E+4	6,351E+7	1,924E+5
5,250E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
5,550E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
5,850E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
6,150E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
6,450E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
6,750E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
7,050E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
7,350E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
7,650E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
7,950E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
8,250E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
8,550E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
8,850E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
9,150E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
