Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (mum/s)	Removal
X	0,10	6,4	100,5	4,7E+7	4,7E+9	85	135,9	146,5	0,9	4,8	
X	0,15	6,4	91,5	4,3E+7	4,3E+9	65	129,6	137,3	1,1	7,1	
X	0,20	6,4	84,0	3,9E+7	3,9E+9	62	135,0	145,9	0,8	9,6	
X	0,30	6,9	83,0	3,9E+7	3,9E+9	69	131,4	141,9	1,1	13,4	
X	0,40	6,2	78,0	3,7E+7	3,7E+9	73	132,9	141,2	1,1	16,1	
X	0,50	6,6	75,0	3,5E+7	3,5E+9	71	121,4	130,5	1,3	18,2	
X	0,60	6,6	92,0	4,3E+7	4,3E+9	89	123,9	133,3	1,2	19,2	
	0,70	8,2	85,5	4,0E+7	4,0E+9	76	132,3	145,5	1,0	18,4	GRUBBS_MI
X	0,80	6,8	82,0	3,9E+7	3,9E+9	72	130,0	141,6	0,9	15,8	
X	0,85	7,1	72,5	3,4E+7	3,4E+9	75	135,8	142,8	1,1	13,9	
	0,90	7,2	27,0	1,3E+7	1,3E+9	28	135,0	155,0	0,7	11,2	GRUBBS_NUMBER
	Mean	6,6	84,3	4,0E+7	4,0E+9	73,4	130,7	140,1	1,0	13,1	
	St.Dev.	0,3	9,0	4,2E+6	4,2E+8	8,7	5,1	5,4	0,2	5,0	
	Rel.St.Dev.	4,5	10,7	10,7	10,7	11,9	3,9	3,9	15,0	37,8	
