Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (mum/s)	Removal
X	0,10	6,1	27,5	1,3E+7	1,3E+9	23	137,1	141,7	1,0	9,8	
X	0,15	5,9	42,5	2,0E+7	2,0E+9	35	150,0	158,4	1,1	12,0	
X	0,20	6,1	39,0	1,8E+7	1,8E+9	30	145,0	155,3	1,0	12,8	
X	0,30	6,5	35,5	1,7E+7	1,7E+9	27	121,9	129,7	1,6	12,2	
X	0,40	6,0	46,0	2,2E+7	2,2E+9	46	125,8	137,4	0,9	10,9	
X	0,50	6,4	39,5	1,9E+7	1,9E+9	31	139,5	151,6	1,0	8,5	
X	0,60	6,2	32,0	1,5E+7	1,5E+9	25	127,5	137,8	1,4	6,3	
	0,70	16,1	185,0	8,7E+7	8,7E+9	38	97,9	110,6	1,6	4,0	GRUBBS_NUMBER
	0,80	11,0	138,5	6,5E+7	6,5E+9	24	108,8	124,7	0,8	4,5	GRUBBS_NUMBER
X	0,85	6,8	31,0	1,5E+7	1,5E+9	32	126,8	136,5	1,1	3,4	
X	0,90	7,2	26,5	1,2E+7	1,2E+9	24	150,0	162,2	0,9	2,0	
	Mean	6,4	35,5	1,7E+7	1,7E+9	30,3	136,0	145,6	1,1	8,7	
	St.Dev.	0,4	6,8	3,2E+6	3,2E+8	7,1	10,9	11,5	0,2	4,0	
	Rel.St.Dev.	6,6	19,0	19,0	19,0	23,4	8,0	7,9	21,7	45,7	
